"X.","X..1","X..2","X..3","X..4","X.CANADA2","X..5","X..6","X..7","X.NFLD.","X..8","X..9","X.P.E.I.","X..10","X..11","X.N.S.","X..12","X..13","X.N.B.","X..14","X..15","X.QUE.","X..16","X..17","X.ONT.","X..18","X..19","X.MAN.","X..20","X..21","X.SASK.","X..22","X..23","X.ALTA.","X..24","X..25","X.B.C.","X..26","X..27","X"
"No.","DISEASE","","","","","Cumulative","Total³","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No.",NA
"","","Report Week","Previous Week","Median 1951-55","1956","1955","Median 1951-55","Report Week","Previous Week","Median 1951-55","Report Week","Previous Week","Median 1951-55","Report Week","Previous Week","Median 1951-55","Report Week","Previous Week","Median 1951-55","Report Week","Previous Week","Median 1951-55","Report Week","Previous Week","Median 1951-55","Report Week","Previous Week","Median 1951-55","Report Week","Previous Week","Median 1951-55","Report Week","Previous Week","Median 1951-55","Report Week","Previous Week","Median 1951-55","",NA
"1","Chickenpox","1,345","1,207","1,316","4,848","4,555","6,183","5","7","4","-","1","4","65","62","28","-","-","-","329","337","264","698","554","562","15","28","41","2","5","56",":.",":.","88","231","213","179","1",NA
"2","Diphtheria","4","3","2","17","17","17","-","-","-","-","-","-","-","-","-","-","-","-","2","3","1","-","-","-","-","-","-","-","-","-","1","-","-","1","-","-","2",NA
"3","Dysentery:4","9","16","17","45","24","33","-","-","-","-","-","-","-","-","-","",":",":",":.",":.","1","2","4","8","1","-","-","-","-","-","-","-","-","6","12","2","3",NA
"4","(a) Amoebic","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","..","..","..","..",":.","..","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","4",NA
"5","(b) Pacillary","9","16","17","45","24","32","-","-","-","-","-","-","-","-","-","..",":","..","...","..","1","2","4","8","1","-","-","-","-","-","-","-","-","6","12","2","5",NA
"6","Encephalitis, infectious","1","1","1","2","1","2","-","-","-","..","..",": .","-","-","-","-","-","-",":.",":.",": .",":","1","..","-","-","-","-","-","-","1","-","-","-","-","-","6",NA
"7","Influenza, epidemic","482","131","242","902","5,418","535",":","2","..","85","26","...","73","92","24","-","-","1","6","-","-","2","-","18","2","3","4","-","-","I","...","...","...","314","8","10","7",NA
"8","Measles","1,779","1,590","1,248","6,586","4,955","6,630","49","23","10","20","28","2","87","258","52","-","-","3","386","292","249","954","856","378","49","40","100","19","15","49","105","25","86","110","53","314","8",NA
"9","Meningitis, meningococcal","3","11","8","33","33","23","-","1","-","...","...","R.P.","-","-","-","-","4","-","-","-","3","-","3","2","-","-","1","2","-","-","...","....","...","1","3","1","9",NA
"10","Mumps","1,007","711","994","3,453","2,929","4,207","-","-","3","14","6","4","1","2","22","-","-","-","136","122","163","639","391","408","41","34","48","4","1","78","...","...","33","172","155","263","10",NA
"11","Poliomyelitis, epidemic:4","1","4","2","8","18","18","-","-","-","-","-","-","-","1","-","-","-","one","-","-","-","-","1","-","-","-","I","-","I","-","-","-","1","1","2","-","11",NA
"12","(a) With paralysis","-","2","2","3","13","13","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","1","-","12",NA
"13","(b) Without paralysis","1","1","-","2","2","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","1","-","13",NA
"14","Rubella","1,367","884","280","3,924","789","789","5","7","-","....","...","P...","46","41","3","R.P.","...","...","851","534","12","300","233","129","1","1","-","1","*...","7","27","7","24","134","61","55","14",NA
"15","Scarlet fever, etc.⁵","329","302","415","1,132","871","1,458","6","3","2","4","10","7","10","14","9","1","-","4","88","49","92","146","116","64","9","2","20","-","56","13","33","19","77","32","33","79","15",NA
"16","Smallpox","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","I","-","-","-","-","-","-","-","16",NA
"17","Tuberculosis:4","190","203","202","675","608","738","4","6","6","1","-","-","3","1","5","2","23","6","101","88","86","15","28","30","9","4","10","14","5","4","18","21","14","23","27","31","17",NA
"18","(a) Pulmonary","165","169","165","575","485","557","4","6","6","1","-","-","3","1","5","2","23","6","96","87","78","(6)","(6)","(6)","9","3","10","12","3","4","15","20","12","23","26","26","18",NA
"19","(b) Non-pulmonary","10","5","15","26","39","31","-","-","-","-","-","-","-","-","-","-","-","-","5","1","4","(6)","(6)","(6)","-","1","-","2","2","1","3","1","1","-","-","1","19",NA
"20","Typhoid and paratyphoid","5","15","5","32","14","27","-","1","-","-","-","-","-","-","-","-","-","-","2","11","4","2","2","1","-","1","-","-","-","-","1","-","-","-","-","-","20",NA
"21","Undulant fever","4","2","3","12","4","9","-","-","-","-","-","-","-","-","-","R.P.","...","A.P.","2","2","2","1","-","-","-","-","1","I","-","I","1","","","-","-","-","21",NA
"22","Venereal diseases:","379","315","385","1,328","1,537","1,537","20","10","9","-","1","-","5","16","12","4","2","6","105","59","84","48","45","67","30","30","28","23","16","20","66","74","61","78","62","74","22",NA
"23","(a) Syphilis, primary","4","5","6","15","13","16","-","-","-","-","-","-","-","-","-","-","-","-","-","I","2","-","I","2","1","I","-","1","2","-","1","3","I","1","MY","I","23",NA
"24","(b) "" secondary","2","3","3","9","3","5","-","-","-","-","-","-","I","-","I","1","-","-","I","1","1","-","-","I","I","-","-","2","-","I","I","2","-","I","","-","24",NA
"25","(c) other","49","31","58","115","186","202","1","-","3","-","-","-","1","2","3","1","-","3","28","14","27","9","6","16","2","I","2","4","1","2","3","2","1","-","6","7","25",NA
"26","(d) Gonorrhoea","324","276","314","1,189","1,334","1,282","19","10","5","-","1","-","4","14","11","3","2","3","77","44","60","39","39","53","27","30","26","16","13","19","62","67","58","77","56","66","26",NA
"27","(e) Other venereal diseases","-","-","1","-","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","I","-","-","-","-","-","-","-","I","1","27",NA
"28","Whooping cough","219","120","239","670","1,607","782","27","5","1","16","9","1","1","2","3","-","2","-","88","64","70","52","55","51","2","-","23","11","11","6","5","9","8","17","13","30","28",NA
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA
"Confidence Scores % (Table Cell)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA
