"'67.67578125","'86.08398438","'78.07617188","'76.70898438","'80.37109375","'82.71484375","'24.03564453","'83.44726563","'75.29296875","'47.21679688","'80.46875000","'69.87304688","'33.25195313","'77.19726563","'38.13476563","'76.70898438","'31.46972656","'74.21875000","'25.70800781","'79.63867188","'63.86718750","'71.38671875","'82.71484375","'44.16503906","'77.14843750","'44.94628906","'80.07812500","'72.94921875","'81.83593750","'73.58398438","'78.41796875","'83.00781250","'64.59960938","'79.49218750","'43.89648438","'82.95898438","'80.76171875","'77.78320313","'80.81054688",
"'70.65429688","'89.84375000","'81.54296875","'80.07812500","'83.88671875","'86.32812500","'25.09765625","'87.10937500","'78.56445313","'49.31640625","'83.98437500","'72.94921875","'34.71679688","'80.61523438","'39.81933594","'80.07812500","'32.86132813","'77.49023438","'26.83105469","'83.10546875","'66.65039063","'74.51171875","'86.37695313","'46.09375000","'80.56640625","'46.92382813","'83.59375000","'76.17187500","'85.44921875","'76.85546875","'81.88476563","'86.66992188","'67.43164063","'83.00781250","'45.82519531","'86.62109375","'84.32617188","'81.20117188","'84.37500000",
"'65.38085938","'83.15429688","'75.43945313","'74.12109375","'77.68554688","'79.93164063","'23.21777344","'80.61523438","'72.75390625","'45.62988281","'77.73437500","'67.52929688","'32.12890625","'74.60937500","'36.86523438","'74.12109375","'30.41992188","'71.72851563","'24.82910156","'76.95312500","'61.71875000","'68.94531250","'79.93164063","'42.67578125","'74.56054688","'43.43261719","'77.34375000","'70.50781250","'79.10156250","'71.14257813","'75.78125000","'80.22460938","'62.45117188","'76.80664063","'42.40722656","'80.17578125","'78.02734375","'75.14648438","'78.07617188",
"'68.79882813","'87.50000000","'79.34570313","'77.97851563","'81.68945313","'84.03320313","'24.42626953","'84.81445313","'76.51367188","'47.99804688","'81.78710938","'70.99609375","'33.78906250","'78.46679688","'38.76953125","'77.97851563","'31.98242188","'75.43945313","'26.12304688","'80.90820313","'64.89257813","'72.50976563","'84.08203125","'44.87304688","'78.41796875","'45.67871094","'81.34765625","'74.12109375","'83.20312500","'74.80468750","'79.73632813","'84.37500000","'65.67382813","'80.76171875","'44.60449219","'84.32617188","'82.08007813","'79.05273438","'82.12890625",
"'65.96679688","'83.88671875","'76.07421875","'74.75585938","'78.32031250","'80.56640625","'23.41308594","'81.29882813","'73.33984375","'46.02050781","'78.41796875","'68.11523438","'32.39746094","'75.24414063","'37.15820313","'74.75585938","'30.66406250","'72.31445313","'25.04882813","'77.58789063","'62.25585938","'69.53125000","'80.61523438","'43.01757813","'75.19531250","'43.79882813","'78.02734375","'71.09375000","'79.78515625","'71.72851563","'76.41601563","'80.85937500","'62.93945313","'77.44140625","'42.77343750","'80.85937500","'78.71093750","'75.78125000","'78.75976563",
"'67.38281250","'85.69335938","'77.73437500","'76.36718750","'80.02929688","'82.32421875","'23.92578125","'83.05664063","'74.95117188","'47.02148438","'80.12695313","'69.58007813","'33.10546875","'76.85546875","'37.98828125","'76.36718750","'31.32324219","'73.87695313","'25.58593750","'79.29687500","'63.57421875","'71.04492188","'82.37304688","'43.96972656","'76.80664063","'44.75097656","'79.73632813","'72.65625000","'81.49414063","'73.29101563","'78.07617188","'82.61718750","'64.30664063","'79.15039063","'43.70117188","'82.61718750","'80.41992188","'77.44140625","'80.46875000",
"'70.41015625","'89.55078125","'81.20117188","'79.78515625","'83.59375000","'86.03515625","'25.00000000","'86.81640625","'78.32031250","'49.12109375","'83.69140625","'72.70507813","'34.59472656","'80.32226563","'39.67285156","'79.78515625","'32.73925781","'77.19726563","'26.73339844","'82.81250000","'66.45507813","'74.21875000","'86.08398438","'45.92285156","'80.27343750","'46.75292969","'83.30078125","'75.87890625","'85.15625000","'76.56250000","'81.59179688","'86.32812500","'67.18750000","'82.66601563","'45.65429688","'86.27929688","'84.03320313","'80.90820313","'84.03320313",
"'58.93554688","'74.95117188","'67.96875000","'66.79687500","'69.97070313","'72.02148438","'20.92285156","'72.65625000","'65.52734375","'41.11328125","'70.06835938","'60.83984375","'28.95507813","'67.23632813","'33.20312500","'66.79687500","'27.39257813","'64.64843750","'22.37548828","'69.33593750","'55.61523438","'62.15820313","'72.02148438","'38.45214844","'67.18750000","'39.13574219","'69.72656250","'63.52539063","'71.28906250","'64.11132813","'68.31054688","'72.26562500","'56.25000000","'69.18945313","'38.20800781","'72.21679688","'70.31250000","'67.72460938","'70.36132813",
"'64.35546875","'81.88476563","'74.26757813","'72.99804688","'76.41601563","'78.66210938","'22.85156250","'79.34570313","'71.58203125","'44.92187500","'76.51367188","'66.45507813","'31.61621094","'73.43750000","'36.27929688","'72.99804688","'29.93164063","'70.60546875","'24.43847656","'75.73242188","'60.74218750","'67.87109375","'78.71093750","'41.99218750","'73.38867188","'42.74902344","'76.12304688","'69.38476563","'77.88085938","'70.01953125","'74.60937500","'78.95507813","'61.47460938","'75.58593750","'41.74804688","'78.90625000","'76.80664063","'73.97460938","'76.85546875",
"'68.01757813","'86.47460938","'78.46679688","'77.09960938","'80.76171875","'83.10546875","'24.14550781","'83.83789063","'75.63476563","'47.46093750","'80.85937500","'70.21484375","'33.42285156","'77.58789063","'38.33007813","'77.09960938","'31.61621094","'74.60937500","'25.83007813","'80.02929688","'64.16015625","'71.72851563","'83.15429688","'44.36035156","'77.53906250","'45.16601563","'80.46875000","'73.29101563","'82.27539063","'73.97460938","'78.80859375","'83.39843750","'64.94140625","'79.88281250","'44.11621094","'83.34960938","'81.15234375","'78.17382813","'81.20117188",
