1,Chickenpox,841,825,"1,125","21,680","19,796","23,689",7,3,2,6,-,5,28,29,21,-,-,1,183,157,199,386,461,512,29,14,38,:,1,32,...,:,37,202,160,174,1
2,Diphtheria,1,-,1,45,48,71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,2
3,Dysentery:4,10,9,10,217,209,209,-,-,-,-,1,-,-,-,-,9.4,...,....,1,,3,1,-,1,-,2,-,-,-,-,2,-,-,6,6,2,3
4,(a) Amoebic,-,-,1,-,1,4,-,-,-,-,-,-,-,-,-,...,,,,,...,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,4
5,(b) Bacillary,10,9,10,217,208,208,-,-,-,-,1,-,-,-,-,P...,R.P.,,1,...,3,1,-,1,-,2,-,-,-,-,2,-,-,6,6,2,5
6,Encephalitis, infectious,-,-,1,6,9,13,-,-,-,...,A.P.,P..9,-,-,-,-,-,-,,,...,....,...,1,-,-,-,-,-,-,-,-,-,-,-,-,6
7,Influenza, epidemic,161,154,135,"7,078","35,539","8,476",P...,...,R.P.,76,94,...,79,36,55,-,-,1,-,-,-,3,1,4,1,7,2,-,15,-,...,P...,....,2,1,5,7
8,Measles,"1,659","1,490","1,709","32,120","33,945","36,841",4,3,2,11,24,2,21,29,34,-,I,1,568,319,393,861,967,550,42,41,36,....,9.8,19,18,30,232,134,77,180,8
9,Meningitis, meningococcal,6,11,5,142,132,132,3,1,-,,A.O.,...,1,-,-,2,4,-,-,-,-,-,1,1,-,-,-,-,-,1,.A,R.P.,,-,5,1,9
10,Mumps,574,542,651,"17,891","16,576","24,224",-,-,1,10,13,1,19,6,27,-,-,-,92,95,153,341,310,301,17,17,20,A..,..A,44,..A,,...A 17,95,101,88,10
11,Poliomyelitis, epidemic:4,1,4,8,57,94,94,-,-,-,-,-,-,-,-,-,-,-,-,1,4,1,-,-,2,-,-,-,-,-,-,-,-,-,-,-,4,11
12,(a) With paralysis,1,3,6,36,59,57,-,-,-,-,-,-,-,-,I,-,-,-,1,3,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,3,12
13,(b) Without paralysis,-,1,2,16,29,29,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,I,-,-,-,-,-,-,-,1,13
14,Rubella,"1,769","3,422",372,"39,985","13,802","6,850",-,-,-,,A.P.,,12,9,2,...,,a.e.,609,859,29,670,2077,150,1,8,-,,...R.,13,28,14,37,449,455,58,14
15,Scarlet fever, etc.⁵,259,331,281,"7,047","4,962","7,746",1,-,3,10,14,5,19,31,11,-,-,8,84,58,72,124,188,40,-,10,12,2,5,13,5,14,29,14,11,56,15
16,Smallpox,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,I,-,-,-,-,-,-,1,16
17,Tuberculosis:4,161,224,207,"3,620","3,708","4,284",4,8,8,-,-,1,-,3,2,17,5,17,62,97,61,28,25,29,8,16,19,2,17,6,27,23,27,13,30,19,17
18,(a) Pulmonary,124,184,169,"2,937","3,003","3,386",4,8,7,-,-,1,-,2,1,16,5,16,59,91,58,(6),(6),(6),8,16,19,2,14,6,24,20,21,11,28,19,18
19,(b) Non-pulmonary,9,14,11,216,235,205,-,-,-,-,-,-,-,-,-,1,-,-,3,6,3,(6),(6),(6),I,-,-,-,3,2,3,3,2,2,2,1,19
20,Typhoid and paratyphoid,21,7,7,151,101,186,1,-,-,-,-,-,-,I,-,1,I,-,13,4,5.,3,-,1,-,-,-,-,1,I,-,2,-,3,-,-,20
21,Undulant fever,5,2,4,60,41,45,-,-,-,-,-,-,-,-,-,,,,3,2,2,2,I,I,-,-,I,-,-,a,,,,I,I,I,21
22,Venereal diseases:,236,214,321,"6,372","6,823","7,095",5,7,9,1,-,-,10,5,17,2,3,6,60,76,81,(8),(8),60,30,17,27,18,33,23,47,39,48,63,34,42,22
23,(a) Syphilis, primary,-,-,2,45,47,94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,I,-,-,-,-,1,-,-,-,23
24,"(b) "" secondary",1,-,3,20,15,56,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,24
25,(c) other,27,38,53,768,984,"1,200",1,1,1,-,-,-,4,3,5,1,-,7,13,27,18,-,-,14,-,-,2,4,1,2,1,-,3,3,6,4,25
26,(d) Gonorrhoea,208,176,261,"5,539","5,764","5,746",4,6,8,1,-,-,6,2,9,1,3,5,47,49,65,-,-,46,30,17,23,14,32,19,45,39,44,60,28,37,26
27,(e) Other venereal diseases⁷,-,-,-,-,13,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27
28,Whooping cough,169,180,142,"3,805","5,940","3,563",7,2,-,20,29,-,-,-,6,1,-,-,97,68,54,10,16,30,6,19,2,5,12,3,8,15,19,15,19,24,28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table: Table_2
,Current,week,Disease,yeark,Calendar,year
,1956,1955,1956,1955,1956,1955
Total,112,240,676,"1,223","1,744","2,286"
Paralytic,53,85,351,490,935,954
Nonparalytic,38,81,219,395,504,685
Unspecified,21,74,106,338,305,647
