1,Chickenpox,1,2,1,51,54,81,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,2
2,Diphtheria,6,8,11,314,295,295,-,-,-,-,-,-,-,-,-,: .,:,:.,:.,:.,1,2,-,-,-,-,-,-,-,-,1,-,-,3,8,3,3
3,Dysentery:4,-,-,-,-,2,6,-,-,-,-,-,-,-,-,-,: .,:,:.,:.,:.,:.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
4,(a) Amoebic,6,8,11,314,293,293,-,-,-,-,-,-,-,-,-,..,:,:.,: .,:.,1,2,-,-,-,-,-,-,-,-,1,-,-,3,8,2,5
5,(h) Pacillary,-,1,1,10,13,17,-,-,-,...,...,...,-,-,-,-,-,-,:.,..,:.,...,:,: .,-,-,-,-,1,-,-,-,-,-,-,-,6
6,Encephalitis, infectious,139,134,45,"8,042","36,096","8,855",...,...,...,90,97,...,43,35,25,-,-,-,-,-,-,1,1,-,-,1,6,-,-,-,,,:,5,-,4,7
7,Influenza, epidemic,489,698,793,"38,511","41,140","44,369",3,2,3,23,19,8,19,18,10,....,..A,2,97,141,160,281,452,242,22,14,30,:,:,10,18,25,62,26,27,115,8
8,Measles,1,5,7,172,172,164,-,-,-,...,...,...,-,1,-,-,-,-,-,-,1,-,2,2,-,-,-,-,-,-,,:,:,1,2,-,9
9,Meningitis, meningococcal,186,295,263,"20,572","18,909","27,076",-,-,4.,13,10,1,1,-,9,...,..,...,33,23,29,88,193,115,6,9,14,. :,.,8,:,:.,8,45,60,30,10
10,Mumps,5,3,44,78,163,163,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,1,2,11,-,-,2,1,1,3,-,-,3,2,-,4,11
11,Poliomyelitis, epidemic:4,3,3,15,49,99,99,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,2,2,-,-,2,(6),1,1,-,-,-,1,-,-,12
12,(a) With paralysis,1,-,23,22,53,53,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,9,-,-,-,(6),-,-,-,-,-,1,-,4,13
13,(b) Without paralysis,316,566,135,"47,840","16,975","8,697",1,-,-,...,A.P,...,9,12,4,,9.9,...,55,70,4,118,208,20,3,2,-,...,....,5,14,19,23,116,255,21,14
14,Rubella 5,131,172,127,"8,175","5,844","8,963",-,1,3,8,21,4,39,66,7,-,-,2,9,6,26,57,58,23,1,1,8,2,1,11,11,4,14,4,14,22,15
15,Scarlet fever, etc.,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16
16 17,Smallpox Tuberculosis: 4,174,171,215,"4,769","4,935","5,507",5,8,10,2,1,2,2,1,3,13,14,16,81,41,75,23,13,25,4,17,16,9,10,19,18,24,19,17,42,19,17
18,,145,145,182,"3,889","3,994","4,414",5,8,8,1,-,1,2,1,2,13,13,16,80,40,73,(6),(6),(6),4,16,16,7,8,17,17,23,16,16,36,19,18
19,(a) Pulmonary (b) Non-pulmonary,6,13,9,282,319,264,-,-,-,1,1,-,-,-,-,-,1,-,1,1,2,(6),(6),(6),-,1,-,2,2,1,1,1,2,1,6,1,19
20,and paratyphoid,8,6,4,211,127,227,2,1,-,-,-,-,-,-,I,1,1,-,-,1,3,2,1,-,-,-,-,-,1,-,-,-,-,3,1,-,20
21,Typhoid Undulant fever,2,-,4,78,61,63,-,-,-,-,-,-,-,-,-,,..A,...,2,...,2,-,-,-,-,-,-,-,-,-,....,9.9,...,-,-,-,21
22,Venereal diseases:,269,273,368,"8,230","8,683","9,065",4,2,11,-,-,1,17,2,11,6,6,4,54,46,60,30,29,52,21,17,33,26,30,39,42,54,53,69,87,57,22
,,-,1,3,50,58,114,-,-,-,-,-,-,-,-,I,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,23
23 24,(a) Syphilis," primary "" secondary",-,1,4,23,20,69,-,-,-,-,-,-,-,-,I,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,24
25,(b) (c) other,27,30,64,979,"1,280","1,424",4,-,2,-,1,-,1,-,6,-,-,1,10,14,17,7,5,14,1,2,2,1,2,5,-,1,2,3,6,6,25
26,Gonorrhoea,242,241,285,"7,177","7,312","7,312",-,2,10,-,-,1,16,2,7,6,6,2,44,32,44,23,24,39,20,15,31,25,27,34,42,52,50,66,81,54,26
27,(d) (e) Other venereal diseases⁷,-,-,-,1,13,12,-,-,-,-,-,-,1,$,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27
28,,106,93,103,"4,586","7,146","4,464",2,I,-,8,13,1,3,2,2,-,-,-,45,23,45,&,9,29,2,16,3,10,5.,2,2,1,9,26,24,12,28
,Whooping cough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table: Table_2
Type,Current,week,Calendar,year,Disease,year
,1956,1955,1956,1955,1956,1955
Total,275,405,"2,931","4,111","1,864","3,048"
Paralytic,129,170,"1,528","1,188",945,"1,652"
Nonparalytic,91,162,902,"1,076",617,"1,366"
Unspecified,55,73,501,784,302,"1,093"
