1,Chickenpox,"1,028","1,137","1,083","14,425","13,421","15,326",2,1,4,-,-,3,16,32,31,-,-,1,335,276,179,382,579,524,14,29,24,P...,9.8,36,P.R.,A.P.,55,279,220,162,1
2,Diphtheria,1,8,4,37,36,42,-,-,-,-,-,-,-,-,-,-,-,-,1,8,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
3,Dysentery:4,4,7,17,120,114,114,-,-,-,-,I,-,-,-,-,,,A.O.,1,,.A,-,3,3,-,1,-,-,-,1,-,-,-,3,3,6,3
4,(a) Amoebic,-,-,-,-,-,1,-,-,-,=,-,-,-,-,-,,,,.A,,.A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
5,(b) Bacillary,4,7,17,120,114,114,-,-,-,-,-,-,-,-,-,A.O.,9.8,A.9.,1,R.P.,9.9,-,3,3,-,1,-,-,-,1,-,-,-,3,3,6,5
6,Encephalitis, infectious,-,1,-,4,5,6,-,-,-,....,R.R.,,-,-,-,-,-,-,..A,R.P.,..A,R.P.,...,R.P.,-,-,-,-,-,-,-,-,-,-,1,-,6
7,Influenza, epidemic,64,"2,230",651,"5,032","23,435","3,304",P...,9.9,R.P.,...,65,,46,63,84,-,-,1,-,-,-,11,26,22,4,1,9,-,-,1,....,a.e.,9.9,3,2075,12,7
8,Measles,"1,321","1,323","1,749","19,950","20,065","21,840",7,4,12,-,14,4,35,44,86,-,-,2,441,235,379,614,857,560,52,58,70,3,,30,14,10,170,155,101,161,8
9,Meningitis, meningococcal,3,7,7,78,92,85,2,-,-,,1,P...,-,-,-,-,-,-,-,1,1,-,4,2,-,-,-,-,-,-,P.R,R.A,...,1,1,1,9
10,Mumps,926,"1,139",975,"11,190","10,369","14,116",-,-,-,-,6,3,-,9,22,-,-,1,301,202,215,360,623,366,46,78,35,....,1.9,63,P.R.,R.P.,41,219,221,124,10
11,Poliomyelitis, epidemic:4,2,2,7,35,47,47,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,1,-,1,-,-,-,1,-,-,-,-,-,11
12,(a) With paralysis,1,2,3,21,35,35,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,12
13,(b) Without paralysis,1,-,1,9,9,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,I,-,-,-,13
14,Rubella,"2,509","2,154",432,"18,588","6,370","3,417",5,-,-,,,....,25,34,23,,,A.P.,1373,1027,26,356,657,229,7,8,1,,...,4,6,17,44,737,411,14,14
15,Scarlet fever, etc.5,333,415,432,"4,057","3,086","4,832",2,1,3,-,16,9,24,26,12,1,1,10,115,104,76,148,205,65,-,5,18,1,1,34,17,36,69,25,20,70,15
16,Smallpox,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16
17,Tuberculosis:4,169,150,207,"2,034","2,118","2,341",11,5,3,-,-,2,-,6,3,6,3,14,68,44,62,22,22,28,10,7,10,14,5,6,8,24,14,30,34,39,17
18,(a) Pulmonary,137,117,173,"1,666","1,687","1,911",11,5,2,-,-,2,-,6,3,6,3,14,66,42,62,(6),(6),(6),10,6,10,13,3,4,7,19,14,24,33,36,18
19,(b) Non-pulmenary,10,9,9,117,139,124,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,(6),(6),(6),-,1,-,1,-,2,1,5,...,6,1,1,19
20,Typhoid and paratyphoid,6,3,9,79,45,115,-,-,-,-,-,-,-,-,-,-,-,-,2,3,4,1,-,1,-,-,-,3,-,-,-,-,-,-,-,-,20
21,Undulant fever,2,4,1,36,20,24,-,-,-,-,-,-,I,-,-,a.e.,..A.,A.P.,2,2,1,-,-,-,-,1,-,-,-,-,....,1,,-,-,-,21
22,Venereal diseases:,284,279,351,"3,839","4,083","4,218",4,11,5,-,2,-,10,8,14,1,9.,6,46,58,83,49,43,71,30,31,22,20,12,24,61,49,42,63,56,55,22
23,(a) Syphilis, primary,2,1,6,31,28,48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,1,-,-,-,1,1,-,1,-,-,-,23
24,(b) secondary,-,-,2,13,8,36,-,-,1,-,-,-,I,I,I,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,I,-,-,-,24
25,(c) other,26,32,58,412,597,691,-,2,3,-,-,-,2,1,3,-,-,3,8,16,14,8,11,15,5,-,3,1,-,2,1,1,2,1,1,4,25
26,(d) Gonorrhoea,256,246,293,"3,383","3,443","3,301",4,9,2,-,2,-,8,7,8,1,9,4,38,42,66,41,32,55,24,30,17,19,12,18,59,48,40,62,55,45,26
27,(e) Other venereal diseases⁷,-,-,-,-,7,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,I,-,-,-,-,27
28,Whooping cough,160,157,157,"2,030","4,105","2,202",2,6,-,-,9,-,I,2,7,-,1,-,112,78,36,11,18,44,7,7,5,2,1,2,15,7,14,11,28,14,28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
