1,Chickenpox,632,623,779,"24,590","22,564","28,485",4,-,3,6,10,4,27,25,41,: .,..,,93,154,91,343,324,362,33,12,30,:,,24,:.,:,26,126,98,134,1
2,Diphtheria,-,1,3,46,52,81,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,2
3,Dysentery:,14,20,10,299,245,245,-,-,-,-,,,-,-,-,-,,,,1,,,-,-,1,-,-,1,-,-,-,-,2,-,13,18,5,3
4,(a) Amoebic,-,-,-,-,1,6,-,-,-,-,-,-,-,-,-,,:,:,,...,...,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
5,(b) Bacillary,14,20,10,299,244,244,-,-,-,-,-,-,-,-,-,,:,:.,1,...,,-,-,1,-,-,1,-,-,-,-,2,-,13,18,5,5
6,Encephalitis, infectious,1,-,-,9,11,16,-,-,-,,,,-,-,-,-,-,-,....,...,,,,,-,-,-,1,-,-,-,-,-,-,-,-,6
7,Influenza, epidemic,168,160,42,"7,769","35,988","8,774",,,,140,88,....,26,67,31,-,1,1,-,-,-,1,3,1,1,1,1,-,-,-,....,....,,-,-,-,7
8,Measles,"1,137","1,382",974,"37,324","39,478","42,610",2,4,10,12,16,7,20,27,23,...,...,4,190,456,210,762,695,354,38,26,23,..,:.,13,37,30,P... 136,76,128,141,8
9,Meningitis, meningococcal,8,2,4,165,156,154,-,-,-,,,,2,-,-,-,-,-,-,1,-,-,1,1,1,-,-,2,-,-,.....,...,,3,-,-,9
10,Mumps,417,491,389,"20,091","18,473","26,448",-,1,-,8,21,1,3,-,13,....,....,,45,101,84,259,260,196,21,24,18,....,...,17,....,:..,... 17,81,84,58,10
11,Poliomyelitis, epidemic:4,2,5,17,70,131,131,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,2,8,-,1,-,-,-,-,-,-,4,1,2,4,11
12,(a) With paralysis,2,1,9,43,80,80,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,3,-,1,-,-,-,-,-,-,-,1,-,1,12
13,(b) Without paralysis,-,4,8,21,41,41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,5,-,-,-,-,-,-,-,-,-,-,2,1,13
14,Rubella,968,"1,653",205,"46,899","16,549","8,357",1,1,-,,:,,38,32,5,...,...,,152,481,12,497,586,62,1,4,-,,:,8,19,19,32,260,530,31,14
15,Scarlet fever, etc.⁵,170,188,201,"7,858","5,618","8,666",1,2,3,7,16,1,34,19,6,-,-,2,16,54,57,85,78,48,3,2,6,3,1,21,10,6,20,11,10,30,15
16,Smallpox,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,16
17,Tuberculosis:4,167,182,243,"4,425","4,552","5,122",10,12,8,1,1,-,1,6,1,3,5,17,54,50,91,24,18,28,6,8,12,-,-,16,28,40,25,40,42,32,17
18,(a) Pulmonary,134,148,192,"3,600","3,683","4,076",10,12,7,1,1,-,1,6,1,-,5,17,53,47,91,(6),(6),(6),6,7,12,-,-,11,26,34,23,37,36,30,18
19,(b) Non-pulmonary,9,16,13,263,297,248,-,-,-,-,-,-,-,-,-,3,-,-,1,3,1,(6),(6),(6),-,1,-,-,-,5,2,6,2,3,6,5,19
20,Typhoid and paratyphoid,11,10,7,196,123,221,2,-,-,-,-,-,-,-,-,-,1,-,5,3,5,1,2,1,-,-,-,-,1,-,-,-,-,3,3,-,20
21,Undulant fever,3,5,3,76,55,59,-,-,-,-,-,-,-,-,-,,:,,1,1,1,1,3,1,1,1,-,-,-,-,,....,...,-,-,-,21
22,Venereal diseases:,282,327,297,"7,688","7,977","8,466",-,13,9,-,1,-,8,4,7,2,4,6,50,70,55,46,39,57,21,22,33,23,27,30,56,59,54,76,88,56,22
23,(a) Syphilis, primary,2,1,5,49,57,104,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-,1,-,-,-,1,1,-,-,-,-,-,23
24,"(b) "" secondary",1,-,3,22,18,65,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,1,5.,-,-,-,-,24
25,"(c) "" other",36,22,50,922,"1,142","1,339",-,-,-,-,-,-,-,1,2,-,-,1,19,11,18,5,8,12,-,-,1,4,-,2,2,1,3,6,1,2,25
26,(d) Gonorrhoea,242,304,234,"6,694","6,747","6,752",-,13,9,-,1,-,8,3,4,2,4,5,31,59,42,40,31,46,20,21,29,19,27,24,52,58,49,70,87,52,26
27,(e) Other venereal diseases⁷,1,-,-,1,13,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,27
28,Whooping cough,130,165,121,"4,387","6,817","4,239",-,-,-,39,19,-,3,-,2,-,2,-,54,86,43,10,10,28,8,8,6,-,9,3,5,17,17,11,14,22,28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
