source_file,row_data
Montreal.csv,source_file,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27
Montreal.csv,page_0033_tables.csv,,Montréal-Nord,,,,5,,,,,,,1,,,,,,,,,,,,,,
Montreal.csv,page_0034_tables.csv,,Montreal West,,,,,,,,,,,,,,3,,,,,,,,,,,
Montreal.csv,page_0034_tables.csv,,Montréal,,,84,121,,34,21,,7,2,163,,,309,39,379,,,152,,7,121,3,,
Montreal.csv,page_0035_tables.csv,,Montréal-Est,,,,,,,,,,,,,,,,1,,,,,,,,,
Montreal.csv,page_0036_tables.csv,,Montreal-West,,,,,,,,,,,,,,,,4,,,,,,,,,
Montreal.csv,page_0037_tables.csv,,Montréal Nord,,,,,,,,,,,,,,,,,,,1,,,,,,
Montreal.csv,page_0037_tables.csv,,Montreal West,,,,1,,,,,,,,,,,,,,,,,1,,,,
Montreal.csv,page_0038_tables.csv,,Montréal,,,77,76,,13,5,,2,,115,,,271,41,250,1,,156,,6,100,2,,
Montreal.csv,page_0038_tables.csv,Laval,Montréal Est,,,,,,,,,,,,,,,,1,,,,,,,,,
Montreal.csv,page_0039_tables.csv,,Montreal-West,,,,,,,,,,,,,,,,,,,1,,,,,,
Montreal.csv,page_0040_tables.csv,,Montréal Québec,,,107,63,,17,2,,8,,29,2,,105,7,,,,,,,,,,
Montreal.csv,page_0041_tables.csv,,Montréal,,,,,,,,,,,,2,,,,25,,,,,,,,,
Montreal.csv,page_0042_tables.csv,,Montréal,,,271,72,1,5,5,,4,,11,16,,29,5,126,1,,159,,18,6,,,
Montreal.csv,page_0043_tables.csv,,Montréal Est,,,,,,,,,,,,,,,,,,,,,1,,,,
Montreal.csv,page_0044_tables.csv,,Montréal Nord,,,,,,,,,,,,1,,,,,,,,,,,,,
Montreal.csv,page_0045_tables.csv,Westmount Wolfe Yamaska,Hudson Heights Montreal West Outremont Westmount Stratford,,,,1 1,,,,,,,,1,,,1,2,,,3,,,3,,,
Montreal.csv,page_0045_tables.csv,,Montréal,,,,,,,,,,,,,,,,,,,,,,,,,
Montreal.csv,page_0046_tables.csv,Westmount,Montreal West,,,,,,,,,,,,,,,,,,,,,,,1,,
Montreal.csv,page_0047_tables.csv,,Montréal Québec,,,346,165,,9,3,,,,,,,,,,,,,,,,,,
Montreal.csv,page_0047_tables.csv,Laval,Montréal Est,,,,,,,,,,,,,,,,,,,,,,1,,,
Montreal.csv,page_0048_tables.csv,,Montreal West,,,,,,,,,,,,,,,,,1,,,,,3,,,
Montreal.csv,page_0049_tables.csv,,Montréal Québec,,,313 2,112 32,2,14,15,,3,,246,,,222,14,264,,,212,,4,385,,,
Montreal.csv,page_0049_tables.csv,,Montréal Est,,,,,,,,,,,,,,,,2,,,,,,,,,
Montreal.csv,page_0050_tables.csv,Westmount,Montreal West,,,,,,,,,,,,,,1,,5,,,,,,,,,
Montreal.csv,page_0050_tables.csv,,Montréal,,,405,121,,19,25,,4,,402,,,172,17,312,1,,167,,4,346,5,,
Montreal.csv,page_0051_tables.csv,Laval,Montréal-Nord Pointe aux Trembles Laval des Rapides St-Jean de Dieu,,,,,2,,1,,,,,,,,2,,3 1,,,1,,1 1,,,
Montreal.csv,page_0052_tables.csv,,Montreal West,,,,,,,,,,,,,5,,,,,2,,,,,,,
Montreal.csv,page_0052_tables.csv,,Montréal,,,1,19,,,,,,,,,,,,,,,,,,,,,
Montreal.csv,page_0053_tables.csv,,Montréal-Sud,,,,,,1,,,,,1,,,2,,3,,,,,,,,,
Montreal.csv,page_0053_tables.csv,,Montréal-Nord,,,,,,,,,,,,,,,,,,,1,,,,,,
Montreal.csv,page_0054_tables.csv,,Montréal,,,270,86,,31,16,,6,,456,,,259,74,271,6,,238,,4,260,,,
Montreal.csv,page_0055_tables.csv,,Montréal Nord,,,,,,1,,,,,,,,,,,,,1,,,,,,
Montreal.csv,page_0055_tables.csv,,Montréal Est,,,,,,,,,,,,,,,,,,,1,,,,,,
