source_file,value_at_4,computed_sum,values_used,matches
cdi_ca_1956_wk_prov_dbs_Part49_tables.csv,183,13396,9:13007;12:3;15:12;18:15;21:1;24:137;27:70;30:17;33:18;36:26;39:90,False
cdi_ca_1956_wk_prov_dbs_Part4_tables.csv,329,1825,9:1458;12:2;15:7;18:9;21:4;24:92;27:64;30:20;33:13;36:77;39:79,False
cdi_ca_1956_wk_prov_dbs_Part50_tables.csv,200,13690,9:13397;12:3;15:6;18:10;24:82;27:50;30:10;33:41;36:50;39:41,False
cdi_ca_1956_wk_prov_dbs_Part51_tables.csv,94,14390,9:14148;12:4;15:5;18:5;21:2;24:42;27:90;30:7;33:31;36:29;39:27,False
cdi_ca_1956_wk_prov_dbs_Part52_tables.csv,145,14406,9:14054;12:3;15:10;18:28;21:3;24:69;27:63;30:12;33:12;36:98;39:54,False
cdi_ca_1956_wk_prov_dbs_Part5_tables.csv,342,2167,9:1785;12:3;15:7;18:2;21:1;24:84;27:66;30:20;33:26;36:93;39:80,False
cdi_ca_1956_wk_prov_dbs_Part6_tables.csv,341,2589,9:2157;12:3;15:8;18:13;21:3;24:108;27:69;30:13;33:28;36:70;39:117,False
cdi_ca_1956_wk_prov_dbs_Part7_tables.csv,346,2920,9:2548;12:1;15:9;18:11;21:7;24:71;27:95;30:17;33:15;36:64;39:82,False
cdi_ca_1956_wk_prov_dbs_Part8_tables.csv,342,3374,9:2986;12:2;15:4;18:20;21:3;24:100;27:67;30:17;33:21;36:55;39:99,False
cdi_ca_1956_wk_prov_dbs_Part9_tables.csv,402,3885,9:3479;12:2;15:2;18:18;21:3;24:126;27:63;30:25;33:21;36:72;39:74,False
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,402,4302,9:3904;12:1;15:6;18:23;21:19;24:87;27:89;30:7;33:21;36:68;39:77,False
padded_cdi_ca_1956_wk_prov_dbs_Part11_tables.csv,415,4670,9:4343;15:7;18:9;21:19;24:100;27:68;30:15;33:10;36:42;39:57,False
padded_cdi_ca_1956_wk_prov_dbs_Part12_tables.csv,333,5198,9:4832;12:3;15:9;18:12;21:10;24:76;27:65;30:18;33:34;36:69;39:70,False
padded_cdi_ca_1956_wk_prov_dbs_Part13_tables.csv,319,5576,9:5272;12:1;15:3;18:31;21:9;24:70;27:67;30:15;33:9;36:49;39:50,False
padded_cdi_ca_1956_wk_prov_dbs_Part14_tables.csv,537,6070,9:5714;15:7;18:6;21:15;24:105;27:74;30:11;33:23;36:50;39:65,False
