source_file,value_at_4,computed_sum,values_used,matches
cdi_ca_1956_wk_prov_dbs_Part52_tables.csv,112,92,12:1;21:39;24:13;27:5;30:3;33:3;39:28,False
cdi_ca_1956_wk_prov_dbs_Part5_tables.csv,219,255,9:1;12:14;15:3;18:2;21:77;24:58;27:14;30:4;33:13;36:41;39:28,False
cdi_ca_1956_wk_prov_dbs_Part6_tables.csv,227,178,9:5;12:17;18:4;21:70;24:9;27:8;30:13;33:8;36:16;39:28,False
cdi_ca_1956_wk_prov_dbs_Part7_tables.csv,151,161,9:3;12:17;15:2;21:50;24:23;27:5;30:2;33:4;36:27;39:28,False
cdi_ca_1956_wk_prov_dbs_Part8_tables.csv,133,171,9:9;12:13;15:3;21:46;24:36;27:9;30:7;33:6;36:14;39:28,False
cdi_ca_1956_wk_prov_dbs_Part9_tables.csv,143,225,12:19;15:8;18:8;21:76;24:13;27:10;30:10;33:14;36:39;39:28,False
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,197,168,9:8;12:15;15:9;18:1;21:67;24:7;27:4;30:7;33:15;36:7;39:28,False
padded_cdi_ca_1956_wk_prov_dbs_Part11_tables.csv,140,185,9:6;12:9;15:2;18:1;21:78;24:18;27:7;30:1;33:7;36:28;39:28,False
padded_cdi_ca_1956_wk_prov_dbs_Part12_tables.csv,157,188,9:2;21:112;24:11;27:7;30:2;33:15;36:11;39:28,False
padded_cdi_ca_1956_wk_prov_dbs_Part13_tables.csv,179,249,9:34;12:11;15:5;18:2;21:106;24:22;27:2;30:2;33:4;36:33;39:28,False
padded_cdi_ca_1956_wk_prov_dbs_Part14_tables.csv,221,211,9:1;12:16;15:1;21:80;24:17;27:13;30:14;33:7;36:34;39:28,False
padded_cdi_ca_1956_wk_prov_dbs_Part15_tables.csv,183,236,12:15;18:4;21:111;24:24;27:11;33:20;36:23;39:28,False
padded_cdi_ca_1956_wk_prov_dbs_Part16_tables.csv,209,223,12:29;15:3;18:2;21:81;24:17;27:8;30:2;33:10;36:43;39:28,False
padded_cdi_ca_1956_wk_prov_dbs_Part17_tables.csv,195,223,9:5;12:14;15:33;21:72;24:32;27:3;30:2;33:10;36:24;39:28,False
padded_cdi_ca_1956_wk_prov_dbs_Part18_tables.csv,195,225,9:2;12:25;15:5;18:3;21:70;24:19;27:13;30:10;33:14;36:36;39:28,False
