file,Chickenpox,Mumps,disease
cdi_ca_1956_wk_prov_dbs_Part31_tables.csv,188.0,128.0,
cdi_ca_1956_wk_prov_dbs_Part32_tables.csv,,,
cdi_ca_1956_wk_prov_dbs_Part33_tables.csv,94.0,100.0,
cdi_ca_1956_wk_prov_dbs_Part34_tables.csv,235.0,127.0,
cdi_ca_1956_wk_prov_dbs_Part35_tables.csv,98.0,96.0,
cdi_ca_1956_wk_prov_dbs_Part36_tables.csv,90.0,136.0,
cdi_ca_1956_wk_prov_dbs_Part37_tables.csv,119.0,153.0,
cdi_ca_1956_wk_prov_dbs_Part38_tables.csv,119.0,139.0,
cdi_ca_1956_wk_prov_dbs_Part39_tables.csv,122.0,165.0,
cdi_ca_1956_wk_prov_dbs_Part3_tables.csv,1145.0,709.0,
cdi_ca_1956_wk_prov_dbs_Part40_tables.csv,161.0,169.0,
cdi_ca_1956_wk_prov_dbs_Part41_tables.csv,350.0,184.0,
cdi_ca_1956_wk_prov_dbs_Part42_tables.csv,461.0,212.0,
cdi_ca_1956_wk_prov_dbs_Part43_tables.csv,592.0,292.0,
cdi_ca_1956_wk_prov_dbs_Part44_tables.csv,645.0,352.0,
cdi_ca_1956_wk_prov_dbs_Part45_tables.csv,634.0,383.0,
cdi_ca_1956_wk_prov_dbs_Part46_tables.csv,842.0,426.0,
cdi_ca_1956_wk_prov_dbs_Part47_tables.csv,876.0,494.0,
cdi_ca_1956_wk_prov_dbs_Part48_tables.csv,994.0,540.0,
cdi_ca_1956_wk_prov_dbs_Part49_tables.csv,863.0,585.0,
cdi_ca_1956_wk_prov_dbs_Part4_tables.csv,1345.0,,
cdi_ca_1956_wk_prov_dbs_Part50_tables.csv,923.0,551.0,
cdi_ca_1956_wk_prov_dbs_Part51_tables.csv,519.0,478.0,
cdi_ca_1956_wk_prov_dbs_Part52_tables.csv,609.0,310.0,
cdi_ca_1956_wk_prov_dbs_Part5_tables.csv,1285.0,1084.0,
cdi_ca_1956_wk_prov_dbs_Part6_tables.csv,1279.0,876.0,
cdi_ca_1956_wk_prov_dbs_Part7_tables.csv,1303.0,886.0,
cdi_ca_1956_wk_prov_dbs_Part8_tables.csv,1199.0,1102.0,
cdi_ca_1956_wk_prov_dbs_Part9_tables.csv,1224.0,904.0,
source_file,,,
