source_file,disease,cases
cdi_ca_1957_wk_prov_dbs__0015__wk15.csv,Chickenpox,895
cdi_ca_1957_wk_prov_dbs__0015__wk15.csv,Mumps,588
cdi_ca_1957_wk_prov_dbs__0016__wk16.csv,Chickenpox,1004
cdi_ca_1957_wk_prov_dbs__0016__wk16.csv,Mumps,620
cdi_ca_1957_wk_prov_dbs__0017__wk17.csv,Chickenpox,758
cdi_ca_1957_wk_prov_dbs__0017__wk17.csv,Mumps,476
cdi_ca_1957_wk_prov_dbs__0018__wk18.csv,Chickenpox,1340
cdi_ca_1957_wk_prov_dbs__0018__wk18.csv,Mumps,724
cdi_ca_1957_wk_prov_dbs__0019__wk19.csv,Chickenpox,990
cdi_ca_1957_wk_prov_dbs__0019__wk19.csv,Mumps,597
cdi_ca_1957_wk_prov_dbs__0020__wk20.csv,Chickenpox,775
cdi_ca_1957_wk_prov_dbs__0020__wk20.csv,Mumps,549
cdi_ca_1957_wk_prov_dbs__0021__wk21.csv,Chickenpox,772
cdi_ca_1957_wk_prov_dbs__0021__wk21.csv,Mumps,568
cdi_ca_1957_wk_prov_dbs__0022__wk22.csv,Chickenpox,762
cdi_ca_1957_wk_prov_dbs__0022__wk22.csv,Mumps,503
cdi_ca_1957_wk_prov_dbs__0023__wk23.csv,Chickenpox,881
cdi_ca_1957_wk_prov_dbs__0023__wk23.csv,Mumps,453
cdi_ca_1957_wk_prov_dbs__0024__wk24.csv,Chickenpox,731
cdi_ca_1957_wk_prov_dbs__0024__wk24.csv,Mumps,503
cdi_ca_1957_wk_prov_dbs__0025__wk25.csv,Chickenpox,665
cdi_ca_1957_wk_prov_dbs__0025__wk25.csv,Mumps,329
cdi_ca_1957_wk_prov_dbs__0026__wk26.csv,Chickenpox,439
cdi_ca_1957_wk_prov_dbs__0026__wk26.csv,Mumps,255
cdi_ca_1957_wk_prov_dbs__0027__wk27.csv,Chickenpox,303
cdi_ca_1957_wk_prov_dbs__0027__wk27.csv,Mumps,206
cdi_ca_1957_wk_prov_dbs__0028__wk28.csv,Chickenpox,255
cdi_ca_1957_wk_prov_dbs__0028__wk28.csv,Mumps,165
cdi_ca_1957_wk_prov_dbs__0029__wk29.csv,Chickenpox,202
cdi_ca_1957_wk_prov_dbs__0029__wk29.csv,Mumps,147
cdi_ca_1957_wk_prov_dbs__0030__wk30.csv,Chickenpox,257
cdi_ca_1957_wk_prov_dbs__0030__wk30.csv,Mumps,161
cdi_ca_1957_wk_prov_dbs__0031__wk31.csv,Chickenpox,123
cdi_ca_1957_wk_prov_dbs__0031__wk31.csv,Mumps,108
cdi_ca_1957_wk_prov_dbs__0032__wk32.csv,Chickenpox,76
cdi_ca_1957_wk_prov_dbs__0032__wk32.csv,Mumps,137
cdi_ca_1957_wk_prov_dbs__0033__wk33.csv,Chickenpox,67
cdi_ca_1957_wk_prov_dbs__0033__wk33.csv,Mumps,72
cdi_ca_1957_wk_prov_dbs__0034__wk34.csv,Chickenpox,68
cdi_ca_1957_wk_prov_dbs__0034__wk34.csv,Mumps,73
cdi_ca_1957_wk_prov_dbs__0035__wk35.csv,Chickenpox,109
cdi_ca_1957_wk_prov_dbs__0035__wk35.csv,Mumps,51
cdi_ca_1957_wk_prov_dbs__0036__wk36.csv,Chickenpox,82
cdi_ca_1957_wk_prov_dbs__0036__wk36.csv,Mumps,104
cdi_ca_1957_wk_prov_dbs__0037__wk37.csv,Chickenpox,114
cdi_ca_1957_wk_prov_dbs__0037__wk37.csv,Mumps,156
cdi_ca_1957_wk_prov_dbs__0038__wk38.csv,Chickenpox,109
cdi_ca_1957_wk_prov_dbs__0038__wk38.csv,Mumps,91
cdi_ca_1957_wk_prov_dbs__0039__wk39.csv,Chickenpox,115
cdi_ca_1957_wk_prov_dbs__0039__wk39.csv,Mumps,123
cdi_ca_1957_wk_prov_dbs__0040__wk40.csv,Chickenpox,129
cdi_ca_1957_wk_prov_dbs__0040__wk40.csv,Mumps,96
cdi_ca_1957_wk_prov_dbs__0041__wk41.csv,Chickenpox,159
cdi_ca_1957_wk_prov_dbs__0041__wk41.csv,Mumps,65
cdi_ca_1957_wk_prov_dbs__0042__wk42.csv,Chickenpox,169
cdi_ca_1957_wk_prov_dbs__0042__wk42.csv,Mumps,98
cdi_ca_1957_wk_prov_dbs__0043__wk43.csv,Chickenpox,287
cdi_ca_1957_wk_prov_dbs__0043__wk43.csv,Mumps,129
cdi_ca_1957_wk_prov_dbs__0044__wk44.csv,Chickenpox,282
cdi_ca_1957_wk_prov_dbs__0044__wk44.csv,Mumps,145
cdi_ca_1957_wk_prov_dbs__0045__wk45.csv,Chickenpox,275
cdi_ca_1957_wk_prov_dbs__0045__wk45.csv,Mumps,97
cdi_ca_1957_wk_prov_dbs__0046__wk46.csv,Chickenpox,258
cdi_ca_1957_wk_prov_dbs__0046__wk46.csv,Mumps,193
cdi_ca_1957_wk_prov_dbs__0047__wk47.csv,Chickenpox,385
cdi_ca_1957_wk_prov_dbs__0047__wk47.csv,Mumps,237
cdi_ca_1957_wk_prov_dbs__0048__wk48.csv,Chickenpox,402
cdi_ca_1957_wk_prov_dbs__0048__wk48.csv,Mumps,239
cdi_ca_1957_wk_prov_dbs__0049__wk49.csv,Chickenpox,646
cdi_ca_1957_wk_prov_dbs__0049__wk49.csv,Mumps,330
cdi_ca_1957_wk_prov_dbs__0050__wk50.csv,Chickenpox,474
cdi_ca_1957_wk_prov_dbs__0050__wk50.csv,Mumps,182
cdi_ca_1957_wk_prov_dbs__0051__wk51.csv,Chickenpox,308
cdi_ca_1957_wk_prov_dbs__0051__wk51.csv,Mumps,184
cdi_ca_1957_wk_prov_dbs__0052__wk52.csv,Chickenpox,398
cdi_ca_1957_wk_prov_dbs__0052__wk52.csv,Mumps,173
