file,Measles,Meningitis
1958week_0006_tables.csv,574.0,5.0
1958week_0007_tables.csv,771.0,14.0
1958week_0008_tables.csv,822.0,5.0
1958week_0009_tables.csv,677.0,6.0
1958week_0010_tables.csv,618.0,7.0
1958week_0011_tables.csv,576.0,4.0
1958week_0012_tables.csv,691.0,6.0
1958week_0013_tables.csv,753.0,2.0
1958week_0014_tables.csv,665.0,4.0
1958week_0015_tables.csv,494.0,7.0
1958week_0016_tables.csv,695.0,11.0
1958week_0017_tables.csv,935.0,8.0
1958week_0018_tables.csv,1068.0,4.0
1958week_0019_tables.csv,819.0,4.0
1958week_0020_tables.csv,1026.0,7.0
1958week_0021_tables.csv,773.0,2.0
1958week_0022_tables.csv,1065.0,5.0
1958week_0023_tables.csv,1095.0,5.0
1958week_0024_tables.csv,1112.0,3.0
1958week_0025_tables.csv,1158.0,6.0
1958week_0026_tables.csv,1056.0,4.0
1958week_0027_tables.csv,869.0,8.0
1958week_0028_tables.csv,778.0,4.0
1958week_0029_tables.csv,708.0,2.0
1958week_0030_tables.csv,508.0,3.0
1958week_0031_tables.csv,346.0,6.0
1958week_0032_tables.csv,,66.0
1958week_0033_tables.csv,310.0,6.0
1958week_0034_tables.csv,200.0,7.0
1958week_0035_tables.csv,,6.0
1958week_0036_tables.csv,162.0,3.0
1958week_0037_tables.csv,125.0,4.0
1958week_0038_tables.csv,549.0,2.0
1958week_0039_tables.csv,262.0,10.0
1958week_0040_tables.csv,14.0,6.0
1958week_0041_tables.csv,281.0,3.0
1958week_0042_tables.csv,321.0,4.0
1958week_0043_tables.csv,491.0,4.0
1958week_0044_tables.csv,496.0,3.0
1958week_0045_tables.csv,645.0,6.0
1958week_0046_tables.csv,661.0,8.0
1958week_0047_tables.csv,,8.0
1958week_0048_tables.csv,849.0,4.0
1958week_0049_tables.csv,867.0,5.0
1958week_0050_tables.csv,965.0,2.0
1958week_0051_tables.csv,646.0,3.0
1958week_0052_tables.csv,602.0,4.0
1958week_0053_tables.csv,611.0,1.0
