DOMINION BUREAU OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEALTH AND WELFARE DIVISION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Summary of Cases of Notifiable Diseases in Canada, as reported by the Provincial Health Departments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"for the week ended October 12, 1957, in comparison with the previous week 1, and the 5 year (1952-56) Median",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,DISEASE,CANADA 2,,,,,,NFLD.,,,P.E.I.,,,N.S,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,,No. ,,,,,,,,,,,
,,Report Week,Previous Week,Median 1952-56,Cumulative Total 3,,,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week ,Previous Week,Median 1952-56,,,,,,,,,,,,
26,(d) Gonorrhoea,288,241,276,11246,11267,11533,6,1,12,-,1,1,10,6,10,3,5,3,43,46,61,43,35,38,27,45,30,26,21,33,53,34,59,77,53,33,26,,,,,,,,,,,
27,(e) Other venereal diseases 7,-,-,-,9,8,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,,,,,,,,,,,
28,Whooping cough,68,100,185,5994,6803,7059,-,-,-,1,-,1,-,18,4,-,-,-,26,19,104,14,33,33,-,-,5,4,5,8,3,13,12,20,12,13,28,,,,,,,,,,,
"(1) Figures adjusted for delayed reports. (2) Exclusive of Yukon and Northwest Territories. (3) Total accumulated to the end of the current week from the first week ending in January of the year stated. (4) Includes cases where type was not specified. (5) Scarlet fever includes cases of streptococcal sore throat, strptococcal sore throat not reportable in New Brunsick and Quebec. (6) Type not specified. (7) Includes chancroid, granuloma inguinale and lymphogranuloma venereum. .. Not reportable. (8) Report not received",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"THE SITUATION IN THE UNITED STATES (Source: ""MORBIDITY AND MORTALITY-WEEKLY REPORT"", U.S. National Office of Vital Statistics): Number of reported cases for the current week (previous week in parentheses):",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Diphtheria,25 (29),Measles,1109 (818),"Meningitis, other",41 (57),"Poliomyelitis, with paralysis",88 (103),Smallpox,- (-),Undulant fever,27 (25),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Encephalitis, infectious",44 (36),Meningococcal infections,51 (44),"Poliomyelitis, acute",169 (211),"Poliomyelitis, without paralysis",64 (63),Typhoid fever,48 (42),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Influenza and influenza-like disease continues to increase in many parts of the country. The number of cases for the week ended October 12 is estimated to have been not less than360,000, and the cumulative total not less than 1437000. The presence of illness caused by the Asian strain of type A influenza virus has been confirmed in all sections of the country although not every state has reported isolations of virus or serologic confirmation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"* NEW BRUNSWICK reports Influenza-like Disease (Westmorland County) (1) Mount Allison University 150 students 2 weeks ago. (2) Town of Sackville, 42% of school children and several teachers last week. (3) Port Elgin school is closed at present time with 8 of 13 teachers sick and 26% of school children.
NEWFOUNDLAND reports influenza (epidemic) at St.John's; Grand Falls; Port au Port Peninsula; Marystown, P.B., North and South; Creston North.
**NEWFOUNDLAND reports Scarlet Fever and Strptococcal Sore Throat (epidemic) at Deer Lake.
YUKON TERRITORY: Number of cases four weeks ended October 5: chickenpox, 21; dysentary, bacillary, 4; influenza, epidemic, 642; measles, 24; meningitis, meningococcal, 1; scarlet fever, 4; gonorrhoea, 15; other venereal diseases, 1.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ENTERED BY: Samara Manzin on June 21, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File copied from: cdi_ca_1957_wk_province_dbs.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
