"'19","'(b) Non-pulmonary","'3","'1","'9","'3","'10","'7","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'2","'(6)","'(6)","'(6)","'-","'-","'-","'-","'1","'1","'R.A","'","'1","'3","'-","'4","'",
"'20","'Typhoid and paratyphoid","'6","'6","'4","'6","'4","'5","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'6","'3","'1","'-","'2","'-","'-","'-","'-","'-","'1","'-","'-","'-","'-","'-","'-","'-","'",
"'21","'Undulant fever","'5","'1","'1","'5","'1","'1","'-","'-","'1","'-","'-","'-","'-","'-","'-","'","'","'A.P.","'3","'1","'...","'2","'-","'-","'-","'-","'-","'-","'-","'-","'","'","'A.A","'I","'-","'I","'",
"'22","'Venereal diseases:","'259","'240","'416","'258","'336","'336","'6","'2","'11","'1","'-","'-","'12","'10","'10","'1","'1","'6","'94","'37","'117","'37","'46","'65","'10","'33","'38","'12","'10","'33","'59","'38","'51","'27","'63","'65","'",
"'23","'(a) Syphilis, primary","'3","'3","'6","'3","'6","'6","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'1","'-","'-","'1","'-","'-","'-","'-","'1","'2","'3","'2","'-","'-","'-","'-","'",
"'24","'(b) "" secondary","'3","'-","'1","'2","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'1","'1","'-","'-","'-","'-","'-","'-","'-","'-","'2","'-","'-","'-","'-","'-","'",
"'25","'(c) other","'20","'20","'43","'20","'38","'39","'-","'-","'2","'1","'-","'-","'-","'1","'1","'-","'-","'1","'9","'9","'17","'4","'7","'14","'-","'-","'2","'1","'1","'3","'4","'-","'1","'1","'2","'6","'",
"'26","'(d) Gonorrhoea","'233","'217","'338","'233","'292","'292","'6","'2","'8","'--","'-","'-","'12","'9","'8","'1","'1","'5","'85","'28","'96","'32","'39","'54","'10","'33","'35","'11","'8","'28","'50","'36","'49","'26","'61","'59","'",
"'27","'(e) Other venereal diseases⁷","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'",
"'28","'Whooping cough","'131","'118","'190","'131","'331","'159","'2","'5","'-","'12","'7","'-","'2","'5","'5","'2","'1","'1","'27","'24","'51","'51","'53","'48","'-","'8","'7","'5","'6","'3","'12","'1","'10","'18","'8","'17","'",
"'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

'Confidence Scores % (Table Cell)
""'70.75195313","'91.35742188","'68.01757813","'68.01757813","'68.01757813","'68.01757813","'68.01757813","'68.01757813","'80.56640625","'80.56640625","'80.56640625","'80.66406250","'80.66406250","'80.66406250","'86.08398438","'86.08398438","'86.08398438","'92.62695313","'44.94628906","'90.96679688","'87.01171875","'87.01171875","'87.01171875","'87.25585938","'87.25585938","'87.25585938","'89.01367188","'89.01367188","'89.01367188","'89.64843750","'89.64843750","'89.64843750","'90.62500000","'90.62500000","'90.62500000","'90.91796875","'90.91796875","'90.91796875","'84.96093750",
"'58.39843750","'91.35742188","'91.94335938","'95.80078125","'94.33593750","'87.84179688","'87.84179688","'87.84179688","'72.31445313","'87.89062500","'89.06250000","'88.28125000","'82.03125000","'82.71484375","'84.76562500","'90.52734375","'88.37890625","'61.13281250","'93.16406250","'92.08984375","'76.56250000","'91.50390625","'80.17578125","'76.85546875","'91.21093750","'85.40039063","'88.03710938","'49.16992188","'74.31640625","'87.25585938","'77.53906250","'91.01562500","'50.78125000","'93.11523438","'89.45312500","'89.06250000","'52.44140625","'90.47851563","'70.16601563",
"'50.09765625","'91.35742188","'91.94335938","'95.80078125","'94.33593750","'66.06445313","'40.01464844","'66.65039063","'72.31445313","'87.89062500","'89.06250000","'88.28125000","'82.03125000","'82.71484375","'84.76562500","'90.52734375","'88.37890625","'61.13281250","'93.16406250","'92.08984375","'76.56250000","'91.50390625","'80.17578125","'76.85546875","'91.21093750","'85.40039063","'88.03710938","'42.16308594","'74.31640625","'87.25585938","'77.53906250","'91.01562500","'50.78125000","'93.11523438","'89.45312500","'89.06250000","'52.44140625","'90.47851563","'60.15625000",
