Table: Table_1
,,,,,CANADA²,,,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,
No.,DISEASE,,Previous,,,Cumulative,Total³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No.
,,Report Week,Week,Median 1952-56,1957,1956,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,
1,Chickenpox,"1,340",758,953,"19,580","19,298","20,841",,,:,3,,,62,61,26,:,:.,:,208,125,167,951,463,435,24,22,22,,.,,: .,,: .,92,87,189,1
2,Diphtheria,1,3,2,60,45,47,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,2
3,Dysentery:4,23,36,12,260,181,187,-,-,-,2,-,-,-,-,-,6,-,-,4,3,....,3,-,1,-,-,-,-,-,-,7,30,-,1,3,10,3
4,(a) Amoebic,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,R.P.,...,...,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
5,(h) Bacillary,23,36,12,259,181,186,-,-,-,2,-,-,-,-,-,6,-,-,4,3,..,3,-,1,-,-,-,-,-,-,7,30,-,1,3,10,5
6,Encephalitis, infectious,1,-,,6,6,7,-,-,-,,,,-,,-,-,-,-,,,A.P.,-,,-,-,-,-,1,-,-,1,-,-,-,-,-,6
7,Influenza, epidemic,143,101,335,"1,817","6,567","6,567",: .,..,,78,37,59,64,57,249,..,..,..,-,-,-,-,2,5,3,5,4,-,-,-,,,,1,-,20,7
8,Measles,"1,614","1,655","1,425","33,204","27,592","29,350",-,-,3,: .,..,..,49,29,23,: .,..,..,251,287,394,481,379,539,93,128,35,..,:,,519,538,82,221,294,193,8
9,Meningitis, meningococcal,5,7,5,112,116,116,4,2,1,-,1,-,-,-,-,-,-,-,-,3,-,1,1,1,-,-,-,-,-,-,:.,: .,: .,-,-,1,9
10,Mumps,724,516,959,"14,564","16,099","16,099",: .,..,..,..,. .,..,82,79,20,: .,..,: .,167,92,:,338,253,372,15,9,29,..,..,:,:.,: .,..,122,83,182,10
11,Poliomyelitis, epidemic:4,1,2,6,36,51,78,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,-,-,-,-,1,2,11
12,(a) With paralysis,1,1,3,21,33,43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,1,12
13,(b) Without paralysis,-,1,1,9,18,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,13
14,Rubella,744,345,465,"11,569","32,818","5,676",-,-,-,,:.,..,20,-,11,..,: .,: .,31,13,25,73,51,234,-,3,1,:,: .,:.,465,236,32,155,42,30,14
15,Scarlet fever, etc.⁵,210,123,294,"4,295","6,180","6,921",5,-,3,13,4,7,91,10,32,-,-,3,31,21,64,32,59,84,4,1,8,3,9,16,12,12,31,19,7,45,15
16,Smallpox,-,-,I,-,-,-,-,-,-,S.P.,...,,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16
17,Tuberculosis:4,148,121,206,"2,954","3,075","3,491",4,6,4,1,-,2,1,3,2,10,3,9,57,34,69,31,15,29,9,9,16,-,15,6,16,18,14,19,18,24,17
18,(a) Pulmonary,106,98,147,"2,368","2,456","2,825",4,6,4,1,-,2,1,3,1,10,3,9,51,33,69,(6),(6),(6),9,6,16,-,12,3,14,18,10,16,17,23,18
19,(b) Non-pulmonary,11,8,11,188,161,162,-,-,-,-,-,-,-,-,-,-,-,-,6,1,1,(6),(6),(6),-,3,-,-,3,2,2,-,1,3,1,4,19
20,Typhoid and paratyphoid,9,9,10,107,122,154,-,-,-,-,-,-,-,-,-,-,-,-,6,7,8,-,-,1,-,1,-,-,-,-,3,-,-,-,1,-,20
21,Undulant fever,9,1,4,41,52,41,-,-,-,-,-,-,-,-,-,-,-,-,8,1,9.8,-,-,1,-,-,-,-,-,-,9.8,...,9.8,1,-,,21
22,Venereal diseases:,289,307,350,"5,767","5,580","6,028",7.,8,9,1,1,1,6,6,9,5,3,3,56,81,106,42,54,70,44,27,31,19,21,22,38,43,46,71,63,72,22
23,(a) Syphilis, primary,3,3,4,52,42,61,-,1,I,-,-,-,-,-,-,-,I,-,-,-,1,-,3,-,1,-,-,1,,-,1,-,2,-,-,-,23
24,(b) " secondary,4,1,1,17,18,24,-,-,-,-,-,-,-,-,I,-,1,-,-,-,-,-,1,-,1,-,I,1,-,-,1,-,-,1,-,-,24
25,(c) " other,51,37,54,749,666,867,1,1,2,-,-,I,-,2,3,2,1,1,24,20,23,6,5,16,2,3,1,3,1,1,7,-,2,7,4,8,25
26,(d) Gonorrhoea,230,266,281,"4,946","4,854","4,957",7.,7.,6,1,1,1,6,4,6,3,1,2,32,61,82,36,46,45,40,24,28,14,20,17,29,43,40,62,59,63,26
27,(e) Other venereal diseases⁷,1,-,-,3,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,,27
28,Whooping cough,130,63,197,"2,619","3,249","3,168",-,-,-,1,-,4,-,1,11,-,-,-,75,20,60,42,30,20,-,1,5,-,2,6,9,8,18,3,1,24,28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
