Table: Table_1
,,,,,CANADA2,,,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,
No.,DISEASE,,Previous,,,Cumulative,Total³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No.
,,Report Week,Week,Median 1952-56,1957,1956,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,
1,Chickenpox,758,"1,004",871,"18,240","18,532","19,906",,...,,,P...,1.3,61,29,34,A.9.,,,125,160,189,463,644,392,22,43,19,,,,,,,87,128,149,1
2,Diphtheria,3,-,2,59,43,45,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,2
3,Dysentery:4,36,23,14,237,169,176,-,-,-,-,-,-,-,-,-,-,-,-,3,14,,-,5,-,-,-,-,-,4,1,30,-,-,3,-,12,3
4,(a) Amoebic,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,-,-,-,-,-,-,,-,I,-,-,-,-,-,4
5,(h) Bacillary,36,23,14,236,169,175,-,-,-,-,-,-,-,-,-,-,-,-,3,14,,-,5,-,-,-,-,-,4,1,30,-,-,3,-,12,5
6,Encephalitis, infectious,-,2,-,5,6,7.,-,-,-,,,,-,-,-,-,-,-,,,,-,2,-,,,,,,-,=,1,-,-,-,-,6
7,Influenza, epidemic,79,127,143,"1,652","6,402","6,402",,,,37,70,32,37,55,69,....,,...,-,-,-,-,1,12,5,1,6,-,-,-,...,....,,-,-,4,7
8,Measles,"1,655","1,504","1,599","31,590","26,241","27,881",-,-,8,,,,29,20,37,,,,2.87,181,392,379,481,554,128,56,27,,,,538,490,105,294,276,155,8
9,Meningitis, meningococcal,7,6,6,107,110,110,2,2,-,1,-,-,-,1,-,-,-,-,3,-,1,1,-,2,:,1,-,-,-,1,,1,,,1,1,9
10,Mumps,476,620,784,"13,800","15,308","15,308",,,,,,,39,68,16,,,,92,137,,253,260,388,9,24,25,,,,,,,83,131,132,10
11,Poliomyelitis, epidemic:4,1,2,2,32,49,76,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,,-,,-,,,1,=,1,1,1,11
12,(a) With paralysis,-,1,1,19,32,42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,,12
13,(b) Without paralysis,1,1,1,9,17,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,,1,-,1,-,1,13
14,Rubella,345,691,392,"10,825","30,690","5,211",-,-,-,,,...,-,-,8,,,,13,25,19,51,63,178,3,-,1,,,,236,311,11,42,292,33,14
15,Scarlet fever, etc.⁵,123,247,308,"4,085","5,908","6,618",-,3,2,4,4,7,10,49,21,-,-,7,21,30,72,59,111,61,1,2,5,9,20,10,12,19,26,7,9,53,15
16,Smallpox,-,-,-,-,-,-,-,-,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,,-,-,-,-,1€
17,Tuberculosis:4,121,195,183,"2,806","2,961","3,285",6,4,6,-,1,1,3,2,2,3,4,14,34,87,70,15,19,22,9,5,14,15,12,9,18,15,23,18,46,27,17
18,(a) Pulmonary,98,159,140,"2,262","2,368","2,679",6,4,6,-,1,1,3,1,2,3,4,14,33,85,68,(6),(6),(6),6,4,14,12,8,8,18,15,20,17,37,21,18
19,(b) Non-pulmonary,8,17,10,177,154,154,-,-,-,-,-,-,-,1,-,-,-,-,1,2,1,(6),(6),(6),3,1,-,3,4,2,-,-,1,1,9,4,19
20,Typhoid and paratyphoid,9,5,5,98,112,130,-,-,-,-,-,-,-,-,-,-,-,-,7,2,2,-,1,1,1,-,-,-,2,-,-,-,-,1,-,1,20
21,Undulant fever,1,2,2,32,47,39,-,-,-,-,-,-,I,-,-,-,-,,1,,,-,2,1,I,-,-,,,,,,,,,-,21
22,Venereal diseases:,307,275,302,"5,478","5,291","5,678",8,1,10,1,-,-,6,3,6,3,7,5,81,79,80,54,49,69,27,27,27,21,5,19,43,40,51,63,64,63,22
23,(a) Syphilis, primary,3,2,1,49,41,56,-,-,-,-,-,-,-,-,-,=,-,,-,,,,3,,-,-,1,-,,,,,,,,1,-,23
24,(b) secondary,1,2,2,13,18,22,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,24
25,(c) " other,37,42,49,698,637,810,1,-,-,-,-,-,2,-,-,1,-,1,20,29,19,5,9,14,3,3,2,1,-,2,-,-,1,4,1,3,25
26,(d) Gonorrhoea,266,229,256,"4,716","4,595","4,659",7,1,8,1,-,-,4,3,4,1,7,3,61,49,60,46,39,52,24,23,23,20,5,17,43,40,48,59,62,56,26
27,(e) Other venereal diseases⁷,-,-,-,2,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27
28,Whooping cough,63,80,195,"2,489","3,052","2,953",-,-,-,-,-,5,1,2,18,-,-,-,20,44,59,30,17,32,1,5,5,2,5,5,8,6,13,1,1,11,28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
