Table: Table_1
,,,,,CANADA²,,,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,
No.,DISEASE,Report Week,Previous,,,Cumulative,Total³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No.
,,,Week,Median 1952-56,1957,1956,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,
1,Chickenpox,439,665,738,"25,607","24,865","26,948",:.,: .,:.,..,...,,21,16,29,:,:,:.,45,131,91,271,434,327,23,15,30,..,:,:,:,:,:,79,69,134,1
2,Diphtheria,-,=,2,67,51,56,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
3,Dysentery:4,21,8,8,348,300,300,-,-,-,-,-,-,-,-,-,2,3,-,R.P.,*.*,...,1,4,1,15,-,-,-,-,-,1,-,-,2,1,8,3
4,(a) Amoebic,1,-,-,2,-,4,-,-,-,-,-,-,-,-,-,-,-,-,:,..,..,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,4
5,(b) Bacillary,20,8,8,346,300,300,MD,-,-,-,-,-,-,-,-,2,3,-,:,..,:.,1,4,1,15,-,-,-,-,-,-,-,-,2,1,8,5
€,Encephalitis, infectious,-,2,-,10,10,15,-,-,-,:,:.,:.,-,-,-,-,-,-,: .,:,:,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,6
7,Influenza, epidemic,34,190,43,"2,758","7,895","7,895",..,:.,: .,17,24,-,12,160,33,:.,: .,:,-,-,-,-,3,1,3,3,1,-,-,-,:.,..,:,2,-,-,7
8,Measles,598,"1,254",974,"42,440","38,022","40,340",-,-,7,:,...,..,32,30,18,..,..,..,50,115,210,113,298,388,87,236,19,:,: .,,201,442,25,115,133,124,8
9,Meningitis, meningococcal,8,5,4,174,169,163,3,2,-,-,-,-,-,-,-,2,-,-,-,1,-,-,2,1,3,-,-,-,-,-,..,:.,:,-,-,1,9
10,Mumps,255,329,389,"18,392","20,386","20,386",...,0.0,...,,*..,...,46,31,13,...,..,00,31,57,:.,120,159,196,18,8,18,:,,:,:,:,:,40,74,60,10
11,Poliomyelitis, epidemic:4,2,1,17,54,73,152,-,-,ad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,1,1,-,4,1,1,4,11
12,(a) With paralysis,2,-,9,32,48,93,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,1,-,-,1,-,-,12
13,(b) Without paralysis,-,-,5,16,25,49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,1,13
14,Rubella,201,310,205,"14,674","47,311","8,474",-,-,-,...,,..,-,-,5,V.A,9.9,23,6,32,15,49,78,62,3,1,-,:,:,:.,111,167,27,32,32,31,14
