Table: Table_1
,,,,,CANADA2,,,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,
No.,DISEASE,,Previous,,,Cumulative,Total³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No.
,,Report Week,Week,Median 1952-56,1957,1956,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,
1,Chickenpox,"1,004",895,876,"17,482","17,661","18,900",..,:.,:,..,,,29,39,20,: .,,:,160,122,178,644,596,401,43,13,15,:,:,:,. :,:,,128,125,189,1
2,Diphtheria,-,1,3,56,43,44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,2
3,Dysentery:4,23,9,17,201,158,171,-,-,-,-,4,-,-,-,-,-,-,-,14,: .,:,5,-,3,-,1,-,4,-,-,-,-,-,-,4,9,3
4,(a) Amoebic,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,.0,:.,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
5,(h) Bacillary,23,9,17,200,158,171,-,-,-,-,4,-,-,-,-,-,-,-,14,,: .,5,-,3,-,1,-,4,-,-,-,-,-,-,4,9,5
6,Encephalitis, infectious,2,-,-,5,6,7.,-,-,-,R.P.,,,-,-,-,-,-,-,..,.,..,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6
7,Influenza, epidemic,116,140,315,"1,562","6,259","6,013",: .,..,,70,39,165,45,66,48,.,,:,-,-,-,-,3,12,1,1,2,-,-,-,:.,:. .,: .,-,31,58,7
8,Measles,"1,504","1,525","1,489","29,935","24,923","26,456",-,-,6,,: 0,,20,23,44,.,..,,181,183,319,481,292,569,56,121,29,,.,.,490,505,58,276,401,179,8
9,Meningitis, meningococcal,5,5,6,98,107,107,2,1,-,,,-,-,-,-,-,-,-,-,-,1,-,-,2,2,1,-,-,-,-,-,1,,:,1,1,1,9
10,Mumps,620,638,"1,057","13,324","14,524","14,524",,,*.A,,,,68,80,30,,,....,137,87,,260,293,496,24,7,31,,a,A.9.,...,,.R,131,171,143,10
11,Poliomyelitis, epidemic:4,2,3,4,31,47,69,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,11
12,(a) With paralysis,1,2,2,19,31,41,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,12
13,(b) Without paralysis,1,1,1,8,16,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,13
14,Rubella,691,660,352,"10,480","28,570","4,883",-,-,-,,,,-,2,14,,,,25,11,32,63,54,139,-,3,1,,,,311,424,24,292,166,35,14
15,Scarlet fever, etc.⁵,247,199,358,"3,962","5,601","6,351",3,1,3,4,12,6,49,35,24,-,1,8,30,18,82,111,66,85,2,3,10,20,27,17,19,21,35,9,15,36,15
16,Smallpox,-,-,-,-,-,-,-,-,-,,,,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16
17,Tuberculosis:4,195,201,213,"2,685","2,818","3,010",4,13,9,1,1,-,2,2,4,4,-,11,87,74,88,19,30,32,5,9,15,12,3,4,15,43,23,46,26,22,17
18,(a) Pulmonary,159,162,175,"2,164","2,257","2,416",4,13,9,1,1,-,1,2,4,4,-,11,85,72,82,(6),(6),(6),4,8,15,8,1,4,15,40,22,37,25,19,18
19,(b) Non-pulmonary,17,9,6,169,144,145,-,-,-,-,-,-,1,-,-,-,-,-,2,2,1,(6),(6),(6),1,1,-,4,2,1,-,3,1,9,1,3,19
20,Typhoid and paratyphoid,6,4,10,90,107,117,-,-,-,-,-,-,-,-,I,1,-,-,2,3,6,1,-,-,-,-,-,2,-,1,I,1,1,-,-,,,20
21,Undulant fever,2,-,2,31,45,35,-,-,-,-,-,-,-,-,-,-,-,-,,,,2,-,-,-,-,-,-,-,-,,,,-,-,-,21
22,Venereal diseases:,275,288,324,"5,171","4,989","5,337",1,17,9,-,1,1,3,9,9,7,9,5,79,51,94,49,48,56,27,17,29,5,14,21,40,51,56,64,71,36,22
23,(a) Syphilis, primary,2,3,5,46,40,5.2,-,-,-,-,-,-,-,-,-,#:,-,=,:,-,1,-,-,-,1,1,I,-,1,-,=,I,1,1,1,I,23
24,(b) .. secondary,2,-,3,12,14,21,-,-,-,I,-,:,1,-,-,a,-,-,1,-,2,1,-,-,-,-,-,-,1,#,-,I,1,-,1,-,24
25,(c) " other,42,35,36,661,585,759,-,4,-,a,-,-,-,1,2,-,2,1,29,16,13,9,3,15,3,1,-,1,1,3,I,1,2,1,7,3,25
26,(d) Gonorrhoea,229,250,285,"4,450","4,350","4,352",1,13,8,I,1,1,3,8,7,7,7.,3,49,35,77,39,45,44,23,15,27,5,12,18,40,51,53,62,63,30,26
27,(e) Other venereal diseases⁷,-,-,1,2,-,6.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,27
28,Whooping cough,80,68,126,"2,426","2,857","2,747",-,-,-,-,-,2,2,9,3,:,-,-,44,21,48,17,22,21,5,1,3,5,1,4,6,10,10,1,4,18,28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
