Table: Table_1
,,,,,CANADA2,,,,NFLD.,,,P.E.I.,,,N.S.,,,N.R.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,
No.,DISEASE,,Previous,,,Cumulative,Total³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No.
,,Report Week,Week,Median 1952-56,1957,1956,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week (8),Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,
1,Chickenpox,"1,110",371,"1,279","6,118","7,413","8,646",: .,...,4,14,10,6,28,48,52,...,...,:.,337,162,379,492,424,586,59,26,36,...,...,25,,,22,180,201,170,1
2,Diphtheria,1,2,1,22,25,19,-,-,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,1,2,-,-,,-,I,,-,-,-,,2
3,Dysentery:4,7,4,10,61,56,65,-,-,-,2,-,-,-,-,-,-,1,-,,1,1,3,-,2,-,-,-,1,-,-,I,2,-,1,-,2,3
4,(a) Amoebic,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,R.P,-,-,-,-,-,-,-,-,-,-,,I,-,-,-,4
5,(h) Bacillary,7,4,10,60,56,61,-,-,-,2,-,-,-,-,-,-,1,-,,1,1,3,-,2,-,-,-,1,-,-,-,2,-,1,-,2,5
6,Encephalitis, infectious,-,-,-,1,3,3,-,-,-,...,..a,...,-,-,-,-,-,-,a.e,,...,-,-,-,-,-,-,-,,,-,-,-,-,,,6
7,Influenza, epidemic,45,86,97,489,"1,121",938,:,:.,..,39,53,24,-,30,56,9.9,...,1,-,-,-,-,-,12,1,-,3,-,-,2,..,P...,.A,5,3,1,-J
8,Measles,"1,832","2,091","1,795","10,464","10,098","10,098",-,-,18,...,..,17,3,58,70,,,..A.,266,406,256,623,541,594,196,166,85,...,..,19,-,219,56,744,701,223,8
9,Meningitis, meningococcal,9,5,9,32,39,39,3,1,-,-,-,-,1,-,-,2,2,1,-,1,-,3,-,3,-,1,-,-,-,-,,A...,...,-,-,-,9
10,Mumps,926,903,876,"5,054","5,413","5,413",R.P.,...,1,4,0.8,8,19,27,29,0.A,O.,1,161,133,164,359,277,381,21,24,39,0.00,A.D.,18,,,2,362,442,184,10
11,Poliomyelitis, epidemic:4,3,2,3,13,17,24,-,-,-,-,-,-,-,-,-,-,-,-,3,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,2,11
12,(a) With paralysis,2,1,3,9.,10,19,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,,12
13,(b) Without paralysis,-,1,2,3,7,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,1,-,-,-,-,13
14,Rubella,431,572,266,"2,353","6,597","1,374",-,-,-,...,R.P.,A..,-,E,10,..,,,138,27,20,53,47,139,4,14,3,...,,5,-,279,26,236,199,53,14
15,Scarlet fever, etc.⁵,177,277,441,"1,408","1,828","2,157",2,6,9,15,20,7,25,9,7,-,-,2,42,108,84,70,71,126,2,9,20,2,3,20,-,29,51,19,22,59,15
16,Smallpox,-,-,-,-,-,-,-,-,-,...,..,A.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,I,-,-,,,,-,16
17,Tuberculosis:4,121,148,202,830,"1,052","1,052",3,4,5,1,1,1,-,1,3,2,9,12,29,53,88,25,28,28,4,6,10,8,8,12,-,12,20,44,26,28,17
18,(a) Pulmonary,88,110,159,644,871,871,8,4,4,1,-,1,-,1,3,2,9,12,26,48,84,(6),(6),(6),4,6,10,6,8,8,-,10,20,41,24,25,18
19,(b) Non-pulmonary,CO,10,9,66,44,55,-,-,-,-,1,-,-,-,-,-,-,-,3,5,4,(6),(6),(6),-,-,-,2,-,],-,2,1,3,2,3,19
20,Typhoid and paratyphoid,3,3,5,33,54,50,-,-,-,-,-,-,-,-,-,-,-,1,1,=,2,-,1,I,-,-,-,-,-,-,-,1,-,2,1,-,20
21,Undulant fever,1,-,2,11,20,10,-,-,-,-,-,-,-,-,-,-,-,-,1,...,1,-,-,-,-,-,-,-,-,-,,,.a,-,-,-,21
22,Venereal diseases:,239,336,314,"1,914","2,010","2,092",9,7,9,1,1,-,9,15,9,2,4,7,61,75,82,43,37,61,24,17,22,21,22,20,-,70,46,69,88,40,22
23,(a) Syphilis, primary,4,2,3,18,18,24,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,2,-,-,1,-,-,-,-,-,1,1,-,23
24,(b) secondary,-,-,2,-,11,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,,-,24
25,(c) other,36,27,51,198,206,291,-,-,1,-,-,-,-,-,4,1,1,3,15,11,16,7,6,10,4,1,2,-,2,2,-,-,1,9,6,3,25
26,(d) Gonorrhoea,199,307,254,"1,697","1,775","1,775",9,6,$,1,1,-,9,15,7,1,3,4,46,64,62,36,31,52,18,16,21,20,20,20,-,70,45,59,81,27,26
27,(e) Other venereal diseases⁷,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,,-,,,27
28,Whooping cough,249,198,191,"1,072","1,100","1,100",1,-,-,2,1,3,3,7,6,-,-,2,113,127,64,87,20,36,22,11,8,-,3,10,-,11,11,21,18,24,28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
