Table: Table_1
,,,,,CANADA²,,,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,
No.,DISEASE,Week,Previous,,,Cumulative,Total³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No.
,,Report,Week,Median 1952-56,1957,1956,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,
1,Chickenpox,"1,257","1,110","1,031","13,313","14,424","14,924",: .,,2,:,2,6,28,71,17,...,....,1,207,246,258,781,631,503,47,32,26,...,,21,4.8,,6,194,128,172,1
2,Diphtheria,2,7,2,51,42,42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,,-,-,2,6,-,-,-,-,-,1,-,-,,,2
3,Dysentery:4,22,9,10,143,112,114,-,-,-,-,6,-,-,1,-,-,-,-,:,1,P.P.,7,-,4,$,-,-,-,-,-,-,-,-,15,2,= 7,3
4,(a) Amoebic,-,-,-,1,-,1,I,I,-,-,1,-,-,-,-,-,-,-,: .,: .,..,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,4
5,(h) Bacillary,22,9,10,142,112,114,-,-,-,-,6,-,-,-,-,-,-,-,: .,1,:,7,-,4,-,-,-,as,-,-,-,-,-,15,2,7,5
6,Encephalitis, infectious,1,-,-,2,4,5,-,-,-,:.,,:.,-,the,-,-,-,-,...,: .,: .,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,6
7,Influenza, epidemic,123,87,230,"1,070","5,091","3,304",: .,..,..,27,29,62,70,56,107,: .,: .,:,-,-,-,-,2,16,26,-,1,-,-,-,R.F.,7..,A.P.,-,-,15,7
8,Measles,"2,102","2,259","1,886","22,810","19,958","20,065",-,-,9,,...,5,29,79,42,:,: .,...,237,313,326,621,547,621,103,167,100,**,A.P.,51,579,677,133,533,476,184,8
9,Meningitis, meningococcal,4,5,8,73,76,78,-,3,-,2,-,-,-,-,1,-,-,1,-,1,1,2,-,2,-,,-,-,-,-,R.M.,,,-,1,1,9
10,Mumps,934,922,941,"10,228","11,190","11,190",:,...,1,:,: .,4,26,46,39,:,...,...,253,149,241,363,327,381,21,32,37,P.A.,A.S.,25,,P...,R.B. 18,271,368,219,10
11,Poliomyelitis, epidemic:4,1,1,2,22,36,47,-,!,US,5,-,-,-,-,-,-,-,as,1,1,-,are,-,-,i,2,1,-,-,-,-,-,1,-,$,1,11
12,(a) With paralysis,(6),(6),2,13,24,35,-,I,-,-,-,PA,-,,,-,/,-,-,(6),(6),-,-,-,-,-,I,1,-,-,-,-,,--,-,-,-,12
13,(b) Without paralysis,(6),(6),1,5,12,12,-,-,-,,,-,-,-,-,-,-,-,-,(6),(6),-,,-,-,the,-,-,-,-,-,-,,,,,-,13
14,Rubella,963,728,397,"7,088","18,525","3,417",-,-,1,1.8,,....,1,19,10,...,,*.*,32,33,29,60,50,169,4,4,1,V.M,A.S.,2,653,421,10,213,201,21,14
15,Scarlet fever, etc.⁵,189,262,459,"3,013","4,091","4,832",2,-,1,16,4,10,45,99,24,-,1,19,-,40,100,68,75,133,2,2,10,4,I,6,34,25,42,18,16,57,15
16,Smallpox,-,-,-,-,-,-,-,-,-,1.5,,P.R,,-,-,-,-,,-,-,-,,-,-,-,,-,,-,,-,,-,$,1,-,16
17,Tuberculosis:4,172,166,201,"1,900","2,064","2,253",3,4,9,-,-,1,1,1,1,10,1,9,64,53,84,23,25,28,9,9,13,19,-,7,11,48,18,32,25,30,17
18,(a) Pulmonary,137,128,165,"1,527","1,662","1,810",3,4,8,-,-,1,-,1,1,8,1,9,62,50,80,(6),(6),(6),8,9,13,16,-,6,10,41,16,30,22,24,18
19,(b) Non-pulmonary,12,13,10,129,101,124,-,-,1,-,-,-,-,-,-,2,-,-,2,3,3,(6),(6),(6),1,-,I,3,-,1,1,7,1,2,3,4,19
20,Typhoid and paratyphoid,5,6,7,67,84,84,-,-,-,-,-,-,-,-,-,-,-,-,4,2,5,1,3,1,-,1,-,-,-,-,1,1,i,-,-,-,20
21,Undulant fever,5,2,2.,24,36,24,-,-,-,-,-,-,-,-,-,-,-,-,4,1,2,-,1,-,,-,-,1,-,-,A.O.,,,I,-,-,21
22,Venereal diseases:,325,345,320,"3,939","3,789","4,083",8,14,4,2,-,-,17,13,11,6,4,3,54,75,78,73,28,63,14,30,26,32,28,20,66,54,60,53,99,48,22
23,(a) Syphilis, primary,2,3,2,39,31,37,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,,-,-,2,-,0.0,-,-,-,I,2,we,23
24,(b) " secondary,-,2,2,9,12,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,24
25,(c) " other,41,34,55,477,409,618,I,2,-,-,-,-,3,2,3,-,-,1,12,16,22,15,3,16,2.,2,4,3,1,1,2,-,2,4,8,2,25
26,(d) Gonorrhoea,282,306,256,"3,412","3,337","3,337",8,12,4,2,-,-,14,10,8,6,4,2,42,59,56,53,25,41,12,26,24,27,27,19,O4,54,59,49,89,44,26
27,(e) Other venereal diseases⁷,-,-,-,2,-,5,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,NP,-,to,-,-,-,are,-,-,***,I,-,-,or,-,27
28,Whooping cough,150,223,160,"2,052","2,049","2,049",-,-,1,-,3,5,-,y,2,1,-,-,65,79,76,51,113,18,-,2,3,-,A/1,3,20,16,15,13,10,11,28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
