Table: Table_1
,,,,,CANADA2,,,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,
No.,DISEASE,Report Week,Previous,,,Cumulative,Total³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No.
,,,Week,Median 1952-56,1957,1956,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952.56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report (8) Week,Previous Week,Median 1952-56,
1,Chickenpox,76,123,170,"26,825","26,238","28,410",:.,:.,..,:.,..,:.,7,11,9,....,1.8,....,20,26,24,39,48,46,10,9,9,,V.A,,,,,-,29,30,1
2,Diphtheria,1,4,2,80,61,66,-,-,-,-,-,-,-,-,-,-,-,-,,4,-,-,-,-,-,-,-,A.O. -,:,a.a. -,.. 1,A.O -,..,,,,2
3,Dysentery:4,16,6,21,394,391,391,-,-,-,-,-,-,-,-,-,-,3,-,10,2,...,6,1,2,-,-,-,-,-,-,-,I,- -,-: -,# -,- 14,3
4,(a) Amoebic,-,-,-,4,-,4,-,-,-,-,-,-,-,-,-,-,-,-,,,,,-,-,-,-,-,-,-,-,,,,,,,4
5,(h) Bacillary,16,6,21,390,391,391,-,-,-,-,-,-,-,-,-,-,3,-,10,2,.A ..A,6,1,2,-,-,-,-,-,-,1,E,1:,E,=,F 14,5
6,Encephalitis, infectious,3,1,1,18,15,18,-,-,-,R.P.,...,...,-,-,-,-,-,-,R.P.,...,...,-,1,-,1,-,-,-,-,-,1 2,- -,1 -,= -,- -,-,6
7,Influenza, epidemic,182,94,17,"3,233","8,550","8,550",.R,R.P.,...,55,15,-,127,76,14,V.A,A.O.,...,-,-,-,-,1,1,-,-,-,-,-,-,R.A,A.O.,...,-,2,-,7
8,Measles,192,319,259,44.761,"40,633","43,078",-,-,2,3.8,3,...,36,29,5,...,a.e,..A.,4,28,61,37,91,66,58,45,8,A.O.,..,,57,101,35,-,22,37,8
