Table: Table_1
,,,,,CANADA²,,,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,
No.,DISEASE,Report Week,Previous,,,Cumulative,Total³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No.
,,,Week,Median 1952-56,1957,1956,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,
1,Chickenpox,956,829,949,956,927,"1,339",-,-,2,2,8,4,21,51,25,:.,..,,134,130,182,699,419,511,1,12,46,:.,,28,:,: .,24,99,209,105,1
2,Diphtheria,2,-,3,2,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,2
3,Dysentery:4,19,-,11,19,11,13,-,-,-,1,-,-,-,-,-,2,,,2,,1,1,-,2,-,-,-,-,-,-,-,-,-,13,-,3,3
4,(a) Amoebic,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,..,,,...,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
5,(b) Bacillary,19,-,11,19,11,12,-,-,-,1,-,-,-,-,-,2,P,...,2,...,...,1,-,2,-,-,-,-,-,-,-,-,-,13,-,3,4 5
6,Encephalitis, infectious,,-,1,-,-,I,-,-,-,R.P.,P.A,,-,-,-,-,-,-,..,,...,,,....,-,-,-,-,-,-,-,-,-,-,-,-,6
7,Influenza, epidemic,52,152,61,52,89,61,,,.A,32,65,-,17,83,22,2,,,-,-,-,1,1,1,-,3,2,-,-,-,...,R.P.,....,-,-,-,7
8,Measles,"1,126","1,139","1,358","1,126","1,582","1,375",I,-,55,,,39,76,31,86,...,,,185,191,91,521,501,249,1,43,53,A.S.,..A,3,111,119,109,232,254,111,8
9,Meningitis, meningococcal,2,7,4,2,4,4,2,1,-,-,1,-,-,2,-,-,-,-,-,1,-,-,1,1,-,-,-,-,-,-,..A,A.P.,,-,1,-,9
10,Mumps,621,613,664,621,811,664,-,-,1,5,7,6,90,19,10,9.A,,...,86,78,64,228,204,310,-,18,14,a...,,7,,,*.A 4.,212,287,132,10
11,Poliomyelitis, epidemic:4,2,3,12,2,4,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,2,1,-,-,-,1,11
12,(a) With paralysis,2,2,5.,2,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,1,-,-,-,1,12
13,(b) Without paralysis,-,1,2,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,13
14,Rubella,250,168,151,250,460,158,-,-,-,R.9,...,...,6,1,4,...,,,24,28,5,33,35,27,1,-,-,..,:,5,41,15,8,145,89,10,14
15,Scarlet fever, etc.⁵,196,177,257,196,218,298,4,6,13,13,22,9,60,27,26,-,1,2,19,29,40,63,68,79,-,1,11,4,4,17,23,12,51,10,7,27,15
