Table: Table_1
,,,,,CANADA2,,,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,
No.,DISEASE,Report Week,Previous Week,,,Cumulative,Total³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No.
,,,,Median 1952-56,1957,1956,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,
1,Chickenpox,82,109,86,"27,185","26,793","28,785",:,:.,:.,..,:.,:.,4,2,2,:,:.,:.,17,60,21,41,27,30,1,8,5,:,:,:.,:,..,:.,19,12,15,1
2,Diphtheria,4,4,1,96,70,70,-,-,-,-,-,-,-,-,-,-,-,-,4,1,1,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,2
3,Dysentery:4,10,8,11,433,434,445,-,-,-,-,-,-,-,-,-,-,2,-,6,1,:.,-,1,3,-,-,-,-,-,-,3,2,-,1,2,5,3
4,(a) Amoebic,-,-,-,6,1,4,-,-,-,-,-,-,-,-,-,-,-,-,..,..,:.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
5,(h) Bacillary,10,8,9.,427,433,443,-,-,-,-,-,-,-,-,-,-,2,-,6,1,..,-,1,2,-,-,-,-,-,-,3,2,-,1,2,5,5
6,Encephalitis, infectious,-,1,2,23,24,24,-,-,-,,R.P.,...,-,-,-,-,-,-,...,...,..,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,6
7,Influenza, epidemic,518,175,86,"4,806","8,915","8,915",:.,:,:.,201,81,-,201,84,59,:.,:,:,-,-,-,3,6,-,3,-,1,-,-,1,:.,:,..,110,4,-,7
8,Measles,172,94,121,"45,515","41,612","43,847",-,-,1,...,2,...,60,12,6,...,...,...,8,3,40,27,13,28,10,14,12,..,:,:.,42,35,9,25,15,16,8
9,Meningitis, meningococcal,6,5,3,236,206,206,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,-,-,-,-,-,..,..,:.,-,-,-,9
10,Mumps,104,51,98,"19,663","21,798","21,798",R.S.,..,**,..,...,,15,8,4,R.O.,...,..,10,3,...,55,36,62,11,2,9,...,..,...,..,:,:.,13,2,15,10
11,Poliomyelitis, epidemic:4,19,13,140,179,306,"1,348",-,-,1,-,-,3,-,-,5,3,2,4,-,1,13,2,-,19,1,-,4,7,1,18,3,4,12,3,5,11,11
12,(a) With paralysis,9,6,66,104,178,592,-,-,1,-,-,1,-,-,4,-,-,1,-,-,7,2,-,13,1,-,3,4,1,4,-,2,3,2,3,6,12
13,(b) Without paralysis,9,7,40,67,120,417,-,-,-,-,-,-,-,-,-,3,2,3,-,1,4,-,-,13,-,-,1,2,-,4,3,2,3,1,2,5,13
14,Rubella,59,57,37,"15,546","49,046","9,072",-,-,1,...,...,...,6,2,1,...,...,...,4,10,12,25,11,12,1,-,-,:.,..,..,17,19,7,6,15,9,14
15,Scarlet fever, etc.5,60,55,60,"6,220","8,972","9,470",-,6,-,4,2,3,34,19,16,-,-,-,2,2,11,9,11,11,3,4,2,-,-,5,7,3,7,1,8,4,15
16,Smallpox,-,-,-,-,-,-,-,-,-,...,R..,...,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16
17,Tuberculosis:4,187,177,175,"6,179","6,499","7,211",22,9,1,3,1,1,-,-,-,7,11,6,74,59,71,14,11,11,20,10,12,3,29,7,12,30,17,32,17,19,17
18,(a) Pulmonary,167,156,156,"5,075","5,157","5,837",22,9,1,3,1,-,-,-,-,7,10,6,73,57,69,(9),(6),(6),18,10,12,3,26,6,12,29,14,29,14,17,18
19,(b) Non-pulmonary,6,10,8,376,379,379,-,-,-,-,-,-,-,-,-,-,1,-,1,2,2,(6),(6),(6),2,-,-,-,3,1,-,1,-,3,3,3,19
20,Typhoid and paratyphoid,4,3,12,212,308,308,-,-,-,-,-,-,-,-,-,-,-,-,4,2,5,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,20
21,Undulant fever,4,3,2,96,101,93,-,-,-,-,-,-,-,-,-,-,-,-,3,1,...,-,1,-,1,1,-,-,-,-,...,R.R,...,-,-,-,21
22,Venereal diseases:,207,315,340,"11,383","11,123","12,095",12,6,9,-,-,-,4,5,11,4,4,3,72,50,85,(8),33,59,35,35,35,27,44,23,53,47,55,(8),91,58,22
23,(a) Syphilis, primary,1,1,4,94,67,114,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,1,-,-,-,1,-,-,-,23
24,(b) " secondary,-,-,3,32,33,52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24
25,(c) other,30,29,35,"1,451","1,251","1,648",-,-,2,-,-,-,-,-,2,1,1,-,23,11,9,-,5,11,1,3,1,2,2,1,3,2,1,-,5,3,25
26,(d) Gonorrhoea,176,285,300,"9,798","9,769","10,042",12,6,7,-,-,-,4,5,9,3,3,2,49,39,68,-,28,44,34,32,28,24,41,22,50,45,52,-,86,54,26
27,(e) Other venereal diseases⁷,-,-,-,8,3,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27
28,Whooping cough,243,168,207,"5,058","5,843","5,843",-,-,-,-,-,-,7,6,2,-,-,-,41,9,78,132,63,43,-,2,9,6,5,13,42,64,17,15,19,11,28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
