Table: Table_1
,,,,,CANADA2,,,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,
No.,DISEASE,Report Week,Previous Week,Median 1952-56,1957,Cumulative 1956,Total³ Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,No.
1,Chickenpox,775,990,824,"21,345","20,837","22,339",,,,,,,41,62,18,,,,148,110,162,464,681,420,11,24,18,,,,,,,111,113,160,1
2,Diphtheria,-,3,1,63,47,50,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,... -,-,-,-,-,-,-,1,-,2
3,Dysentery:4,10,12,11,282,199,202,-,-,-,-,-,-,-,-,-,3,1,-,,R.P.,...,2,-,1,-,1,-,5,2,-,-,4,-,-,4,10,3
4,(a) Amoebic,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,,R.P.,...,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
5,(h) Bacillary,10,12,11,281,199,201,-,-,-,-,-,-,-,-,-,3,1,-,,,,2,-,1,-,1,-,5,2,-,-,4,-,-,4,10,5
6,Encephalitis, infectious,-,1,-,7,6,8,-,-,-,,,,-,-,-,-,-,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,6
7,Influenza, epidemic,55,108,382,"1,983","6,911","6,911",,,:,36,36,94,14,69,36,..,..,: 0,-,-,-,1,1,2,4,2,8,-,-,-,,,: .,-,-,2,7
8,Measles,"1,130","1,229","1,503","35,563","30,471","32,460",-,-,5,,...,,4,23,18,:,...,,141,183,416,317,358,597,146,75,43,: .,:,,288,389,75,234,201,150,8
9,Meningitis, meningococcal,12,5,7,129,136,127,3,1,-,1,-,-,-,-,-,2,1,1,-,1,1,3,2,2,2,-,-,-,-,-,:,,,1,-,-,9
10,Mumps,549,597,733,"15,710","17,317","17,317",,,...,...,...,...,23,65,6,...,...,,100,114,,261,315,310,10,12,25,,:,:.,:,,,155,91,101,10
11,Poliomyelitis, epidemic:4,2,1,5,39,57,86,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,1,11
12,(a) With paralysis,1,-,3,22,38,53,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12
13,(b) Without paralysis,1,1,1,11,19,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,13
