Table: Table_1
,,,,,CANADA2,,,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,
No.,DISEASE,,Previous,,,Cumulative,Total³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No.
,,Report Week,Week,Median 1952-56,1957,1956,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,
1,Chickenpox,109,74,98,"27,103","26,689","22,669",:,:.,:,:.,,,-,11,in,...,..,...,60,(),14,27,26,33,8,4,13,,,,,,,12,26,20,1
2,Diphtheria,4,5,-,92,63,68,-,-,-,-,-,-,-,-,-,-,-,-,7 -,7,-,-,-,-,-,-,-,.... -,A.R. -,9.A -,A.R 3,.A 4,a.e. -,-,-,-,2
3,Dysentery:4,S,C\,18,423,427,432,-,-,-,-,-,-,-,-,-,2,-,-,1,P.A,...,1,-,"1,1",-,7,-,-,-,-,2,2,-,2,3,6,3
4,(a) Amoebic,-,1.),-,6,-,4,-,-,-,-,I,-,-,-,-,-,-,-,,,,-,-,-,-,-,-,-,,,,,,,2,,4
5,(h) Bacillary,8,4,78,417,427,430,-,-,-,-,-,-,-,-,-,10,-,-,1,,a.a,7,-,3,-,1,-,,=,1:,I: 2,it 2,1,= 2,1,a 6,5
6,Encephalitis, infectious,1,-,1,23,22,22,-,-,-,:.,..,:.,-,-,-,-,-,-,:,..,..,-,-,-,-,-,-,- -,E -,- -,1,-,1 -,-,-,-,6
7,Influenza, epidemic,171,370,16,"4,284","3,801",S,801,..,:.,:,07,63,-,S4,300,40,...,...,....,-,-,-,2,3,3,-,I,2,-,-,-,...,P.R.,...,4,4,-,7
8,Measles,94,198,150,"45,313","41,265","13,678",-,-,1,2,2,...,12,56,9,9.9,9.9.,....,3,D,20,13,40,50,14,22,9,....,..P.,....,35,59,24,15,10,24,8
9,Meningitis, meningococcal,5,10,ar,230,109,199,4,6,-,-,-,-,-,-,-,-,1,-,-,2,-,1,-,2.),-,-,-,-,-,-,,,,-,1,-,9
10,Mumps,51,73,115,"19,559","21,652","21,652",:,...,....,...,....,...,8,10,2,....,...,...,3,6,...,36,43,67,2,ε,10,,R.P.,....,.. ...,P... ...,R.P. R.P.,2,6,18,10
11,Poliomyelitis, epidemic:,13,18,128,157,263,"1,214",-,-,-,-,-,-,-,-,3,2,1,5,1,9,15,-,-,21,-,-,5,1,1,8,4,4,20,5,3,8,11
12,(a) With paralysis,6,12,57,93,152,511,-,-,-,-,-,-,-,-,3,-,-,7,-,6,7,-,-,10,-,-,2,1,1,3,2,4,3,3,1,5,12
13,(b) Without paralysis,7,5,50,57,104,375,-,-,-,-,-,-,-,-,-,2,1,6,1,3,1.,-,-,16,-,-,3,-,-,In,2,-,6,2,2,8,13
14,Rubella,57,63,28,"15,437","48,927","9,035",-,-,-,,...,A.A,2,13,2,..A,R.O.,a.e,10,4,1,11,12,7,-,2,-,:,R.S.,,19,19,8,15,8,8,14
15,Scarlet fever, etc.⁵,51,94,74,"6,156","8,878","9,412",6,4,1,2,6,3,19,68,12,-,-,1,2,2,14,7,6,9,4,2,2,-,-,... 6,3,4,2,8,2,3,15
16,Smallpox,-,-,-,-,-,-,-,-,-,R.P,P...,R.P.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,I,-,-,-,-,16
17,Tuberculosis:,177,222,186,"5,992","6,309","7,036",2,1,5,1,-,1,-,-,3,11,10,15,59,139,81,11,7,17,10,27,12,29,4,9.,30,14,11,17,20,23,17
18,(a) Pulmonary,156,213,157,"4,908","5,014","5,681",9,1,4,1,-,7,-,-,3,10,10,15,57,138,31,(6),(6),(6),10,27,12,26,4,8,29,14,9,14,19,22,18
19,(b) Non-pulmonary,10,2,10,370,373,373,-,-,-,-,-,-,-,-,-,1,-,-,2,1,1,(6),(6),(6),-,-,-,3,-,2,1,-,-,3,1,5,19
20,Typhoid and paratyphoid,3,16,10,208,294,29/4,-,-,-,-,-,-,-,-,-,-,1,-,2,13,5,-,1,1,-,-,-,1,1,-,-,-,-,-,-,-,20
21,Undulant fever,3,5,-,92,101,90,-,-,-,-,1,-,-,-,-,-,-,-,1,2,.R,1,1,-,1,-,-,-,-,-,,1,,-,-,-,21
22,Venereal diseases:,315,289,354,"11,176","10,795","11,762",6,5,7,-,-,1,5,2,8,4,for,or,50,51,69,33,48,56,35,27,31,We,32,27,R.P. 47,46,R.P. 64,91,74,89,22
23,(a) Syphilis, primary,1,2,6,93,66,110,-,-,-,-,-,-,-,-,-,-,-,=,-,-,-,-,2,-,-,-,-,7,-,-,-,-,1,-,-,-,23
24,(b) secondary,-,1,1,34,29,47,-,-,-,-,-,-,-,-,-,-,-,I,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,24
25,(c) other,29,25,41,"1,419","1,218","1,613",-,-,-,-,-,-,-,-,2,1,-,1,11,E,16,5,5,7,3,3,1,2,-,2,2,I,2,5,9,7,25
26,(d) Gonorrhoea,285,259,318,"9,622","9,479","9,753",6,5,7,-,-,1,5,2,6,3,4,3,39,42,60,28,41,50,32,23,30,41,32,26,45,46,60,86,64,83,26
27,(e) Other venereal diseases⁷,-,-,-,8,3,13,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,27
28,Whooping cough,201,190,254,"4,848","5,636","5,636",-,-,-,-,-,-,6,11,4,-,-,-,42,47,63,63,97,40,2,-,8,5,1,12,64,23,18,19,11,17,28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
