1369,927,1600,2296,2305,3074,7,9,6,-,4,9,84,25,65,-,-,-,417,182,327,633,511,761,38,3,73,1,..,67,..,..,109,189,193,194,1
6,4,4,10,10,7,-,-,-,-,-,-,-,-,-,-,-,-,1,2,3,-,-,-,-,-,-,-,-,-,5,2,-,-,-,-,2
9,11,9,20,7,19,-,-,-,-,-,-,-,-,-,..,..,..,1,3,1,3,2,2,-,-,-,-,-,-,-,-,-,5,6,3,3
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,..,..,..,..,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
9,11,8,20,7,19,-,-,-,-,-,-,-,-,-,..,..,..,1,3,1,3,2,2,-,-,-,-,-,-,-,-,-,5,6,3,5
-,-,-,-,-,1,-,-,-,..,..,..,-,-,-,-,-,-,..,..,..,..,..,..,-,-,-,-,-,-,-,-,-,-,-,-,6
200,89,62,289,614,109,..,..,..,100,34,..,95,48,51,-,-,-,-,2,-,4,1,7,-,-,2,-,-,-,..,..,..,1,4,-,7
1634,1582,1795,3216,2541,3213,84,55,12,71,69,7,60,94,34,-,-,1,288,95,297,1005,1188,668,38,11,68,14,1,25,19,47,60,55,22,142,8
15,4,6,19,15,10,8,4,-,..,..,..,-,-,-,-,-,-,-,-,1,5,-,2,1,-,-,1,-,-,..,..,..,-,-,2,9
923,811,1081,1734,1373,1984,1,-,1,14,6,6,4,5,38,-,-,-,122,64,194,576,585,489,35,2,47,..,..,73,..,..,33,171,149,211,10
-,1,7,1,12,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,1,1,11
-,1,5,1,9,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,12
-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,13
1213,460,186,1673,345,345,6,2,-,-,-,-,61,42,9,-,-,-,899,310,8,139,70,104,3,-,1,-,-,5,13,8,27,92,28,20,14
238,172,420,410,332,685,6,21,3,8 (5),5 (5),4 (5),2,-,-,..,1,3,48,40,83,138,78,97,5,2,15,1,..,21,10,18,80,18,7,72,15
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16
166,116,186,280,295,384,6,4,7,-,-,1,2,5,4,15,14,13,69,37,75,22,8,17,2,-,10,1,-,5,21,8,12,28,40,28,17
136,105,151,241,249,291,6,4,7,-,-,-,2,5,2,15,14,13,64,37,74,(6),(6),(6),2,-,10,1,-,5,20,8,11,26,37,28,18
8,3,9,11,14,14,-,-,-,-,-,-,-,-,1,-,-,-,5,-,3,(6),(6),(6),-,-,-,-,-,-,1,..,..,2,3,4,19
6,6,9,12,8,10,-,-,-,-,-,-,-,-,-,-,-,-,6,6,4,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,20
1,5,3,6,3,5,-,-,-,-,-,-,-,-,-,..,..,..,1,3,1,-,2,-,-,-,-,-,-,-,..,..,..,-,-,1,21
375,259,389,634,725,725,17,6,7,-,1,-,10,12,15,4,1,5,85,94,91,49,37,84,32,10,29,14,12,34,72,59,47,92,27,86,22
3,3,4,6,8,8,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,-,-,1,-,-,-,-,-,-,1,3,-,-,-,1,23
1,3,-,4,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,2,-,-,-,-,24
15,20,48,35,85,86,-,-,-,-,1,-,2,-,4,1,-,2,6,9,26,3,4,16,-,-,1,-,1,2,-,4,1,3,1,4,25
356,233,326,586,632,632,17,6,7,-,-,-,7,12,10,3,1,4,77,85,61,46,32,65,32,10,28,14,11,22,71,50,44,89,26,82,26
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27
198,131,240,329,746,304,19,2,-,18,12,1,9,2,11,7,2,1,66,27,76,43,51,41,7,-,14,4,5,7,3,12,12,22,18,47,28
