DOMINION BUREAU OF STATISTICS,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
HEALTH AND WELFARE DIVISION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Summary of Cases of Notifiable Diseases in Canada, as reported by the Provincial Health Departments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"for the week ended December 8, 1956, in comparison with the previous week 1, and the 5 year (1951-55) Median",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,DISEASE,CANADA 2,,,,,,NFLD.,,,P.E.I.,,,N.S,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,,No. 
,,Report Week,Previous Week,Median 1951-55,Cumulative Total 3,,,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,
26,(d) Gonorrhoea,247,296,302,13904,13506,13506,10,6,6,-,3,-,10,16,6,2,3,4,46,61,68,-,35,50,27,35,20,31,17,28,56,52,49,65,68,69,26
27,(e) Other venereal diseases 8,-,1,-,11,21,21,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27
28,Whooping cough,175,196,217,8232,13139,8865,-,2,-,1,5,8,1,-,13,1,-,1,122,99,61,19,42,42,6,14,6,5,-,13,16,21,9,4,13,10,28
"(1) Figures adjusted for delayed reports. (2) Exclusive of Yukon and Northwest Territories. (3) Total accumulated to the end of the current week from the first week ending in January of the year stated. (4) Includes cases where type was not specified. (5) Scarlet fever includes cases of streptococcal sore throat. (6) Type not specified. (7) Includes chancroid, granuloma inguinale and lymphogranuloma venereum.   .. Not reportable",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"THE SITUATION IN THE UNITED STATES (Source: ""MORBIDITY AND MORTALITY-WEEKLY REPORT"", U.S. National Office of Vital Statistics): Number of reported cases for the current week (previous week in parentheses):",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diphtheria,55 (67),Measles,3813 (3634),"Meningitis, other",25 (43),"Poliomyelitis, with paralysis",82 (90),Smallpox,- (-),Undulant fever,24 (14),,,,,,,,,,,,,,,,,,,,,,,,,,,
"Encephalitis, infectious",41 (32),Meningococcal infections,51 (41),"Poliomyelitis, acute",152 (169),"Poliomyelitis, without paralysis",40 (48),Typhoid fever,21 (22),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The number of reported cases of poliomyelitis by type, in the United States for the current week, disease year, and calendar year are:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type,Current week,,Disease year ,,Calendar year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1956,1955,1956,1955,1956,1955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,152,229,14061,27753,15128,28816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paralytic,82,119,5982,9941,6565,10405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nonparalytic,40,60,5520,10691,5805,10981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unspecified,30,50,2559,7121,2758,7430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Of the 55 cases of diphtheria reported this week, 34 were in Michigan.
EPIDEMIC REPORTS: Scarlet fever - Nfld. Reports mild epidemic at Jamestown, BB.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ENTERED BY: Gabrielle MacKinnon on June 30, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
