609,906,"1,629","36,463","33,599","45,887",-,-,2,4,-,6,44,75,54,...,..,3,130,220,239,419,355,719,12,45,54,R.P.,...,47,...,a.e,148,2,211,245,1,FILLER
-,2,6,136,139,190,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,2,FILLER
-,4,9,617,673,673,-,-,-,-,-,-,-,-,-,,4,a.e,..,,3,-,-,1,-,-,-,-,-,-,-,-,-,-,-,2,3,FILLER
-,-,-,2,3,19,-,-,-,-,-,-,-,-,-,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,FILLER
-,4,9,614,670,670,-,-,-,-,-,-,-,-,-,,4,,,,...,-,-,1,-,-,-,-,-,-,-,-,-,-,-,2,5,FILLER
 infectious,-,-,-,46,35,42,-,-,-,,,,-,-,-,-,-,-,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,6
 epidemic,116,106,87,"11,086","38,438","10,110",,,,57,22,-,55,82,6.9,,,1,-,-,-,1,1,4,3,1,-,-,-,-,,,,-,-,-,7
884,"1,074","1,855","53,427","56,922","56,922",-,-,11,,,1,30,47,108,,,10,191,322,197,501,256,453,43,40,41,a,,29,119,107,90,-,302,272,8,FILLER
 meningococcal,4,2,4,283,310,298,1,1,-,1,-,-,-,-,-,-,-,-,1,,-,1,-,2,-,1,-,-,-,-,0.0,,,-,-,-,9
310,710,"1,134","27,734","27,193","35,189",-,-,2,7,4,3,3,22,12,,,:.,78,132,108,204,222,227,18,22,27,,,33,P.A,A.O.,80,-,308,71,10,FILLER
 epidemic:4,3,2,5,615,"1,021","2,568",-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,1,-,4,-,1,-,11
2,1,4,361,551,"1,163",-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,12,FILLER
1,1,1,206,376,"1,295",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,13,FILLER
79,249,159,"52,080","20,409","10,116",-,-,-,,,as,1,-,9,,,A.P.,28,48,7,35,18,117,-,4,-,A..,..,2,15,90,27,-,89,20,14,FILLER
 etc.⁵,145,129,White,"11,621","9,360","14,054",6,1,3,8,6,10,16,12,28,1,-,3,29,46,69,68,35,63,1,1,12,4,7,12,12,14,98,-,7,54,15
-,-,-,-,-,-,-,-,-,...,...,...,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,FILLER
106,171,170,"9,205","10,170","10,474",1,10,11,-,1,1,4,1,1,5,9,14,64,79,42,16,4,33,9,16,11,7,5,5,-,20,15,-,26,26,17,FILLER
86,159,133,"7,588","8,073","8,547",1,10,10,-,-,-,4,1,1,5,9,14,62,78,40,(6),(6),(6),8,16,10,6,4,1,-,20,15,-,21,22,18,FILLER
4,8,9,508,580,567,-,-,-,-,1,-,-,-,-,-,-,-,2,1,2,(6),(6),(6),1,-,-,1,1,1,-,-,-,-,5,4,19,FILLER
1,5,4,451,380,469,-,-,-,-,-,-,-,-,-,-,-,-,-,4,1,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,20,FILLER
4,2,1,143,122,133,-,-,-,-,-,-,-,-,-,-,-,-,4,:.,:.,-,1,-,-,-,-,-,-,-,...,..,...,-,1,-,21,FILLER
148,311,250,"16,737","16,647","18,207",6,2,5,-,4,1,2,2,4,1,1,7,28,66,70,37,47,45,15,28,21,19,28,22,40,43,39,-,90,30,22,FILLER
 primary,2,1,3,115,128,201,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,2,-,-,-,1,-,-,-,1,-,-,-,23
-,1,-,54,49,109,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,24,FILLER
21,25,38,"1,924","2,218","2,588",-,-,3,-,-,-,-,-,-,1,1,1,8,12,-,5,4,9,-,3,-,2,1,1,5,-,1,-,4,4,25,FILLER
125,283,213,"14,632","14,230","14,416",6,2,3,-,4,1,2,2,4,-,-,5,20,54,21,32,43,40,13,25,21,17,25,20,35,42,38,-,86,28,26,FILLER
-,1,-,12,22,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,27,FILLER
64,112,190,"8,727","13,682","9,387",-,-,-,1,3,-,-,-,5,-,2,1,39,76,51,13,13,48,5,2,7,3,2,3,3,2,10,-,12,17,28,FILLER
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FILLER
