883,848,873,"17,660","16,542","18,900",2,4,2,2,8,5,15,25,34,-,-,-,244,312,189,393,324,426,12,17,19,:.,:.,19,:,:,48,215,158,98,1,FILLER
-,-,4,40,43,61,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,FILLER
17,16,14,166,170,171,-,-,-,-,-,-,-,-,-,,,A.P.,1,,,3,3,-,-,-,-,-,1,-,4,7,-,9,5,12,3,FILLER
7,-,-,7,-,1,-,-,-,-,-,-,-,-,-,,,,,,,3,I,-,-,-,-,-,-,-,4,-,-,-,-,-,4,FILLER
10,16,14,159,170,171,-,-,-,-,-,-,-,-,-,,...,R.P.,1,..A,P..,-,3,-,-,-,-,-,1,-,-,7,-,9,5,12,5,FILLER
 infectious,-,-,-,6,7,8,-,-,-,,,A.O.,-,-,-,-,-,-,,R.P.,,,....,R.A.,-,-,-,-,-,-,-,-,-,-,-,-,6
 epidemic,315,283,78,"6,267","31,947","6,013",A..,...,a.e.,165,49,....,25,40,33,-,-,1,-,-,-,12,10,12,1,3,7,-,-,-,...,...,P...,112,181,4,7
"1,290","1,077","1,599","24,920","26,435","28,665",6,11,5,15,10,3,41,35,38,-,-,-,319,315,316,725,594,632,29,15,34,...,A.O.,25,22,9,112,133,88,155,8,FILLER
 meningococcal,5,9,6,104,104,109,1,-,-,,,,-,-,-,-,-,-,1,-,1,2,6,2,-,-,-,-,-,1,a.e.,,,1,3,1,9
"1,050",852,769,"14,517","13,521","19,383",1,-,1,18,5,3,11,26,16,-,-,1,223,209,191,496,421,380,66,36,33,S.A,...,18,R.P.,...,22,235,155,81,10,FILLER
 epidemic:4,2,-,2,46,69,69,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,1,-,1,11
1,-,-,28,44,41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,am,-,-,-,-,1,-,-,12,FILLER
1,-,1,13,21,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,1,13,FILLER
"2,929","2,644",392,"28,633","9,607","4,883",4,1,-,...,...,....,29,25,8,..,.,...,953,1108,19,1208,760,178,7,3,1,...,..,10,17,21,25,711,726,33,14,FILLER
 etc.⁵,348,292,308,"5,587","3,936","6,351",6,1,2,7,4,4,30,35,8,-,-,7,78,74,78,204,148,52,1,-,12,-,-,15,7,4,42,15,26,56,15
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,FILLER
254,205,184,"2,764","2,770","3,222",11,4,6,1,-,1,5,2,2,5,5,14,88,89,77,32,28,21,15,6,13,4,5,6,37,38,16,56,28,38,17,FILLER
205,169,148,"2,258","2,242","2,544",11,4,6,1,-,1,4,1,2,4,5,14,82,88,73,(6),(6),(6),15,4,12,3,4,4,34,38,11,51,25,34,18,FILLER
17,8,9,160,175,145,-,-,-,-,-,-,1,1,,1,-,-,6,1,1,(6),(6),(6),-,2,-,1,1,2,3,...,P...,5,3,4,19,FILLER
12,2,9,102,77,145,-,-,-,-,-,-,-,-,-,-,-,-,10,-,7,1,-,1,-,-,-,1,-,-,-,1,-,-,1,1,20,FILLER
4,-,2,45,22,35,-,-,-,-,-,-,-,-,-,.,P...,A.A.,2,S.A,1,1,-,1,1,-,-,-,-,-,...,,....,-,-,-,21,FILLER
323,300,341,"5,061","5,270","5,453",8,6,10,1,-,-,10,15,6,5,6,5,59,64,81,56,58,69,29,18,29,25,16,19,56,48,47,74,69,64,22,FILLER
 primary,2,2,4,40,35,69,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,1,-,-,1,1,-,-,-,-,23
-,2,2,15,12,44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,24,FILLER
36,52,49,592,751,927,-,1,2,-,-,-,2,2,1,2,-,1,13,28,19,12,14,16,1,-,2,2,-,2,2,2,1,2,5,3,25,FILLER
285,244,255,"4,414","4,462","4,370",8,5,5,1,-,-,8,13,5,3,5,3,46,36,60,44,44,52,28,17,23,22,15,17,53,45,45,72,64,61,26,FILLER
-,-,1,-,10,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,27,FILLER
195,209,160,"2,857","4,873","2,747",-,-,-,29,15,1,3,1,18,2,4,-,81,111,50,17,24,50,8,11,5,2,-,5,10,20,19,43,23,11,28,FILLER
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FILLER
