301,252,307,"25,674","23,751","31,067",12,3,1,1,-,6,18,27,11,:.,..,1,112,41,29,88,130,95,4,7,20,:,:,21,:,,12,66,44,55,1,FILLER
4,1,2,56,60,85,-,1,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,2,FILLER
20,23,18,357,316,316,-,-,-,-,-,-,-,-,-,...,...,...,...,....,3,2,1,2,-,-,-,3,14,-,1,-,-,14,8,11,3,FILLER
-,-,-,-,2,7,-,-,-,-,-,-,-,-,-,a..,,,,,,-,-,-,-,-,-,-,,,,,-,-,-,-,4,FILLER
20,23,18,357,314,314,-,-,-,-,-,-,-,-,-,,,a.e.,,A.O.,3,2,1,2,-,-,-,3,14,-,1,-,-,14,8,11,5,FILLER
 infectious,-,-,1,10,14,18,-,-,-,,,,-,-,-,,-,-,,,,,,,-,-,-,-,-,-,-,,-,-,-,-,6
 epidemic,127,148,18,"8,318","36,126","8,918",A.S.,,A.A.,84,126,:,34,22,11,-,-,-,,-,-,9,-,1,-,-,-,,-,-,,,,-,,-,7
552,495,466,"39,564","42,113","45,800",2,1,3,1,10,7,28,13,22,,..,1,254,188,78,180,219,151,7,10,19,A..,...,6,28,25,72,52,29,67,8,FILLER
 meningococcal,1,4,2,177,183,168,-,-,-,.A,A.A,....,-,-,-,-,-,-,-,1,-,1,1,1,-,-,1,-,-,-,,,A.P.,-,2,-,9
138,198,186,"20,909","19,205","27,491",-,-,1,4,7,1,-,1,12,,,,24,45,23,77,91,80,4,4,13,2,1,9,A.A.,,16,27,49,22,10,FILLER
 epidemic:4,11,2,95,91,219,259,-,-,1,-,-,-,-,-,1,-,-,3,3,-,6,1,2,34,-,-,3,1,-,2,3,-,11,3,1,10,11
6,-,25,55,127,127,-,-,-,-,-,-,-,-,-,-,-,-,3,-,5,-,-,5,-,-,1,(6),-,1,3,-,-,-,-,3,12,FILLER
4,2,58,28,79,115,-,-,1,-,-,-,-,-,,,-,1,-,-,1,1,2,29,-,-,2,(6),-,-,-,-,2,3,I,8,13,FILLER
251,242,58,"48,333","17,122","8,796",-,1,-,,A.9.,,8,6,1,,,....,111,91,5,49,52,30,-,-,-,....,1,3,16,11,11,67,80,9,14,FILLER
 etc.5,117,112,110,"8,405","6,025","9,139",3,1,1,25,10,2,12,22,6,21,1,1,16,17,14,29,20,12,1,1,14,1,24,2,3,7,8,6,9,14,15
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,1,,,-,-,16
247,138,188,"5,156","5,375","5,900",3,6,20,3,1,-,-,1,1,15,9.,7,155,47,57,11,22,22,13,13,19,-,8,9,29,9,17,18,23,31,17,FILLER
218,109,155,"4,217","4,368","4,728",3,6,19,2,-,-,-,1,1,14,9,7,149,46,52,(6),(6),(6),12,13,19,-,4,8,22,9,17,16,21,26,18,FILLER
18,7,10,308,350,296,-,-,-,1,-,-,-,-,-,1,-,-,6,1,5,(6),(6),(6),1,-,-,-,4,1,7,..A,1,2,2,4.,19,FILLER
1,7,7,219,152,232,-,-,-,-,-,-,-,-,-,-,1,-,-,-,2,-,-,1,-,-,-,-,1,-,-,-,-,1,5.,-,20,FILLER
-,-,2,78,69,70,-,-,-,-,-,-,-,-,-,,,,,,1,-,-,1,-,I,-,-,-,-,a.a.,,a.e.,-,-,-,21,FILLER
258,334,345,"8,822","9,288","9,817",11,11,7,1,-,-,5,5,11,5,10,7,85,75,81,(8),34,65,18,17,30,36,41,32,57,58,57,40,83,56,22,FILLER
 primary,4,5,4,59,60,119,-,-,I,-,-,-,=,-,,:,-,-,-,-,1,-,1,1,I,-,-,a,-,-,3,4,I,1,I:,1,23
-,-,1,23,21,71,-,-,-,-,a,-,,-,,,,-,,-,-1,I,-,-,-,1,=,,-,1,1,I,-,-,,E,24,FILLER
34,26,56,"1,039","1,360","1,520",-,-,1,1,:,-,5,2,4,1,1,=,18,13,29,-,2,14,1,2,2,If,-,1,5,-,4,4,7,6,25,FILLER
220,302,282,"7,699","7,833","7,833",11,11,5,1,,PP.,,3.,8,5,10,7,67,62,48,-,31,49,17,15,28,36,40,29,49,54,52,35,76,50,26,FILLER
-,1,-,2,14,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,27,FILLER
112,91,127,"4,789","7,515","4,692",-,-,-,1,9,1,-,-,4,-,-,-,67,41,37,14,22,43,6,7,4,3,-,6,2,3,15,19,9,9,28,FILLER
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FILLER
