87.26,86.13,90.67,91.85,66.60,92.43,85.30,73.24,87.94,77.59,83.45,87.30,79.79,85.50,25.59,84.86,37.18,88.77,74.17,81.59,87.74,45.65,83.84,48.19,87.40,78.91,87.06,78.37,32.37,89.70,83.40,83.79,22.53,90.28,82.67,85.01,85.84
86.47,85.35,89.84,91.02,65.97,91.60,84.52,72.56,87.11,76.90,82.67,86.52,79.05,84.72,25.34,84.08,36.84,87.94,73.49,80.86,86.91,45.24,83.06,47.75,86.62,78.22,86.28,77.64,32.08,88.87,82.62,83.01,22.33,89.45,81.88,84.23,85.06
86.23,85.11,89.65,90.82,65.82,91.36,84.28,72.36,86.91,76.71,82.47,86.28,78.86,84.52,25.29,83.89,36.74,87.74,73.29,80.66,86.72,45.12,82.86,47.63,86.38,78.03,86.04,77.44,32.01,88.67,82.42,82.81,22.27,89.21,81.69,83.98,84.86
85.84,84.72,89.21,90.38,65.53,90.92,83.89,72.02,86.47,76.37,82.08,85.89,78.47,84.13,25.17,83.50,36.57,87.30,72.95,80.27,86.33,44.92,82.47,47.41,85.99,77.64,85.64,77.10,31.86,88.23,82.03,82.42,22.17,88.82,81.30,83.64,84.47
85.89,84.77,89.26,90.43,65.53,90.97,83.94,72.07,86.52,76.37,82.13,85.94,78.52,84.18,25.17,83.54,36.60,87.35,73.00,80.32,86.33,44.95,82.52,47.44,86.04,77.69,85.69,77.15,31.86,88.28,82.08,82.47,22.18,88.87,81.35,83.64,84.47
83.69,82.57,86.96,88.09,63.87,88.62,81.79,70.21,84.33,74.41,80.03,83.74,76.51,81.98,24.52,81.40,35.64,85.11,71.14,78.27,84.13,43.77,80.37,46.22,83.79,75.68,83.50,75.15,31.05,86.04,79.98,80.32,21.61,86.57,79.25,81.49,82.32
83.74,82.62,87.01,88.13,63.92,88.67,81.84,70.26,84.38,74.46,80.08,83.79,76.56,82.03,24.55,81.40,35.67,85.16,71.14,78.32,84.18,43.80,80.42,46.24,83.84,75.73,83.54,75.20,31.08,86.08,80.03,80.37,21.62,86.62,79.30,81.54,82.37
83.54,82.47,86.82,87.94,63.77,88.48,81.64,70.12,84.18,74.32,79.88,83.59,76.37,81.88,24.49,81.25,35.60,84.96,71.00,78.12,83.98,43.70,80.27,46.14,83.69,75.59,83.35,75.05,31.01,85.89,79.83,80.22,21.57,86.43,79.15,81.40,82.18
80.27,79.25,83.45,84.52,61.28,85.06,78.47,67.38,80.86,71.39,76.76,80.32,73.39,78.66,23.54,78.08,34.20,81.64,68.21,75.10,80.71,41.99,77.10,44.34,80.42,72.61,80.08,72.07,29.79,82.52,76.71,77.05,20.73,83.06,76.03,78.17,78.96
84.77,83.69,88.13,89.26,64.70,89.79,82.86,71.14,85.40,75.39,81.05,84.81,77.49,83.11,24.85,82.47,36.13,86.23,72.07,79.30,85.25,44.36,81.45,46.83,84.91,76.71,84.62,76.12,31.47,87.16,81.05,81.40,21.89,87.70,80.32,82.57,83.40
