994,846,"1,394","32,713","29,968","41,257",-,-,7,1,-,1,66,55,56,...,...,2,271,248,268,424,390,574,57,49,52,:,:,86,...,:,19,175,104,154,1,FILLER
7,4,6,125,116,150,-,-,-,-,-,-,-,-,-,1,-,-,-,-,3,-,-,-,6,4,-,-,-,-,-,-,-,-,-,-,2,FILLER
10,33,13,604,648,648,-,-,-,-,3,-,-,-,-,1,**,...,..,...,2,-,-,3,-,-,-,-,18,1,-,4,-,9,8,7,3,FILLER
,1,-,2,3.,18,-,-,-,-,-,-,-,-,-,...,...,....,P.A,,...,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,FILLER
10,33,11,601,645,645,-,-,-,-,3,-,-,-,-,1,a.a,a.e.,0.A,,2,-,-,3,-,-,-,-,18,1,-,4,-,9.,8,7,5,FILLER
 infectious,-,-,2,45,32,41,-,-,-,...,,...,-,-,-,-,-,-,9.8,...,...,...,..,...,-,-,-,-,-,-,-,-,-,-,-,-,6
 epidemic,253,200,54,"10,631","37,959","9,900",A.O.,..A,a.e.,54,36,-,197,1/8,39,...,..A,,-,-,-,-,1,2,2,9,3,-,-,-,,....,1.8,-,6,-,7
"1,283",921,887,"48,672","52,087","52,435",-,-,3,,,0.8,13,61,88,A.S.,0.8,3,358,192,131,493,389,196,46,39,31,A.G.,**,20,68,48,50,305,192,76,8,FILLER
 meningococcal,5,5.,5,269,280,273,-,1,-,-,1,-,-,-,-,-,1,-,-,1,-,1,-,2,1,-,-,1,-,-,9.A,...,..A.,2,1,1,9
540,494,701,"25,344","24,844","32,556",-,-,1,2,6,...,60,41,12,..,..,1,70,44,120,171,202,311,36,19,22,..,:,14,:.,,12,201,182,145,10,FILLER
 epidemic:4,13,23,13,576,989,"2,514",-,2,-,-,-,-,-,-,-,-,-,-,9,7,1,-,2,4,1,-,-,-,-,3,2,9,3,1,3,4,11
9.,18,5,329,528,"1,127",-,2,-,-,-,-,-,-,-,-,-,-,7,7,1,-,1,2,-,-,-,-,-,-,1,5,-,1,3,1,12,FILLER
2,5.,8,200,371,"1,284",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,1,1,4,-,-,-,3,13,FILLER
294,248,132,"51,129","18,823","9,745",-,-,-,...,...,...,3,4,3,...,..,...,113,69,3,33,61,31,-,-,-,:.,:.,7,33,18,10,112,96,10,14,FILLER
 etc.⁵,202,265,420,"10,903","8,493","12,626",2,9,4,22,28,8,65,120,5,-,1,2,27,29,72,38,41,67,9,2,17,1,7,35,28,13,54,10,15,52,15
-,-,-,-,-,-,-,-,-,....,..,...,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,FILLER
276,180,159,"8,499","9,482","9,656",15,3,15,2,-,3,-,3,1,14,2,6,137,65,52,16,28,31,16,16,19,3,9,6,29,27,16,44,27,21,17,FILLER
251,145,120,"6,971","7,515","7,859",15,3,14,1,-,2,-,2,1,13,2,6,136,64,52,(6),(6),(6),15,16,19,2,9,4,29,24,16,40,25,16,18,FILLER
9,7,9,482,553,506,-,-,-,1,-,-,-,1,-,1,-,-,1,1,2,(6),(6),(6),1,-,-,1,-,1,-,3,-,4,2,2,19,FILLER
7,8,8,428,359,449,-,-,-,-,-,-,-,-,-,-,-,-,5,4,3,2,3,2,-,-,-,-,-,-,-,1,-,-,-,-,20,FILLER
2,2,3,132,115,120,-,-,-,-,-,-,-,-,-,-,-,-,2,1,1,-,1,1,-,-,-,-,-,-,...,R.A.,....,-,-,-,21,FILLER
346,338,350,"15,627","15,536","16,880",6,6,3,3,3,-,17,8,14,3,4,3,82,66,92,47,57,67,38,33,25,20,16,23,54,58,61,76,87,50,22,FILLER
 primary,4,2,3,106,115,193,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,1,-,1,1,-,1,-,-,1,-,-,23
2,3,2,52,46,102,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,24,FILLER
43,45,53,"1,801","2,114","2,407",-,-,-,-,-,-,1,-,3,-,-,2,18,30,20,12,12,19,3,1,-,1,-,4,1,-,2,7,2,2,25,FILLER
296,288,296,"13,657","13,241","13,465",6,6,3,3,3,-,16,8,12,3,4,3,61,34,67,35,45,45,35,31,24,17,15,19,52,58,54,68,84,48,26,FILLER
1,-,-,11,20,20,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,FILLER
196,150,217,"8,057","12,922","8,648",2,2,-,5,4,-,-,16,6,-,-,3,99,56,74,42,51,55,14,3,5,-,3,15,21,5,13,13,10,27,28,FILLER
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FILLER
