"1,199","1,303","1,268","9,915","9,175","10,870",24,3,5,-,1,6,62,62,48,-,-,1,324,340,224,580,543,614,20,49,34,5,...,60,...,.....,62,184,305,171,1,FILLER
-,2,3,24,26,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,2,FILLER
13,6,14,76,57,80,-,-,-,2,1,-,-,-,-,...,...,....,5,...,...,-,-,5,2,1,-,-,-,-,-,-,-,4,4,6,3,FILLER
-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,...,,...,,P..,...,-,-,-,I,-,-,-,-,-,-,-,-,-,-,-,4,FILLER
13,6,14,76,57,72,-,-,-,2,1,-,-,-,-,....,...,...,5,...,..,-,-,5,2,1,-,-,-,-,-,-,-,4,4,6,5,FILLER
 infectious,-,-,-,3,4,4,-,-,-,...,R.P.,P...,-,-,-,-,-,-,...,....,...,...,:,....,-,-,-,-,-,-,-,-,-,-,-,-,6
 epidemic,104,205,327,"1,438","9,526","1,568",....,....,,49,86,T.R,32,83,196,1,-,-,-,-,-,21,4,5,1,2,2,-,-,2,...,,...,-,30,42,7
"1,947","1,676","1,903","13,721","12,255","14,435",1,-,10,3,37,4,65,100,65,-,-,-,521,374,297,1158,828,592,57,52,110,21,6,20,32,129,147,89,150,178,8,FILLER
 meningococcal,9,7,8,55,57,51,4,3,-,,...,*.*,-,-,-,-,-,2,1,1,-,4,1,2,-,-,1,-,-,-,P.A,A.T.,...,-,2,2,9
"1,102",886,"1,178","7,401","6,689","8,489",-,-,1,6,16,1,5,1,37,-,-,-,226,176,254,683,401,464,47,49,42,R.9.,1,104,P.R,A.P.,51,135,242,110,10,FILLER
 epidemic:4,5,3,4,25,30,30,-,-,-,-,-,-,-,-,1,1,-,-,2,-,-,-,1,-,-,-,1,-,-,-,-,-,1,2,2,-,11
3,3,3,14,24,24,-,-,-,-,-,-,-,-,1,-,-,-,2,-,-,-,1,-,-,-,1,-,-,-,-,-,-,1,2,-,12,FILLER
2,-,1,6,3,3,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,1,-,-,13,FILLER
"1,628","1,471",291,"9,759","2,723","2,059",5,4,-,,R.P.,,60,41,8,...,,P...,945,999,18,434,260,171,15,12,1,R.O.,1.A,7,18,13,39,151,42,25,14,FILLER
 etc.⁵,342,346,454,"2,503","1,878","2,986",3,-,2,4,11,4,27,29,20,-,2,3,60,82,100,203,165,67,-,11,17,1,-,21,15,11,55,29,35,99,15
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,FILLER
156,123,200,"1,319","1,341","1,545",2,7,14,1,-,1,1,1,2,12,2,11,54,52,88,17,19,23,12,4,13,8,6,7,23,6,7,26,26,21,17,FILLER
123,97,167,"1,095","1,058","1,258",2,7,13,1,-,1,1,1,2,12,2,11,53,50,85,(6),(6),(6),11,4,13,6,5,6,21,6,7,19,22,20,18,FILLER
13,7,10,65,96,80,-,-,-,-,-,-,-,-,-,-,-,-,1,2,3,(6),(6),(6),1,-,-,2,1,1,2,R.P.,9.3,7,4,3,19,FILLER
4,6,8,58,29,76,-,-,-,-,-,-,-,-,-,1,1,-,-,5,4,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20,FILLER
5,4,2,29,10,15,-,-,-,-,-,-,-,-,-,A..,..A,...,4,4,2,1,-,1,-,-,-,-,-,-,...,R.P.,9.5,-,-,-,21,FILLER
303,297,364,"2,627","2,870","2,844",8,8,8,-,1,1,11,4,13,3,5,1,60,71,105,45,55,59,33,25,22,13,21,18,54,39,55,76,68,66,22,FILLER
 primary,1,2,4,21,24,37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,1,1,1,1,-,-,-,-,23
1,-,3,10,5,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,24,FILLER
27,34,66,269,397,447,1,2,2,-,-,-,1,-,6,-,1,-,13,12,24,6,9,15,4,1,2,1,3,4,1,1,1,-,5,7,25,FILLER
274,261,292,"2,327","2,442","2,327",7,6,6,-,1,1,10,4,12,3,4,1,47,59,78,39,46,44,29,24,20,12,17,17,51,37,55,76,63,55,26,FILLER
-,-,-,-,2,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,FILLER
143,133,158,"1,324","3,071","1,618",9,3,-,13,17,-,3,2,5,-,-,1,46,50,40,36,23,54,9,5,8,7,2,6,6,4,12,14,27,17,28,FILLER
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FILLER
