871,885,976,"18,533","17,296","19,906",13,2,2,-,2,7,29,17,44,-,-,-,241,244,167,392,393,454,13,12,22,....,...,26,...,....,40,183,215,185,1,FILLER
-,-,2,40,43,62,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,FILLER
11,17,10,177,176,176,-,-,-,-,-,-,-,-,-,...,A.P.,,A.P.,1,1,-,3,2,,-,1,1,I,-,1,4,-,8,9,5,3,FILLER
-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,,,,,,,-,-,-,-,-,-,-,-,-,-,-,--,-,-,-,4,FILLER
11,17,10,177,175,175,-,-,-,-,-,-,-,-,-,,,,,1,,-,3,2,1,-,1,1,-,-,1,4,-,8,9,5,5,FILLER
 infectious,-,1,-,6,7,a,-,-,-,,,*..,-,-,-,-,-,-,A.S.,,,,..A,,-,-,-,-,-,-,-,-,-,-,-,-,6
 epidemic,142,315,335,"6,409","33,338","6,598",,,,32,165,,96,25,249,-,-,-,-,-,-,2,12,.5 5,6,1,4,-,-,-,,A.P.,,6,112,20,7
"1,317","1,293","1,567","26,240","27,881","30,352",8,6,4,20,15,5,29,44,64,-,-,3,518,319,394,554,725,539,22,29,44,-,-,7,22,23,168,144,1.33,193,8,FILLER
 meningococcal,3,5,5,111,107,114,2,1,-,,A...,...,-,-,-,-,-,-,-,1,-,1,2,2,-,-,-,-,-,-,,A.O.,...,-,1,1,9
783,"1,057",959,"15,307","14,192","20,453",1,1,-,7,18,1,13,18,22,-,-,2,217,223,189,388,496,345,25,66,29,-,-,88,V.A,,30,132,235,110,10,FILLER
 epidemic:4,2,2,6,49,76,76,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,1,-,1,1,1,1,1,11
1,1,3,30,47,42,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,1,12,FILLER
1,1,2,14,25,24,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,I,-,-,-,-,-,1,-,1,-,-,13,FILLER
"2,118","2,929",444,"30,751","10,589","5,211",2,4,-,,A.P.,,13,29,13,...,,,786,953,25,805,1208,234,4,7,-,R.9,...,27,8,17,41,500,711,30,14,FILLER
 etc.⁵,306,348,294,"5,893","4,178","6,618",-,6,3,7,7,6,52,30,26,-,-,3,72,78,64,145,204,75,4,1,12,1,-,16,6,7,31,19,15,50,15
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,FILLER
143,254,206,"2,907","3,015","3,465",6,11,4,1,1,2,2,5,2,18,5,5,23,88,69,22,32,29,17,15,16,9,4,6,23,37,15,22,56,32,17,FILLER
111,205,181,"2,369","2,445","2,743",6,11,4,1,1,2,1,4,2,16,4,5,22,82,69,(6),(6),(6),17,15,16,8,3,3,20,34,12,20,51,26,18,FILLER
10,17,11,170,196,153,-,-,-,-,-,-,1,1,-,2,1,-,1,6,1,(6),(6),(6),-,-,-,1,1,2,3,3,1,2,5,6,19,FILLER
5,12,8,107,81,154,1,-,-,-,-,-,-,-,-,-,-,-,1,10,3,2,1,1,-,-,-,-,1,-,I,-,-,1,-,-,20,FILLER
2,4,4,47,29,39,-,-,-,-,-,-,-,-,-,,,,2,2,2,-,1,I,-,1,-,-,-,-,...,,,-,-,-,21,FILLER
302,323,375,"5,363","5,600","5,821",8,8,9,-,1,-,3,10,12,8,5,6,80,59,106,46,56,70,27,29,19,13,25,23,54,56,44,63,74,72,22,FILLER
 primary,1,2,7,41,39,70,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,-,-,-,1,1,-,1,2,I,-,-,23
4,-,5,19,13,46,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,1,-,-,-,-,-,3,I,-,-,,-,24,FILLER
52,36,76,644,804,976,-,-,3,-,-,-,-,2,3,3,2,1,27,13,29,9,12,16,2,1,-,1,2,4,3,2,2,7.,2,8,25,FILLER
245,285,280,"4,659","4,733","4,645",8,8,5,-,1,-,3,8,6,5,3,3,53,46,89,37,44,47,23,28,19,12,22,17,48,53,38,56,72,59,26,FILLER
-,-,-,-,11,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,FILLER
195,195,187,"3,052","5,093","2,953",5,-,-,14,29,-,33,3,11,-,2,-,72,81,43,32,17,30,3,8,5,2,2,3,10,10,18,24,43,24,28,FILLER
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FILLER
FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER
Paralytic,Nonparalytic,Unspecified,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER
