1,Chickenpox,161,125,351,"27,298","25,075","33,908",-,2,2,-,-,-,13,4,7,P...,..,**,42,35,63,52,60,107,4,6,16,3,A.R.,20,,,8,47,18,51,1
2,Diphtheria,3,2,2,76,76,107,-,-,-,-,-,-,-,-,-,-,-,-,2,-,1,-,-,I,1,2,-,-,-,=,R.A. 1,... -,I,1,,I,2
3,Dysentery:,6,16,10,475,509,509,-,-,-,-,-,-,-,-,-,...,1,...,..,...,4,2,5,2,2,-,-,-,2,I,2,3,-,1:,= 5.,4,3
4,(a) Amoebic,1,-,-,2,2,9,-,-,-,-,-,-,-,-,-,...,,a.,.A,...,a.a,1,-,-,-,-,-,-,-,-,-,if,I,,I,1,4
5,(h) Bacillary,5,16,9,473,507,507,-,-,-,-,-,-,-,-,-,a.e,1,a.s.,...,,4,1,5,2,2,-,-,-,2,-,2,3,-,$ :,5,4,5
6,Encephalitis, infectious,1,7,-,37,25,32,=,-,-,,,,-,-,-,-,-,-,..,,,1,3,,I,4,I,-,-,-,I,-,:,,,,6
7,Influenza, epidemic,130,149,55,"9,409","37,044","9,296",...,...,...,38,38,-,89,106,47,...,..,...,-,-,-,-,3,3,-,2,1,-,-,-,R.P.,...,a.a.,3,E -,E 1,7
8,Measles,222,352,319,"42,558","44,792","48,196",-,3,6,...,...,4,9,12,11,A..,9.8,....,52,74,64,68,177,44,6,20,7,8,4,9,26,36,8,53,26,31,8
9,Meningitis, meningococcal,6,4,7,230,240,222,1,-,-,-,-,-,-,-,-,-,-,-,1,2,1,3,1,1,-,-,1,-,-,-,..a,...,,1,1,1,9
10,Mumps,169,177,195,"22,426","20,703","29,257",-,-,-,...,...,...,13,20,1,R.O,..A,...,6,33,47,75,68,80,6,9,11,....,3,9.,..A,a.e,a.e. 8,69,44,42,10
11,Poliomyelitis, epidemic:4,29,25,101,432,849,"2,133",-,-,-,-,-,-,-,-,2,3,1,4,8,13,13,9,5,23,-,2,1,2,-,9,2,3,10,5,1,9.,11
12,(a) With paralysis,17,17,54,237,439,891,-,-,-,-,-,-,-,-,-,-,-,1,5,11,13,7,4,16,-,2,1,(6),-,3,1,-,2,4,-,4,12
13,(b) Without paralysis,8,6,37,161,327,"1,144",-,-,-,-,-,-,-,-,-,3,1,3,1,-,2,2,1,8,-,-,1,(6),-,6,1,3,-,1,1,5,13
14,Rubella,70,71,43,"49,575","17,630","9,232",-,-,-,...,...,...,-,1,-,..,:,...,15,23,3,26,22,13,-,1,-,...,3,1,9,4,5,20,17,14,14
15,Scarlet fever, etc.⁵,100,163,113,"9,439","6,868","9,842",5,-,2,13,40,6,17,52,16,-,-,2,8,18,29,18,23,24,4,15,6,13,1,7,7,8,8,15,6,19,15
16,Smallpox,-,-,-,-,-,-,-,-,-,..,..,...,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16
17,Tuberculosis:4,155,163,204,"7,030","7,519","8,139",4,11,5,-,-,1,2,3,3,9,11,8,16,64,74,25,14,23,10,13,20,4,6,6,29,16,19,56,25,27,17
18,(a) Pulmonary,122,145,165,"5,728","6,193","6,615",4,11,4,-,-,1,1,3,3,8,10,6,16,64,73,(6),(6),(6),10,13,20,3,5,4,26,16,16,54,23,24,18
19,(b) Non-pulmonary,8,4,10,431,451,412,-,-,-,-,-,-,1,-,-,1,1,-,-,-,3,(6),(6),(6),-,-,-,1,1,-,3,...,R.P.,2,2,3,19
20,Typhoid and paratyphoid,4,11,19,343,310,349,-,-,-,-,-,-,-,-,-,-,-,-,-,7,7,-,2,-,-,-,-,-,1,-,2,-,1,2,1,-,20
21,Undulant fever,2,3,2,108,98,100,-,-,-,-,-,-,-,-,-,-,-,-,2,2,1,-,-,-,-,-,-,-,-,I,R.A.,...,..,-,1,-,21
22,Venereal diseases:,334,388,345,"12,719","12,985","13,862",16,10,11,-,4,1,11,7,13,10,4,4,89,97,80,(8),48,48,30,36,29,23,23,33,70,75,60,85,84,47,22
23,(a) Syphilis, primary,3,5,4,84,91,165,-,-,-,-,-,-,-,1,1,1,-,-,-,1,-,-,1,1,-,-,-,-,-,-,2,1,-,-,1,-,23
24,"(b) "" secondary",1,1,2,38,39,86,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,24
25,(c) other,39,54,44,"1,455","1,804","1,973",2,1,2,-,1,-,2,-,1,3,1,1,25,30,19,-,14,13,-,2,2,2,-,1,3,2,4,2,3,2,25
26,(d) Gonorrhoea,291,328,276,"11,134","11,033","11,283",14,9,7,-,3,1,9,6,11,6,3,4,64,66,63,-,33,40,30,34,27,21,23,33,64,71,54,83,80,39,26
27,(e) Other venereal diseases⁷,-,-,-,8,18,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27
28,Whooping cough,121,185,182,"6,596","10,583","6,811",-,-,-,2,1,1,9,15,6,-,-,-,46,103,62,18,18,37,8,19,9,11,14,10,25,5,15,2,10,13,28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
