81.45,88.04,80.27,82.67,86.04,87.16,82.37,86.62,81.15,36.13,82.91,74.90,79.64,82.91,27.86,81.30,20.35,82.23,19.37,81.45,82.57,24.83,84.47,39.75,82.23,31.64,85.21,45.19,76.42,73.49,73.58,82.86,28.83,83.74,74.66,84.67,79.93,77.54,81.45
84.47,91.26,83.20,85.69,89.16,90.38,85.40,89.79,84.13,37.48,85.99,77.64,82.57,85.99,28.88,84.28,21.09,85.25,20.08,84.47,85.60,25.73,87.55,41.21,85.25,32.81,88.33,46.85,79.25,76.17,76.27,85.94,29.91,86.82,77.39,87.74,82.86,80.37,84.47
83.94,90.72,82.71,85.16,88.62,89.79,84.86,89.26,83.59,37.23,85.45,77.15,82.08,85.45,28.69,83.74,20.96,84.72,19.96,83.94,85.06,25.59,87.01,40.94,84.72,32.59,87.79,46.56,78.76,75.68,75.78,85.40,29.71,86.28,76.95,87.21,82.32,79.88,83.94
84.38,91.16,83.15,85.60,89.06,90.28,85.35,89.70,84.03,37.43,85.89,77.54,82.52,85.89,28.83,84.18,21.07,85.16,20.07,84.38,85.50,25.71,87.50,41.16,85.16,32.76,88.23,46.80,79.15,76.07,76.17,85.84,29.86,86.77,77.34,87.65,82.76,80.32,84.38
85.60,92.53,84.38,86.87,90.38,91.60,86.57,91.02,85.30,37.99,87.11,78.71,83.69,87.11,29.27,85.40,21.37,86.38,20.36,85.60,86.77,26.07,88.77,41.75,86.38,33.25,89.55,47.49,80.32,77.20,77.29,87.11,30.30,88.04,78.47,88.96,83.98,81.49,85.60
82.32,88.96,81.10,83.50,86.91,88.04,83.25,87.50,81.98,36.52,83.79,75.68,80.47,83.79,28.12,82.13,20.56,83.06,19.57,82.32,83.40,25.07,85.35,40.14,83.06,31.96,86.08,45.65,77.20,74.22,74.32,83.74,29.13,84.62,75.44,85.50,80.76,78.32,82.32
81.25,87.79,80.08,82.42,85.79,86.91,82.18,86.38,80.96,36.04,82.71,74.71,79.44,82.71,27.78,81.05,20.29,81.98,19.32,81.25,82.32,24.76,84.23,39.62,81.98,31.57,85.01,45.07,76.22,73.29,73.39,82.67,28.76,83.54,74.46,84.42,79.69,77.34,81.25
84.08,90.87,82.81,85.30,88.77,89.94,85.01,89.40,83.74,37.30,85.55,77.29,82.18,85.55,28.74,83.89,21.00,84.81,20.00,84.08,85.21,25.61,87.16,41.02,84.81,32.64,87.94,46.63,78.86,75.83,75.93,85.50,29.76,86.43,77.05,87.35,82.47,80.03,84.08
74.61,80.62,73.49,75.68,78.76,79.83,75.44,79.35,74.32,33.11,75.93,68.55,72.95,75.93,25.49,74.46,18.63,75.29,17.74,74.61,75.63,22.73,77.34,36.40,75.29,28.98,78.03,41.38,69.97,67.29,67.38,75.88,26.42,76.71,68.36,77.49,73.19,71.00,74.61
87.01,94.04,85.74,88.28,91.85,93.12,87.99,92.53,86.67,38.60,88.57,79.98,85.06,88.57,29.74,86.82,21.73,87.79,20.69,87.01,88.18,26.51,90.23,42.46,87.79,33.79,91.02,48.27,81.64,78.47,78.56,88.53,30.81,89.45,79.74,90.43,85.35,82.81,87.01
67.33,88.23,72.71,83.30,70.17,87.84,83.01,87.30,81.79,79.10,83.54,84.81,70.31,83.54,28.05,81.88,20.50,82.86,19.52,82.08,83.20,25.00,78.71,40.04,82.86,31.88,85.84,45.53,77.00,74.02,74.12,83.50,29.05,84.38,75.24,85.30,80.52,78.12,68.02
67.33,88.23,72.71,65.77,70.17,69.34,65.58,68.95,64.60,79.10,65.97,84.81,70.31,65.97,22.16,64.70,16.19,65.43,15.42,64.84,65.72,19.75,78.71,31.62,65.43,25.17,67.82,35.96,60.84,58.50,58.54,65.97,22.95,66.65,59.42,67.33,63.62,61.72,68.02
