92.87,86.47,73.00,88.48,90.67,89.99,84.62,84.81,40.19,89.79,36.94,89.06,23.97,87.89,22.69,89.50,29.83,87.84,44.31,88.96,81.93,34.38,90.14,47.75,90.82,32.42,88.92,49.54,88.09,47.75,83.69,25.00,89.84,26.61,87.79,87.55,81.74,79.30
91.26,84.96,71.73,86.91,89.06,88.43,83.11,83.35,39.48,88.28,36.30,87.50,23.56,86.38,22.29,87.94,29.30,86.33,43.53,87.45,80.52,33.76,88.57,46.92,89.26,31.84,87.40,48.66,86.57,46.92,82.28,24.56,88.28,26.15,86.28,86.04,80.32,77.88
92.48,86.08,72.71,88.09,90.28,89.65,84.23,84.47,40.01,89.45,36.79,88.72,23.88,87.55,22.60,89.11,29.71,87.50,44.12,88.62,81.59,34.23,89.79,47.56,90.48,32.28,88.57,49.32,87.74,47.56,83.35,24.89,89.50,26.49,87.45,87.16,81.40,78.96
86.67,80.71,68.12,82.57,84.62,84.03,78.96,79.20,37.50,83.84,34.47,83.15,22.38,82.08,21.18,83.54,27.83,82.03,41.36,83.06,76.51,32.08,84.13,44.58,84.81,30.25,83.01,46.24,82.23,44.58,78.12,23.34,83.89,24.84,81.98,81.74,76.32,74.02
91.70,85.40,72.07,87.40,89.55,88.92,83.54,83.79,39.67,88.72,36.47,87.99,23.68,86.82,22.41,88.38,29.47,86.77,43.75,87.89,80.91,33.96,89.06,47.17,89.75,32.01,87.84,48.93,87.01,47.17,82.67,24.69,88.77,26.27,86.72,86.47,80.76,78.32
87.01,81.01,68.41,82.91,84.96,84.33,79.30,79.49,37.65,84.18,34.62,83.45,22.46,82.37,21.26,83.89,27.95,82.32,41.53,83.40,76.81,32.20,84.47,44.75,85.11,30.37,83.35,46.41,82.57,44.75,78.47,23.43,84.23,24.93,82.28,82.03,76.61,74.32
86.33,80.42,67.87,82.28,84.33,83.69,78.66,78.91,37.35,83.54,34.35,82.81,22.29,81.74,21.09,83.20,27.73,81.69,41.21,82.76,76.22,31.96,83.84,44.41,84.47,30.15,82.71,46.07,81.93,44.41,77.83,23.24,83.59,24.74,81.64,81.40,76.03,73.73
84.13,78.32,66.11,80.13,82.13,81.54,76.66,36.67,36.40,81.35,33.47,80.71,21.72,79.64,20.56,81.05,27.03,79.59,40.14,80.62,74.22,31.13,81.64,43.26,82.28,29.37,80.57,44.87,79.79,43.26,75.83,22.64,81.40,24.10,79.54,79.30,74.07,71.83
57.67,74.61,62.99,76.37,78.22,77.69,73.00,36.67,34.67,77.49,31.88,76.86,20.69,75.88,19.58,77.25,25.73,75.83,38.23,76.81,70.70,29.66,77.78,41.21,78.42,27.98,76.76,42.75,76.03,41.21,72.22,21.57,77.54,22.96,75.78,75.54,70.56,68.41
57.67,79.79,67.33,81.64,83.64,83.06,78.08,78.27,37.08,82.86,34.08,82.18,22.12,81.10,20.94,82.57,27.51,81.05,40.89,82.13,75.63,31.71,83.20,44.07,83.84,29.91,82.08,45.70,81.30,44.07,77.25,23.07,82.91,24.55,81.05,80.76,75.44,73.14
84.81,79.00,66.70,80.81,82.81,82.23,77.29,77.49,36.69,82.08,33.74,81.40,21.90,80.32,20.73,81.74,27.25,80.27,40.48,81.30,74.85,31.40,82.37,43.63,83.01,29.61,81.25,45.24,80.47,43.63,76.46,22.84,82.08,24.30,80.22,79.98,74.71,72.41
89.11,82.96,70.02,84.91,87.01,86.38,81.20,81.40,38.55,86.18,35.45,85.50,23.00,84.38,21.78,85.89,28.61,84.33,42.50,85.40,78.61,32.98,86.52,45.83,87.16,31.10,85.35,47.53,84.52,45.83,80.32,23.99,86.23,25.54,84.28,83.98,78.47,76.07
51.37,82.08,69.29,83.98,86.08,85.45,80.32,80.52,38.13,85.25,35.06,84.57,22.75,83.45,21.55,84.96,28.32,83.40,42.07,84.47,77.78,32.64,85.60,45.34,86.23,30.76,84.42,47.02,83.64,45.34,79.49,23.73,85.30,25.27,83.35,83.11,77.64,75.24
51.37,84.42,71.29,86.38,88.53,87.89,82.62,82.81,39.23,87.70,36.06,86.96,23.40,85.84,22.16,87.40,29.13,85.79,43.26,86.87,80.03,33.57,88.04,46.63,88.72,31.64,86.87,48.36,86.04,46.63,81.74,24.41,87.74,25.98,85.74,85.50,79.83,77.39
65.58,82.76,69.87,84.67,86.77,86.13,80.96,81.20,38.45,85.94,35.35,85.25,22.94,84.13,21.72,85.64,28.54,84.08,42.41,85.16,78.42,32.89,86.28,45.70,86.96,31.03,85.11,47.39,84.33,45.70,80.13,23.93,85.99,25.46,84.03,83.79,78.22,75.88
65.58,56.01,47.27,57.32,58.74,58.30,54.79,54.93,26.03,58.20,23.93,57.71,15.53,56.93,14.70,57.96,19.32,56.93,28.69,57.62,53.08,22.27,58.40,30.93,58.84,21.00,57.62,32.08,57.08,30.93,54.20,16.19,58.20,17.24,56.88,56.69,52.93,51.37
89.60,83.45,70.46,85.40,87.50,86.87,81.64,81.88,38.77,86.72,35.64,85.99,23.13,84.86,21.90,86.38,28.78,84.81,42.77,85.89,79.10,33.18,87.01,46.09,87.70,31.27,85.84,47.80,85.01,46.09,80.81,24.12,86.72,25.68,84.77,84.47,78.91,76.51
83.35,77.64,65.53,79.44,81.40,80.81,75.93,76.17,36.06,80.62,33.15,79.98,21.52,78.91,20.37,80.32,26.78,78.86,39.77,79.88,73.54,30.86,80.91,42.87,81.54,29.10,79.83,44.46,79.10,42.87,75.15,22.44,80.66,23.89,78.86,78.56,73.39,71.19
85.35,79.49,67.09,81.30,83.35,82.71,77.78,77.98,36.94,82.57,33.96,81.88,22.03,80.81,20.85,82.28,27.42,80.76,40.72,81.79,75.34,31.59,82.86,43.90,83.50,29.79,81.74,45.53,80.96,43.90,76.95,22.97,82.62,24.45,80.71,80.47,75.15,72.85
