DOMINION BUREAU OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEALTH AND WELFARE DIVISION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Summary of Cases of Notifiable Diseases in Canada, as reported by the Provincial Health Departments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"for the week ended July 26, 1958, in comparison with the previous week 1, and the 5 year (1953-57) Median",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,DISEASE,CANADA 2,,,,,,NFLD.,,,P.E.I.,,,N.S,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,,No. 
,,Report Week,Previous Week,Median 1953-57,Cumulative Total 3,,,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,
9,"Meningitis, Meningococcal",6,4,3,173,181,181,-,-,1,-,-,-,-,-,-,1,-,-,1,-,-,2,-,1,1,1,-,-,-,-,1,..,1,-,2,-,9
10,Mumps,66,111,161,9165,19052,20156,..,..,..,..,..,..,17,38,7,..,..,..,7,13,28,23,32,82,8,13,13,..,..,..,..,..,..,11,15,20,10
11,"Poliomyelitis, epidemic: 4",2,4,30,44,89,256,-,1,1,-,-,-,-,-,1,-,-,1,1,-,3,-,-,9,-,1,-,-,-,1,1,1,4,-,1,6,11
12,(a) With paralysis,1,3,11,37,56,141,-,1,-,-,-,-,-,-,-,-,-,-,1,-,3,-,-,3,-,1,-,-,-,1,-,-,1,-,1,3,12
13,(b) Without paralysis,1,1,17,7,31,100,-,-,1,-,-,-,-,-,-,-,-,1,-,-,1,-,-,7,-,-,-,-,-,-,1,1,2,-,-,3,13
14,Rubella,45,85,74,6400,15246,15246,-,-,-,..,..,..,..,..,..,..,..,..,4,6,7,13,16,26,8,-,-,..,..,..,16,27,8,4,36,13,14
15,"Scarlet fever, etc. 5 **",46,77,85,6384,5791,8498,5,2,-,9,5,10,1,14,12,-,-,1,4,14,12,16,23,12,5,6,5,-,4,3,3,7,5,3,2,8,15
16,Smallpox,-,-,-,-,-,-,-,-,-,..,..,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16
17,"Tuberculosis: 4,6",124,103,194,4357,4643,5573,17,1,19,-,3,-,2,1,-,10,5,8,38,35,83,23,12,17,21,10,11,2,14,11,6,15,17,5,7,31,17
18,(a) Pulmonary,93,82,165,3385,3552,4524,15,1,19,-,3,-,2,1,-,10,5,8,36,33,77,(7),(7),(7),20,8,9,1,12,9,5,13,17,4,6,26,18
19,(b) Non-pulmonary,8,9,14,324,310,310,2,-,-,-,-,-,-,-,-,-,-,-,2,2,6,(7),(7),(7),1,2,-,1,2,1,1,2,2,1,1,4,19
20,Typhoid and paratyphoid,2,3,12,161,164,241,-,-,-,-,-,-,-,-,-,-,-,-,1,2,4,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,20
21,Undulant fever,5,7,4,70,79,76,-,-,-,-,-,-,-,-,-,-,-,-,3,5,1,-,-,1,2,2,-,-,-,-,..,..,..,-,-,-,21
22,Venereal diseases:,328,263,341,9350,9541,9683,9,-,7,1,2,-,3,7,10,12,3,7,52,55,77,64,46,63,34,17,22,22,22,32,78,61,55,53,50,72,22
23,"(a) Syphilis, primary",6,1,2,52,81,81,-,-,-,-,-,-,1,-,-,1,-,-,-,1,-,1,-,-,-,-,-,1,-,-,2,-,-,-,-,-,23
24,(b) '' secondary,3,2,1,36,31,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,2,-,2,-,-,-,-,-,24
25,(c) '' other,26,30,44,1121,1239,1322,-,-,-,1,1,-,-,4,1,2,-,-,12,11,17,2,5,13,1,1,1,1,4,1,2,-,-,5,4,4,25
26,(d) Gonorrhoea,293,230,282,8138,8185,8151,9,-,5,-,1,-,2,3,9,9,3,7,40,43,49,60,41,49,33,16,20,20,16,29,72,61,53,48,46,64,26
27,(e) Other venereal diseases 8,-,-,-,3,5,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27
28,Whooping cough,151,58,140,3794,3987,4886,-,-,-,1,-,2,50,11,4,1,-,-,32,12,50,22,19,43,1,-,4,-,-,4,7,8,23,37,8,14,28
"(1) Figures adjusted for delayed reports. (2) Exclusive of Yukon and Northwest Territories. (3) Total accumulated to the end of the current week from the first week ending in January of the year stated. (4) Includes cases where type was not specified. (5) Scarlet fever includes cases of streptococcal sore throat. (6) Nova Scotia reports cases of tuberculosis monthly (weekly figures are preliminary: for this disease the 1958 cumulative totals for Canada include cases for Nova Scotia up to the end of the previous calendar month. (7) Type not specified. (8) Includes chancroid, granuloma inguinale and lymphogranuloma venereum. .. Not reportable. (9) Report not received ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"THE SITUATION IN THE UNITED STATES (Source: ""MORBIDITY AND MORTALITY-WEEKLY REPORT"", U.S. National Office of Vital Statistics): Number of reported cases for the current week (previous week in parentheses):",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Diphtheria,1 (140,Measles,5565 (7956),"Meningitis, other",146 (73),"Poliomyelitis, with paralysis",72 (52),Typhoid fever,26 (25),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Encephalitis, infectious",60 (38),Meningococcal infections,43 (42),"Poliomyelitis, acute",143 (125),"Poliomyelitis, without paralysis",48 (50),Undulant fever,21 (14),,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The number of cases of poliomyelitis reported for the week ended July 26 is 143 as compared with 265 for the corresponding week in 1957, and 654 in 1956. The number of paralytic cases reported increased from 52 for the previous week t0 72. The numbers for the same weeks in 1957 and 1956 were 52 and 287 respectively, and for the second consecutive week the number or cases with paralysis was in excess of the number for the same week in 1957. About one-fourth of the States have reported more paralytic cases so far this year than during the same period last year. The proportion of total cases reported as paralytic remains higher than last year. In all but 3 of the 17 weeks since the beginning of the disease year, about April 1, paralytic cases have exceeded the number reported as non-paralytic. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENTERED BY: Gabrielle Mackinnon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
