DOMINION BUREAU OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEALTH AND WELFARE DIVISION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Summary of Cases of Notifiable Diseases in Canada, as reported by the Provincial Health Departments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"for the week ended June 14, 1958, in comparison with the previous week 1, and the 5 year (1953-57) Median",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,DISEASE,CANADA 2,,,,,,NFLD.,,,P.E.I.,,,N.S,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,,No. ,,,,,,,,,,,
,,Report Week,Previous Week,Median 1953-57,Cumulative Total 3,,,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,,,,,,,,,,,,
9,"Meningitis, Meningococcal",6,3,7,145,153,154,1,1,-,-,-,-,-,-,-,-,-,1,1,2,-,1,-,1,2,-,1,-,-,1,..,..,..,1,-,-,9,,,,,,,,,,,
10,Mumps,275,356,503,8239,17781,18735,..,..,..,..,..,..,19,12,33,..,..,..,96,59,112,119,149,220,29,91,16,..,..,..,..,..,..,12,45,84,10,,,,,,,,,,,
11,"Poliomyelitis, epidemic: 4",1,4,5,34,47,117,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,2,-,1,1,-,-,-,-,1,-,-,-,2,11,,,,,,,,,,,
12,(a) With paralysis,1,4,3,28,30,71,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,1,-,-,-,-,-,1,-,-,-,1,12,,,,,,,,,,,
13,(b) Without paralysis,-,-,3,6,15,36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,13,,,,,,,,,,,
14,Rubella,383,352,470,5483,14283,14283,-,-,-,..,..,..,..,..,..,..,..,..,15,13,32,301,193,97,6,59,2,..,..,..,45,54,19,16,33,34,14,,,,,,,,,,,
15,"Scarlet fever, etc. 5 **",151,140,188,5779,5284,7702,7,12,-,2,10,8,19,12,22,-,-,2,21,11,69,64,63,70,3,3,5,4,-,1,29,26,7,2,3,10,15,,,,,,,,,,,
16,Smallpox,-,-,-,-,-,-,-,-,-,..,..,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,,,,,,,,,,,
17,"Tuberculosis: 4,6",166,169,182,3620,3859,4332,10,16,10,2,-,1,2,-,1,3,11,14,74,86,67,18,27,25,15,7,10,9,2,10,20,3,16,13,17,42,17,,,,,,,,,,,
18,(a) Pulmonary,135,133,148,2823,2952,3491,10,16,10,1,-,1,1,-,1,3,9,14,73,85,63,(7),(7),(7),14,4,10,8,2,9,15,3,15,10,14,36,18,,,,,,,,,,,
19,(b) Non-pulmonary,13,9,12,256,262,262,-,-,-,1,-,-,1,-,-,-,2,-,1,1,3,(7),(7),(7),1,3,1,1,-,-,5,-,1,3,3,4,19,,,,,,,,,,,
20,Typhoid and paratyphoid,7,6,9,137,135,188,-,-,-,-,-,-,-,-,-,-,-,-,6,6,7,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,20,,,,,,,,,,,
21,Undulant fever,2,4,4,45,60,58,-,-,-,-,-,-,-,-,-,-,-,-,-,4,1,-,-,-,2,-,-,-,-,-,..,..,..,-,-,-,21,,,,,,,,,,,
