DOMINION BUREAU OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEALTH AND WELFARE DIVISION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Summary of Cases of Notifiable Diseases in Canada, as reported by the Provincial Health Departments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"for the week ended March 29, 1958, in comparison with the previous week 1, and the 5 year (1953-57) Median",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,DISEASE,CANADA 2,,,,,,NFLD.,,,P.E.I.,,,N.S,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,,No. ,,,,,,,,,,,
,,Report Week,Previous Week,Median 1953-57,Cumulative Total 3,,,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,,,,,,,,,,,,
9,"Meningitis, Meningococcal",4,2,7,81,70,86,-,-,1,-,-,-,-,-,-,3,1,-,-,-,1,1,1,2,-,-,-,-,-,-,..,..,..,-,-,1,9,,,,,,,,,,,
10,Mumps,444,496,921,4671,11122,11133,..,..,..,..,..,..,72,57,..,..,..,..,129,193,235,166,144,366,26,21,42,..,..,..,..,..,..,51,82,138,10,,,,,,,,,,,
11,"Poliomyelitis, epidemic: 4",-,-,7,13,20,51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,2,-,-,-,11,,,,,,,,,,,
12,(a) With paralysis,-,-,3,10,13,36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,,,,,,,,,,,
13,(b) Without paralysis,-,-,2,3,5,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,13,,,,,,,,,,,
14,Rubella,184,187,907,2217,8266,7380,-,-,-,..,..,..,..,1,..,..,..,..,4,9,26,95,74,229,5,3,3,..,..,..,68,58,44,12,42,14,14,,,,,,,,,,,
15,"Scarlet fever, etc. 5 **",192,272,332,3852,3266,4423,10,5,2,2,6,9,28,110,31,-,-,10,23,22,74,86,90,102,10,9,3,6,1,28,20,22,59,7,7,65,15,,,,,,,,,,,
16,Smallpox,-,-,-,-,-,-,-,-,-,..,..,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,,,,,,,,,,,
17,"Tuberculosis: 4,6",151,148,169,1955,2210,2240,2,3,3,1,-,1,-,1,2,8,11,14,71,58,61,22,20,23,8,5,9,3,5,5,15,10,14,21,35,19,17,,,,,,,,,,,
18,(a) Pulmonary,119,111,139,1537,1724,1785,2,3,2,1,-,1,-,1,2,7,10,13,68,52,58,(7),(7),(7),6,3,8,3,3,4,14,10,14,18,29,19,18,,,,,,,,,,,
19,(b) Non-pulmonary,10,17,5,116,141,141,-,-,-,-,-,-,-,-,-,1,1,-,3,6,2,(7),(7),(7),2,2,-,-,2,-,1,-,-,3,6,1,19,,,,,,,,,,,
20,Typhoid and paratyphoid,5,9,6,67,72,88,-,-,-,-,-,-,-,-,-,1,-,-,2,7,3,-,2,1,-,-,-,-,-,-,-,-,-,2,-,-,20,,,,,,,,,,,
21,Undulant fever,1,-,1,13,26,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,..,..,..,-,-,-,21,,,,,,,,,,,
22,Venereal diseases:,329,244,299,4239,4234,4393,7,8,5,1,-,-,11,-,8,3,7,6,71,83,83,56,48,71,18,17,18,39,44,27,47,37,36,76,(9),46,22,,,,,,,,,,,
23,"(a) Syphilis, primary",-,1,3,25,39,39,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23,,,,,,,,,,,
24,(b) '' secondary,1,2,-,14,10,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,1,-,-,-,-,-,-,-,-,24,,,,,,,,,,,
25,(c) '' other,30,33,46,495,546,642,-,-,-,1,-,-,1,-,1,-,-,2,17,19,20,4,5,13,-,-,2,1,9,1,2,-,2,4,-,3,25,,,,,,,,,,,
26,(d) Gonorrhoea,298,208,253,3705,3637,3637,7,8,5,-,-,-,10,-,8,3,7,3,54,63,65,52,41,55,18,17,18,37,35,23,45,37,34,72,-,40,26,,,,,,,,,,,
27,(e) Other venereal diseases 8,-,-,-,-,2,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,,,,,,,,,,,
28,Whooping cough,112,109,157,1625,2182,2270,-,-,-,2,-,3,6,6,7,-,-,-,31,36,68,41,39,26,4,1,3,1,-,2,5,16,12,22,11,31,28,,,,,,,,,,,
"(1) Figures adjusted for delayed reports. (2) Exclusive of Yukon and Northwest Territories. (3) Total accumulated to the end of the current week from the first week ending in January of the year stated. (4) Includes cases where type was not specified. (5) Scarlet fever includes cases of streptococcal sore throat. (6) Nova Scotia reports cases of tuberculosis monthly (weekly figures are preliminary: for this disease the 1958 cumulative totals for Canada include cases for Nova Scotia up to the end of the previous calendar month. (7) Type not specified. (8) Includes chancroid, granuloma inguinale and lymphogranuloma venereum. .. Not reportable. (9) Report not received ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"THE SITUATION IN THE UNITED STATES (Source: ""MORBIDITY AND MORTALITY-WEEKLY REPORT"", U.S. National Office of Vital Statistics): Number of reported cases for the current week (previous week in parentheses):",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Diphtheria,11 (11),Measles,33202 (31352),"Meningitis, other",38 (48),"Poliomyelitis, with paralysis",7 (6),Typhoid fever,10 (110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Encephalitis, infectious",42 (36),Meningococcal infections,58 (66),"Poliomyelitis, acute",15 (14),"Poliomyelitis, without paralysis",4 (5),Undulant fever,10 (8),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The poliomyelitis disease year ended with the current week. There was a reduction of 9287 cases or 62.4 per cent between 1957-58 and 1956-57. The reduction for paralytic cases was 68.7 per cent. The greatest reduction took place during the height of the poliomyelitis season, namely 75.0 per cent. Although there has been a decrease in the total number of paralytic cases there has been in general an increase in the proportion of paralytic to nonparalytic cases reported.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"*NEWFOUNDLAND reports Chickenpox (epidemic) at Placentia and Jerseyside, P.B. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
**NEWFOUNDLAND reports Influenza (epidemic) at Mount Carmel and St. Mary’s and St. Mary's District. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENTERED BY: Gabrielle Mackinnon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
