DOMINION BUREAU OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEALTH AND WELFARE DIVISION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Summary of Cases of Notifiable Diseases in Canada, as reported by the Provincial Health Departments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"for the week ended October 4, 1958, in comparison with the previous week 1, and the 5 year (1953-57) Median",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,DISEASE,CANADA 2,,,,,,NFLD.,,,P.E.I.,,,N.S,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,,No. ,,,,,,,,,,,
,,Report Week,Previous Week,Median 1953-57,Cumulative Total 3,,,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week ,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,,,,,,,,,,,,
,,,,,1958,1957,Median 1953-1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Chickenpox,153,137,161,20946,27607,27607,..,..,..,..,..,..,3,14,6,..,..,..,28,32,42,86,67,58,1,5,7,..,..,..,..,..,..,35,19,31,1,,,,,,,,,,,
2,Diphtheria,-,2,1,39,110,84,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,2,,,,,,,,,,,
3,Dysentery: 4,37,79,9,747,1011,834,-,-,-,2,2,-,-,-,-,-,-,-,1,8,-,7,46,3,3,-,2,-,-,-,5,2,-,19,21,-,3,,,,,,,,,,,
4,(a) Amoebic,-,-,-,9,5,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,,,,,,,,,,,
5,(b) Bacillary,37,79,9,737,1006,810,-,-,-,2,2,-,-,-,-,-,-,-,1,8,-,7,46,1,3,-,2,-,-,-,5,2,-,19,21,-,5,,,,,,,,,,,
6,"Encephalitis, infectious",-,1,1,22,26,33,-,-,-,..,..,..,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,6,,,,,,,,,,,
7,"Influenza, epidemic",103,118,82,5819,21895,9405,..,..,..,65,53,17,37,59,74,..,..,..,-,-,-,-,-,7,-,3,-,-,-,-,..,..,..,1,3,2,7,,,,,,,,,,,
8,Measles,281,316,222,25536,46283,44797,*,-,-,..,..,..,*30,44,9,..,..,..,22,112,46,129,110,29,10,8,9,..,..,..,43,9,26,47,33,53,8,,,,,,,,,,,
