DOMINION BUREAU OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEALTH AND WELFARE DIVISION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Summary of Cases of Notifiable Diseases in Canada, as reported by the Provincial Health Departments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"for the week ended January 11, 1958, in comparison with the previous week 1, and the 5 year (1953-57) Median",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,DISEASE,CANADA 2,,,,,,NFLD.,,,P.E.I.,,,N.S,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,,No. ,,,,,,,,,,,
,,Report Week,Previous Week,Median 1953-57,Cumulative Total 3,,,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,,,,,,,,,,,,
,,,,,1958,1957,Median 1953-1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Chickenpox,1166,655,1370,1821,2088,2305,..,..,..,..,2,..,27,8,85,..,..,..,591,204,301,430,362,633,7,4,38,..,..,..,..,..,..,111,32,191,1,,,,,,,,,,,
2,Diphtheria,1,-,5,1,5,7,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,2,,,,,,,,,,,
3,Dysentery: 4,11,18,9,29,25,25,-,-,-,6,4,-,-,-,-,-,1,-,3,1,..,2,6,1,-,-,-,-,6,-,-,-,-,-,-,2,3,,,,,,,,,,,
4,(a) Amoebic, - ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,..,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,,,,,,,,,,,
5,(b) Bacillary,11,18,9,29,25,25,-,-,-,6,4,-,-,-,-,-,1,-,3,1,..,2,6,1,-,-,-,-,6,-,-,-,-,-,-,-,5,,,,,,,,,,,
6,"Encephalitis, infectious",-,-,-,-,-,-,-,-,-,..,..,..,-,-,-,-,-,-,..,..,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,,,,,,,,,,,
7,"Influenza, epidemic",153,164,108,317,194,194,..,..,..,74,44,27,62,96,78,..,..,..,-,-,-,10,10,2,-,13,-,3,-,-,..,..,..,4,1,1,7,,,,,,,,,,,
8,Measles,592,312,1635,904,3098,3098,-,-,14,..,..,..,42,26,74,..,..,..,188,31,240,107,105,529,12,43,38,..,..,..,218,103,90,25,4,272,8,,,,,,,,,,,
