DOMINION BUREAU OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEALTH AND WELFARE DIVISION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Summary of Cases of Notifiable Diseases in Canada, as reported by the Provincial Health Departments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"for the week ended November 1, 1958, in comparison with the previous week 1, and the 5 year (1953-57) Median",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,DISEASE,CANADA 2,,,,,,NFLD.,,,P.E.I.,,,N.S,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,,No. ,,,,,,,,,,,
,,Report Week,Previous Week,Median 1953-57,Cumulative Total 3,,,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,,,,,,,,,,,,
26,(d) Gonorrhoea,306,357,326,12436,12041,12271,8,11,8,-,1,-,6,5,8,4,14,3,71,52,62,56,42,44,35,96,30,24,32,34,48,56,64,54,48,59,26,,,,,,,,,,,
27,(e) Other venereal diseases 8,-,-,-,6,12,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,,,,,,,,,,,
28,Whooping cough,161,178,272,5732,6375,7819,-,-,-,20,20,1,8,-,4,-,-,2,35,36,46,76,87,47,1,-,8,-,-,5,9,7,15,12,28,11,28,,,,,,,,,,,
"(1) Figures adjusted for delayed reports. (2) Exclusive of Yukon and Northwest Territories. (3) Total accumulated to the end of the current week from the first week ending in January of the year stated. (4) Includes cases where type was not specified. (5) Scarlet fever includes cases of streptococcal sore throat. (6) Nova Scotia reports cases of tuberculosis monthly (weekly figures are preliminary: for this disease the 1958 cumulative totals for Canada include cases for Nova Scotia up to the end of the previous calendar month. (7) Type not specified. (8) Includes chancroid, granuloma inguinale and lymphogranuloma venereum. .. Not reportable.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"THE SITUATION IN THE UNITED STATES (Source: ""MORBIDITY AND MORTALITY-WEEKLY REPORT"", U.S. National Office of Vital Statistics): Number of reported cases for the current week (previous week in parentheses):",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Diphtheria,32 (38),Measles,1640 (2064),"Meningitis, other",100 (145),"Poliomyelitis, with paralysis",111 (155),Typhoid fever,20 (26),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Encephalitis, infectious",54 (59),Meningococcal infections,34 (50),"Poliomyelitis, acute",185 (253),"Poliomyelitis, without paralysis",40 (65),Undulant fever,20 (19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For the current week, 185 cases of poliomyelitis were reported; of these, 111 (60 per cent) were paralytic and 40 nonparalytic cases. Excluding figures from 6 States from which reports were not received there were 237 cases reported during the preceding week, of which 146 were paralytic. The comparable figure for the week ended November 2, 1957, was 71 cases of which 39 were paralytic. Four states reported 10 or more cases of paralytic poliomyelitis for the current week. Michigan reported 20 cases, Texas 18, and Kentucky and California 10 each. The 20 paralytic cases in Michigan is the same as the previous week's figures but theere was a decrease in total cases from 57 to 40.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"* NEWFOUNDLAND reports Scarlet fever (epidemic) at Charlottetown, B.B. and Glovertown, B.B.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"YUKON TERRITORY: Number of cases four weeks ended November 1: influenza, epidemic 2; measles, 2; mumps 2; scarlet fever, 2; hepatitis, infectious, 15; primary syphilis, 1; gonorrhoea, 17.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENTERED BY: Samara Manzin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
