DOMINION BUREAU OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEALTH AND WELFARE DIVISION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Summary of Cases of Notifiable Diseases in Canada, as reported by the Provincial Health Departments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"for the week ended July 5, 1958, in comparison with the previous week 1, and the 5 year (1953-57) Median",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,DISEASE,CANADA 2,,,,,,NFLD.,,,P.E.I.,,,N.S,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,,No. ,,,,,,,,,,,
,,Report Week,Previous Week,Median 1953-57,Cumulative Total 3,,,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,,,,,,,,,,,,
,,,,,1958,1957,Median 1953-1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Chickenpox,365,510,392,18977,25853,25853,*,..,..,..,..,..,10,24,31,..,..,..,31,41,58,240,246,188,21,45,29,..,..,..,3,9,..,60,145,79,1,,,,,,,,,,,
2,Diphtheria,-,-,1,32,69,56,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,,,,,,,,,,,
3,Dysentery: 4,14,8,12,276,834,642,-,-,-,-,-,-,-,-,-,3,-,-,-,3,1,2,-,1,2,-,-,-,1,-,-,-,-,7,4,5,3,,,,,,,,,,,
4,(a) Amoebic,-,-,-,5,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,,,,,,,,,,,
5,(b) Bacillary,14,8,12,271,833,636,-,-,-,-,-,-,-,-,-,3,-,-,-,3,1,2,-,1,2,-,-,-,1,-,-,-,-,7,4,5,5,,,,,,,,,,,
6,"Encephalitis, infectious",-,-,-,11,11,13,-,-,-,..,..,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,,,,,,,,,,,
7,"Influenza, epidemic",112,260,41,4388,2834,8035,..,..,..,25,52,12,66,156,30,..,1,..,-,-,-,-,-,1,-,1,1,-,-,-,21,..,..,-,50,4,7,,,,,,,,,,,
8,Measles,778,929,711,21243,42967,41140,-,-,3,8,..,..,61,60,17,..,..,..,156,105,97,408,610,222,16,55,23,..,..,..,35,35,101,94,64,74,8,,,,,,,,,,,
