filename,line_num,text,confidence
2_Columns.png,140,I,80.7132873535156
2_Columns.png,141,I,77.6195755004883
2_Columns.png,142,I,44.8923797607422
2_Columns.png,143,I,77.574333190918
2_Columns.png,144,I,79.6263122558594
2_Columns.png,145,Week,81.8646392822266
2_Columns.png,146,P.F.I.,63.8520431518555
2_Columns.png,147,Median,99.931640625
2_Columns.png,148,.,50.0641746520996
2_Columns.png,149,.,62.7798156738281
2_Columns.png,150,-,53.9625511169434
2_Columns.png,151,.,60.9907150268555
2_Columns.png,152,I,74.2910995483399
2_Columns.png,153,I,56.4006690979004
2_Columns.png,154,I,63.3334655761719
2_Columns.png,155,I,60.6536979675293
2_Columns.png,156,1,58.5637588500977
2_Columns.png,157,I,76.5683746337891
2_Columns.png,158,I,67.7447357177734
2_Columns.png,159,I,81.2593688964844
2_Columns.png,160,1,98.8885116577148
2_Columns.png,161,1,96.4158172607422
2_Columns.png,162,I,75.2844009399414
2_Columns.png,163,7,91.7155609130859
2_Columns.png,164,-,94.1117248535156
2_Columns.png,165,-,90.8506011962891
2_Columns.png,166,I,73.0070190429688
2_Columns.png,167,5.,58.6641006469727
2_Columns.png,168,.,71.1814422607422
2_Columns.png,169,I,72.7082672119141
2_Columns.png,170,-,62.1792297363281
2_Columns.png,171,-,66.4781951904297
2_Columns.png,172,I,79.245849609375
2_Columns.png,173,I,84.972297668457
2_Columns.png,174,I,74.0728607177734
2_Columns.png,175,I,89.5143127441406
2_Columns.png,176,6,97.3204345703125
2_Columns.png,177,1951-55,99.3393249511719
