file_name,row_index,col_index,AWS_Value,Manual_Value,Equal,Confidence_Value
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,1,15,-,-,TRUE,82.57
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,1,16,-,-,TRUE,19.9
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,1,17,-,-,TRUE,85.01
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,1,18,-,-,TRUE,19.96
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,1,19,-,-,TRUE,84.62
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,1,20,-,-,TRUE,78.42
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,1,21,-,-,TRUE,74.02
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,1,22,3,3,TRUE,85.16
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,1,23,-,-,TRUE,56.3
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,1,24,-,-,TRUE,82.91
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,1,25,-,-,TRUE,19.75
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,1,26,-,-,TRUE,82.18
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,1,27,-,-,TRUE,34.62
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,1,28,-,-,TRUE,81.88
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,1,29,-,-,TRUE,73.73
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,1,30,-,-,TRUE,25.63
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,1,31,-,-,TRUE,84.62
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,1,32,2,2,TRUE,50.34
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,1,33,2,2,TRUE,80.76
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,1,34,-,-,TRUE,45.29
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,1,35,-,-,TRUE,82.86
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,1,36,-,-,TRUE,81.79
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,1,37,-,-,TRUE,79.05
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,1,38,2,2,FALSE,82.23
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,2,0,3,3,TRUE,81.84
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,2,1,Dysentery:4,Dysentery: 4,FALSE,88.48
