Table: Table_1
,,,,,CANADA2,,,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,
No.,DISEASE,Report,Previous,,,Cumulative,Total³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No.
,,Week,Week,Median 1951-55,1956,1955,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,
1,Chickenpox,235,94,118,"26,558","24,348","32,470",3,9,1,-,-,-,5,7,4,..,...,9.3,111,20,14,96,51,33,5.,7,10,..,....,6,a..,...,3,15,-,21,1
2,Diphtheria,-,-,-,60,68,90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
3,Dysentery:4,11,7,19,417,413,413,-,-,-,-,1,-,-,-,-,2,,:,3,..,5,-,3,3,-,-,-,-,-,-,-,-,-,6,3,7,3
4,(a) Amoebic,-,-,-,-,2,7,-,-,-,-,-,-,-,-,-,...,...,:.,...,...,:,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
5,(b) Bacillary,11,7,18,417,411,411,-,-,-,-,1,-,-,-,-,2,R.P.,...,3,...,5,-,3,3,-,-,-,-,-,-,-,-,-,6,3,7,5
6,Encephalitis, infectious,2,3,1,20,16,21,-,-,-,..A,,..A,-,-,-,-,-,-,2,9.9,R.O.,...,3,...,-,-,-,-,-,-,-,-,-,-,-,-,6
7,Influenza, epidemic,43,66,25,"8,667","36,562","9,003",...,,,9,33,*.A,31,31,16,-,-,-,-,-,-,-,2,3,2,-,2,-,-,-,,,,1,-,-,7
8,Measles,246,204,182,"41,083","43,477","47,178",-,2,1,-,-,1,13,19,9,,A.A.,1,52,63,15,156,76,37,9,10,9,,a.e.,7,7,.A 12,A.O. 34,9,22,24,8
9,Meningitis, meningococcal,2,5,6,198,208,186,2,2,-,,,,-,1,-,-,-,-,-,-,1,-,2,1,-,-,1,-,-,-,,,,-,-,-,9
10,Mumps,127,100,116,"21,551","19,830","28,205",-,1,1,-,-,-,12,3,2,...,...,,14,16,15,60,46,64,9,8,11,...,A...,3,....,9.8,3,32,26,19,10
11,Poliomyelitis, epidemic:⁴,20,38,218,205,516,"1,074",-,-,-,-,-,-,-,1,7,3,-,6,7,4,26,4,18,47,2,1,5.,-,-,11,2,3,20,2,11,8,11
12,(a) With paralysis,15,22,85,117,273,443,-,-,-,-,-,-,-,1,5,1,-,1,5.,3,2,4,14,24,2,1,2,-,-,7,1,1,1,2,2,5,12
13,(b) Without paralysis,3,16,96,73,195,596,-,-,-,-,-,-,-,-,-,2,-,6,-,1,4,-,4,23,-,-,3,-,-,4,1,2,1,-,9,8,13
14,Rubella,71,88,28,"49,029","17,377","9,005",1,-,-,,:,:,-,-,2,:.,:.,:.,25,18,4,25,23,7,-,1,-,1,1,:.,6,13,8,13,32,7,14
15,Scarlet fever, etc.⁵,77,58,74,"8,794","6,362","9,382",-,-,3,3,15,2,35,14,10,1,-,1,7,8,21,19,17,9.,-,-,3,3,1,8,6,2,5.,3,1,11,15
16,Smallpox,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16
17,Tuberculosis:4,213,132,186,"6,034","6,332","6,927",6,4,4,1,-,1,-,1,3,7,9,16,58,65,71,56,23,15,40,13,17,11,2,6,18,-,12,16,15,34,17
18,(a) Pulmonary,142,93,157,"4,885","5,179","5,558",6,4,3,1,-,1,-,1,3,5,8,16,56,59,70,(6),(6),(6),38,9,17,8,1,4,13,-,9.,15,11,32,18
19,(b) Non-pulmonary,15,16,10,377,408,351,-,-,-,-,-,-,-,-,-,2,1,-,2,6,1,(6),(6),(6),2,4,-,3,1,1,5,,1,1,4,2,19
20,Typhoid and paratyphoid,14,9,10,280,220,305,-,-,-,-,-,-,-,-,-,-,-,-,10,3,5,4,5,1,-,-,-,-,1,-,-,-,-,-,-,1,20
21,Undulant fever,4,2,3,103,83,89,-,-,-,-,-,-,-,-,-,,R.A,,2,1,2,1,-,1,1,-,-,-,-,-,R.P.,...,...,-,1,-,21
22,Venereal diseases:,378,328,354,"10,564","11,053","11,256",4,4,7,-,-,-,8,16,8,5,11,8,78,65,99,47,40,63,25,30,34,25,53,37,73,73,61,113,36,89,22
23,(a) Syphilis, primary,2,2,6,66,74,139,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,1,1,1,-,-,23
24,(b) secondary,1,-,2,29,32,77,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,=,-,-,-,-,24
25,(c) other,28,36,50,"1,194","1,584","1,737",1,-,3,-,-,-,-,3,2,-,-,1,14,22,16,8,5,9,1,-,1,-,3,3,-,1,1,4,2,7,25
26,(d) Gonorrhoea,347,289,318,"9,272","9,348","9,371",3,4,5,-,-,-,8,12,6,5,11,4,63,43,75,39,35,50,23,30,32,25,19,34,73,71,57,108,34,83,26
27,(e) Other venereal diseases,-,1,-,3,15,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,27
28,Whooping cough,130,149,254,"5,499","8,832","5,364",-,-,-,1,3,-,-,4,9,-,-,-,61,85,63,14,14,67,6,10,8,5,5,8,3,1,23,40,27,17,28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
