Table: Table_1
,,,,,CANADA2,,,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,
No.,DISEASE,,Previous,,,Cumulative,Total³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No.
,,Report Week,Week,Median 1951-55,1956,1955,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,
1,Chickenpox,611,804,992,"23,845","21,978","27,249",-,17,5,10,5,5,13,18,44,,,,154,119,138,324,402,453,12,70,34,A.R,A.C.,40,,A.P.,26,98,173,133,1
2,Diphtheria,1,-,2,46,49,80,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,=,1,#,-,I,I,=,2
3,Dysentery:4,20,16,9,285,238,238,-,-,-,-,1,-,-,-,-,,,,,1,1,1,-,1,4,-,-,-,-,-,2,4,-,18,10,6,3
4,(a) Amoebic,-,-,-,-,1,5,-,-,-,-,-,-,-,-,-,*..,...,9.3,R.P.,9.9,R.P.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
5,(b) Bacillary,20,16,9,285,237,237,-,-,-,-,1,-,-,-,-,...,...,P...,A.R.,1,1,-,-,1,-,-,-,-,-,-,2,4,-,18,10,6,5
6,Encephalitis, infectious,-,1,-,8,11,16,-,-,-,,,.0,-,-,-,-,-,-,,A..,,,1,....,-,,,-,-,-,-,-,-,I,-,1,,6
7,Influenza, epidemic,158,182,53,"7,595","35,914","8,721",A.O.,,,88,129,...,65,49,42,1,-,-,-,-,-,3,1,3,1,3,-,-,-,-,A.A.,,,-,-,: 2,7
8,Measles,"1,377","1,390","1,350","36,182","38,312","41,260",4,1,6,16,16,4,22,26,36,,,1,456,415,304,695,658,414,26,35,32,,1,33,30,26,188,128,212,211,8
9,Meningitis, meningococcal,2,6.,6,157,154,149,-,2,-,,,,-,-,-,-,2,-,1,-,1,1,2,2,-,-,1,-,-,-,,,,-,-,-,9
10,Mumps,491,662,631,"19,673","18,084","25,817",1,1,2,21,6,3,-,8,38,,,,101,146,120,260,373,275,24,22,15,,,36,,,22,84,106,114,10
11,Poliomyelitis, epidemic:⁴,5.,2,11,68,117,117,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,4,1,#:,-,-,-,-,E,-,2,2,1,2,11
12,(a) With paralysis,1,2,5,41,71,71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,1,-,-,-,-,-,-,-,-,-,1,1,12
13,(b) Without paralysis,4,-,6,21,36,36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,3,-,-,-,-,-,-,-,-,-,2,-,1,13
14,Rubella,"1,653","1,817",353,"45,931","16,021","8,004",1,2,-,,A.O.,,32,24,7,0.9,,,481,546,15,586,698,202,4,3,-,,a.a.,15,19,29,40,530,515,37,14
15,Scarlet fever, etc.⁵,176,213,282,"7,676","5,465","8,494",2,-,6,16,11,2,9,40,21,-,-,2,54,31,89,76,103,44,2,-,8,1,-,11,6,17,13,10,11,35,15
16,Smallpox,-,-,-,-,F,**,-,-,-,-,-,-,-,-,-,-,-,=,-,=,-,,=,-,I:,-,-,-,F,,F,-,-,MP.,E,-,16
17,Tuberculosis: 4,182,289,246,"4,258","4,309","4,947",12,7,11,1,2,2,6,2,4,5,19,18,50,178,100,18,26,26,8,8,20,-,10,11,40,16,22,42,21,29,17
18,(a) Pulmonary,148,247,207,"3,466","3,491","3,936",12,7,10,1,1,2,6,2,3,5,18,18,47,174,98,(6),(6),(6),7,6,20,-,9,7,34,13,20,36,17,25,18
19,(b) Non-pulmonary,16,16,12,254,274,238,-,-,-,-,1,-,-,-,-,-,1,-,3,4,2,(6),(6),(6),1,2,-,=,1,4,6,3,1,6,4,3,19
20,Typhoid and paratyphoid,8,12,7,184,116,214,-,2,-,-,-,-,-,-,-,-,1,-,3,5,5,1,1,1,-,-,-,1,-,-,-,1,-,3,2,1,20
21,Undulant fever,5.,6,6,73,51,57,I,-,-,-,-,-,-,-,-,,..A,,1,4,2,3,1,1,1,-,-,-,1,I,a.e.,:,A.O.,=,1,=,21
22,Venereal diseases:,327,311,332,"7,406","7,703","8,170",13,7,8,1,1,-,4,13,14,4,4,4,70,65,69,39,50,52,22,22,26,27,34,21,59,59,60,88,56,57,22
23,(a) Syphilis, primary,1,-,3,47,53,99,-,I,I,-,I,-,-,-,-,-,-,I,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,I,-,-,23
24,(b) " secondary,-,1,2,21,18,64,-,1,-,-,1,-,-,-,I,-,-,#,-,-,1,-,-,-,-,-,-,-,-,I,1,-,-,1,1,I,24
25,(c) other,22,42,46,886,"1,106","1,298",-,2,1,-,-,-,1,2,3,-,-,-,11,17,16,8,17,12,-,2,2,1,I,3,1,-,1,1,2,5,25
26,(d) Gonorrhoea,304,268,271,"6,452","6,513","6,513",13,5,7,1,1,-,3,11,11,4,4,4,59,48,50,31,33,42,21,20,24,27,34,17,58,59,53,87,53,53,26
27,(e) Other venereal diseases⁷,-,-,-,-,13,11,-,-,no,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27
28,Whooping cough,165,143,159,"4,257","6,572","4,080",I,-,-,19,15,1,-,2,7,2,2,#,86,80,44,10,6,33,8,17,3,9,3,6,17,2,13,14,16,32,28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
