Table: Table_1
84.38,91.94,71.68,71.68,71.68,71.68,71.68,71.68,78.42,78.42,78.42,86.82,86.82,86.82,84.52,84.52,84.52,83.74,83.74,83.74,83.15,83.15,83.15,87.30,87.30,87.30,82.76,82.76,82.76,84.52,84.52,84.52,84.77,84.77,84.77,85.89,85.89,85.89,85.21
84.38,91.94,91.06,95.12,93.70,88.38,88.38,88.38,71.78,91.21,78.08,90.23,86.72,87.65,87.30,93.07,92.29,60.50,90.58,89.16,89.55,83.06,64.79,86.72,89.70,87.01,88.72,93.21,77.44,90.19,92.48,90.92,87.89,91.06,89.75,89.60,86.52,89.89,85.21
84.38,91.94,91.06,95.12,93.70,45.70,19.80,46.26,71.78,91.21,78.08,90.23,86.72,87.65,87.30,93.07,92.29,60.50,90.58,89.16,89.55,83.06,64.79,86.72,89.70,87.01,88.72,93.21,77.44,90.19,92.48,90.92,87.89,91.06,89.75,89.60,86.52,89.89,85.21
69.68,83.50,73.97,67.04,69.43,67.48,71.88,67.68,67.33,68.41,75.63,67.14,63.53,73.24,69.19,66.70,72.17,75.29,70.80,78.08,85.25,88.13,78.27,79.64,72.51,66.70,73.05,77.39,77.83,59.57,66.26,71.00,58.40,72.36,35.64,57.67,75.34,78.12,53.91
46.80,56.05,49.68,45.02,69.43,67.48,71.88,67.68,67.33,68.41,50.78,45.09,63.53,73.24,69.19,66.70,72.17,50.54,70.80,78.08,85.25,88.13,52.54,79.64,72.51,66.70,49.05,77.39,52.29,59.57,66.26,71.00,58.40,48.61,23.94,57.67,50.59,52.44,53.91
74.22,88.92,78.81,71.39,81.84,85.25,36.94,86.28,71.73,64.06,80.57,71.53,82.42,74.76,47.09,76.71,28.27,80.18,18.97,82.18,74.27,40.48,83.40,44.09,80.47,46.63,77.83,73.88,82.91,57.62,70.12,84.18,76.66,77.10,37.99,85.64,80.27,83.20,83.54
66.06,79.15,70.17,63.57,72.85,75.88,32.86,76.81,63.82,57.03,71.68,63.67,73.34,66.55,41.92,68.31,25.17,71.39,16.88,73.14,66.11,36.04,74.22,39.23,71.63,41.50,69.29,65.72,73.83,51.27,62.40,74.95,68.21,68.60,33.81,76.22,71.44,74.07,74.37
73.58,88.18,78.17,70.80,81.15,84.52,36.62,85.60,71.14,63.53,79.88,70.95,81.74,74.17,46.68,76.07,28.05,79.54,18.81,81.49,73.63,40.14,82.67,43.70,79.79,46.24,77.15,73.24,82.23,57.13,69.53,83.50,75.98,76.46,37.67,84.96,79.59,82.52,82.86
70.70,84.72,75.05,68.02,77.93,81.20,35.18,82.18,68.31,61.04,76.71,68.12,78.52,71.19,44.85,73.10,26.93,76.37,18.07,78.27,70.75,38.55,79.39,41.99,76.61,44.41,74.12,70.36,78.96,54.88,66.80,80.18,73.00,73.44,36.16,81.59,76.46,79.25,79.59
37.52,65.58,71.04,64.36,73.73,76.81,33.28,77.73,64.65,57.71,72.61,64.45,74.27,67.38,42.43,69.14,25.49,72.27,17.09,74.07,66.94,36.47,75.15,39.72,72.51,42.02,70.12,66.55,74.71,51.90,63.18,75.88,69.04,69.48,34.23,77.20,72.36,74.95,75.29
