Table: Table_1
,,,,,CANADA2,,,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,
No.,DISEASE,Report Week,Previous Week,Median 1952-56,1957,Cumulative 1956,Total³ Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week (8),Previous Week,Median 1952-56,CoReport Week,Previous Week,Median 1952-56,No.
1,Chickenpox,389,490,920,"31,895","36,469","37,745",:,:,:,:,:.,:,-,14,15,:.,:,:.,194,134,197,183,182,526,12,19,35,:,:.,:,. :.,:,:.,-,141,92,1
2,Diphtheria,1,1,8,143,135,139,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,
3,Dysentery:4,8,19,6,631,611,673,-,-,-,7,-,-,-,-,-,-,-,-,:.,2,: .,1,2,-,-,-,-,-,-,-,-,-,-,-,15,2,2 3
4,(a) Amoebic,-,-,-,8,2,5,-,-,-,-,-,-,-,-,-,-,-,-,:.,:,:.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
5,(h) Bacillary,8,19,6,623,608,670,-,-,-,7,-,-,-,-,-,-,-,-,:,2,:,1,2,-,-,-,-,-,-,-,-,-,-,-,15,2,5
6,Encephalitis, infectious,-,1,-,34,46,42,-,-,-,..,:.,..,-,-,-,-,-,-,:.,:.,..,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,6
7,Influenza, epidemic,226,366,51,"170,185","11,117","10,110",,:.,:.,97,222,35,129,58,14,..,..,...,-,-,-,-,5,-,-,30,3,-,-,-,..,:.,:,-,51,-,7
8,Measles,248,284,869,"49,032","53,938","56,178",*,-,31,P...,..,...,2,10,31,...,...,...,47,69,170,68,73,501,131,16,42,...,...,...,-,82,53,-,34,130,8
9,Meningitis, meningococcal,5,5,6,341,234,285,-,4,-,-,-,-,-,-,-,1,-,-,3,-,1,1,-,1,-,-,-,-,-,-,....,:,,-,1,1,9
10,Mumps,173,303,530,"22,386","28,112","28,112",**,...,R.9.,9.8,...,...,14,23,19,...,9.8,..,119,113,...,37,119,285,3,4,33,...,...,:,..,...,..... .....,-,44,75,10
11,Poliomyelitis, epidemic:⁴,2,2,18,286,600,"2,390",-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,1,-,-,-,1,-,-,1,-,-,1,-,1,2,11
12,(a) With paralysis,-,2,11,181,368,"1,163",-,-,-,-,-,-,-,-,-,-,-,-,(6),-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,1,2,12
13,(b) Without paralysis,1,-,3,92,220,701,-,-,-,-,-,-,-,-,-,1,-,-,(6),-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,13
14,Rubella,18,85,101,"16,369","51,892","10,116",-,-,-,...,R.9,9.9,-,4,1,....,...,...,4,5,8,13,5,35,1,-,-,:.,..,:,-,56,15,-,15,8,14
15,Scarlet fever, etc.⁵,128,275,213,"8,606","11,670","11,670",5,4,4,11,15,7,73,161,9,-,-,2,21,24,42,16,56,90,2,2,3,I,-,15,-,9,12,-,4,21,15
16,Smallpox,-,-,-,-,-,-,-,-,-,:.,:.,:.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1€
17,Tuberculosis: ⁴,60,162,1/1,"8,586","9,370","10,474",2,12,1,1,-,-,-,-,3,9,-,5,24,73,45,11,13,16,6,7,12,7,10,4,-,28,12,-,19,26,17
18,(a) Pulmonary,42,143,116,"7,030","7,538","8,537",2,12,1,1,-,-,-,-,1,7,-,5,21,69,43,(6),(6),(6),4,7,11,7,9,3,-,28,11,-,18,19,18
19,(b) Non-pulmonary,7,6,5,491,494,553,-,-,1,-,-,-,-,-,-,2,-,-,3,4,2,(6),(6),(6),2,-,-,-,1,1,-,-,-,-,1,2,19
20,Typhoid and paratyphoid,1,7,5,317,455,457,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,7,1,-,-,-,-,-,-,-,-,-,-,-,-,20
21,Undulant fever,-,-,3,122,1/1,133,-,-,-,-,-,-,-,-,-,-,-,-,..,:.,:.,-,-,-,-,-,-,-,-,-,:.,:.,:,-,-,-,21
22,Venereal diseases:,155,268,250,"16,303","16,596","18,056",6,12,5,-,-,-,5,3,8,-,3,1,72,33,30,15,41,44,27,20,22,30,30,19,-,40,40,-,86,33,22
23,(a) Syphilis, primary,-,3,2,142,116,157,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,1,-,2,-,23
24,(b) " secondary,-,1,-,46,53,68,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,24
25,(c) " other,21,16,26,"2,016","1,909","2,312",-,1,-,-,-,-,-,1,1,-,-,-,13,4,8,1,4,8,1,1,1,6,2,2,-,1,2,-,2,2,25
26,(d) Gonorrhoea,134,248,218,"14,087","14,506","14,660",6,11,4,-,-,-,5,2,7,-,3,-,59,29,24,14,36,38,26,19,20,24,27,16,-,39,35,-,82,29,26
