Table: Table_1
,,,,,CANADA2,,,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,
20,Typhoid and paratyphoid,3,6,4,157,213,215,-,1,-,-,-,-,-,-,-,-,-,-,3,5,1,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,20
21,Undulant fever,1,2,2,64,77,63,1,-,-,-,-,-,-,-,-,-,-,-,: .,2,:,-,-,-,-,-,-,-,-,-,:,: .,..,-,-,-,21
22,Venereal diseases:,291,307,310,"8,594","8,122","8,726",11,6,6,-,-,-,14,13,10,2,5,6,59,56,74,58,30,53,26,32,23,18,35,24,35,60,42,68,70,63,22
23,(a) Syphilis, primary,4,1,3,73,50,84,1,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,2,-,-,-,-,1,-,-,-,1,-,-,23
24,(b) " secondary,-,1,1,26,22,35,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24
25,(c) " other,46,38,44,"1,148",967,"1,280",1,-,2,-,-,-,1,2,1,-,1,-,23,13,22,12,8,7,1,1,1,1,1,2,2,1,1,51,11,2,25
26,(d) Gonorrhoea,241,267,265,"7,343","7,082","7,312",0,6,4,-,-,-,13,11,6,2,4,5,36,41,46,46,22,39,23,31,22,17,34,18,33,59,42,62,59,61,26
27,(e) Other venereal diseases⁷,-,-,-,4,1,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27
28,Whooping cough,94,77,123,3.633,"4,586","4,519",-,-,1,-,1,3,4,-,3,-,-,1,45,11,31,27,34,32,5,2,4,-,2,6,5,26,21,8,1,19,28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
