Table: Table_1
,,,,,CANADA2,,,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,
No.,DISEASE,Report Week,Previous,,,Cumulative,Total³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No.
,,,Week,Median 1952-56,1957,1956,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week (8),Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,
1,Chickenpox,895,983,873,"16,478","16,776","18,209",A.P,*.A,3,9.4,,7,39,61,34,..A,,,122,227,191,596,566,421,13,15,17,,P..9.,13,...,9.9.,:,125,114,149,1
2,Diphtheria,1,2,1,56,43,43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,2,-,-,-,-,2
3,Dysentery:4,9,4,12,178,141,149,-,,,-,4,-,-,-,-,-,-,-,-,...,2,,-,-,1,1,1,-,-,-,-,-,-,-,4,1,5,3
4,(a) Amoebic,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,4
5,(h) Bacillary,9,4,12,177,141,149,-,-,-,4,-,-,-,-,-,-,-,-,...,2,..,-,-,1,1,1,-,-,-,-,-,-,-,4,1,5,5
6,Encephalitis, infectious,-,1,-,3,6,7,-,-,-,...,...,...,-,-,-,-,,,-,:.,:.,..,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,6
7,Influenza, epidemic,115,89,283,"1,421","5,944","5,224",A.R,*...,...,39,56,49,41,31,47,...,..,,-,-,-,3,2,10,1,-,5,-,-,-,,,..,31,-,68,7
8,Measles,"1,020","1,913","1,481","27,926","23,630","24,836",-,-,12,....,...,10,23,47,35,...,...,2,183,245,381,292,393,536,121,93,20,,..,10,-,643,46,401,492,158,8
9,Meningitis, meningococcal,5,12,4,93,102,98,1,2,-,-,-,-,-,1,-,-,3,-,1,-,-,2,4,1,-,1,-,-,-,1,,: .,,1,1,-,9
10,Mumps,588,921,893,"12,654","13,467","13,467",R.P.,...,1,...,4,3,30,58,26,...,,,87,235,209,293,360,421,7,46,33,,,15,...,...,21,171,218,155,10
11,Poliomyelitis, epidemic:4,2,4,2,28,45,65,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,2,-,-,-,-,-,2,-,1,-,-,11
12,(a) With paralysis,2,3,2,18,30,39,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,2,-,-,-,-,-,1,-,1,-,-,12
13,(b) Without paralysis,-,1,-,6,15,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,I,-,-,-,-,-,-,-,-,-,1,-,-,-,-,13
14,Rubella,236,983,350,"9,365","25,641","4,607",-,-,-,,...,9..9,2,-,18,...,9.9,9.9.,11,65,21,54,77,252,3,2,2,,....,6,-,627,21,166,212,18,14
15,Scarlet fever, etc.⁵,168,260,437,"3,684","5,253","6,049",1,I,1,12,32,7,25,32,6,1,3,15,18,58,74,66,76,84,3,4,8,27,4,23,-,31,41,15,20,51,15
16,Smallpox,-,-,-,-,-,-,-,-,-,..A,R.P,....,I,-,I,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16
17,Tuberculosis:4,169,207,205,"2,458","2,544","2,797",13,3,4,1,-,I,1,2,2,12,14,5,74,94,89,30,20,28,9,10,10,3,18,5,-,16,11,26,30,29,17
