Table: Table_1
,,,,,CANADA2,,,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,
No.,DISEASE,Report Week,Previous,,,Cumulative,Total³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No.
,,,Week,Median 1952-56,1957,1956,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,
1,Chickenpox,258,279,858,"29,109","30,944","32,702",*,..,:.,:.,:.,:.,4,4,37,..,:.,..,81,45,197,115,150,271,4,8,42,:.,:.,:.,:.,:.,:.,54,72,110,1
2,Diphtheria,5,1,6,128,114,114,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,4,-,-,-,-,-,1,1,-,-,-,-,2
3,Dysentery:4,5,3,11,564,553,624,-,-,-,3,-,-,-,-,-,-,-,-,: .,1,..,-,2,1,-,-,-,-,-,-,-,-,-,2,-,3,3
4,(a) Amoebic,-,-,-,7,2,4,-,-,-,-,-,-,-,-,-,-,-,-,R.P.,...,...,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
5,(h) Bacillary,5,3,11,557,550,622,-,-,-,3,-,-,-,-,-,-,-,-,R.P.,1,..,-,2,1,-,-,-,-,-,-,-,-,-,2,-,3,5
6,Encephalitis, infectious,-,-,-,29,45,38,-,-,-,..,..,:.,-,-,-,-,-,-,:.,:.,:.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6
7,Influenza, epidemic,"80,797","13,020",46,"231,526","10,171","9,648",**,:.,..,418,529,-,589,802,36,157,:,:.,-,-,-,309,869,2,,32508712,2,2,162,-,..,:,,(8),1946,-,7
8,Measles,196,170,607,"47,208","46,658","49,587",-,-,2,..,:.,..,35,-,11,:.,:.,:,18,17,121,50,82,170,33,7,50,..,:.,:,36,51,39,24,13,63,8
9,Meningitis, meningococcal,9,3,6,309,257,257,2,2,-,-,-,-,-,-,-,2,-,-,1,-,-,-,1,-,-,-,-,1,-,1,:.,:.,:,3,-,1,9
10,Mumps,193,97,440,"20,885","24,361","24,361",:.,:.,:,: .,4,: .,21,5,27,:.,:.,:.,56,19,:.,70,53,199,2,7,17,..,..,: .,:,..,..,44,9,75,10
11,Poliomyelitis, epidemic:4,2,4,51,275,532,"2,248",-,-,-,-,-,-,-,-,-,1,3,-,-,-,3,-,-,6,-,-,1,1,1,8,-,-,11,-,-,5,11
12,(a) With paralysis,2,2,21,174,311,"1,088",-,-,-,-,-,-,-,-,-,1,1,-,-,-,2,-,-,2,-,-,-,1,1,2,-,-,1,-,-,4,12
13,(b) Without paralysis,-,2,11,89,207,656,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,1,-,-,1,-,-,3,-,-,-,-,-,1,13
14,Rubella,26,26,75,"15,978","50,298","9,552",-,-,-,R.P.,P.R,R.P.,-,-,9,...,...,...,3,1,5,4,9,21,-,-,-,....,...,....,16,9,8,3,7,13,14
