Table: Table_1
,,,,,CANADA2,,,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,
No.,DISEASE,Report,Previous,,,Cumulative,Total³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No.
,,Week,Week,Median 1952-56,1957,1956,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,
1,Chickenpox,"1,017","1,087","1,600","3,105","3,504","4,547",-,-,7,9,-,9,46,110,65,...,...,: .,231,172,337,555,582,761,29,30,52,:,:.,47,:,,19,147,193,194,1
2,Diphtheria,8,3,5,13,15,13,-,-,-,-,-,-,-,I,-,-,-,-,-,-,3,-,1,-,-,-,-,-,-,-,8,2,-,-,-,-,2
3,Dysentery:4,7,6,10,32,36,36,-,-,-,-,2,-,-,-,-,2,3,,5,1,...,-,-,2,-,-,-,-,-,-,-,-,-,-,-,6,3
4,(a) Amoebic,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,...,...,...,,...,...,-,-,-,-,-,-,-,-,-,-,-,I,-,-,-,4
5,(h) Bacillary,7,6,10,32,36,36,-,1,-,-,2,-,-,-,-,2,3,a.a,5,1,..,-,-,2,-,-,-,-,-,-,-,-,-,-,-,6,5
6,Encephalitis, infectious,1,-,-,,1,1,-,-,-,,,,-,-,-,-,-,-,,,...,,,,-,-,-,-,-,-,-,-,-,-,-,-,6
7,Influenza, epidemic,74,113,131,268,420,294,....,...,,50,82,18,24,21,56,...,...,...,-,-,-,-,2,-,-,-,2,-,-,-,,...,....,-,8,8,7
8,Measles,"1,678","1,969","1,590","4,776","4,807","4,807",-,-,16,1,...,28,69,74,103,...,...,1,383,240,296,445,529,668,101,51,59,...,:,25,173,139,60,506,936,142,8
9,Meningitis, meningococcal,2,11,8,15,31,17,1,2,-,-,-,-,I,-,-,-,4,-,-,-,-,1,4,3,-,-,-,-,-,-,N.*.,,,-,1,2,9
10,Mumps,796,906,975,"2,323","2,446","2,446",-,-,1,..A,5,6,61,39,38,..,...,,140,100,191,316,366,489,16,10,34,..A,A.O.,19,R.P.,...,A.O. 10,263,386,162,10
11,Poliomyelitis, epidemic:4,4,-,7,6.,8,16,-,-,-,-,-,-,-,-,I,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,1,-,2,2,-,1,11
12,(a) With paralysis,4,-,5,6.,3.,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,1,-,-,2,-,1,12
13,(b) Without paralysis,,-,1,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,1,13
14,Rubella,349,421,186,"1,020","2,557",509,-,-,-,...,...,...,9,4,9,,..,,16,53,8,53,58,104,3,4,1,9.8,....,1,148,141,20,120,161,21,14
15,Scarlet fever, etc.⁵,202,354,368,763,816,957,1,1,3,10,9,10,30,220,14,-,-,3,37,26,49,99,47,112,1,2,15,3,4,55,14,36,58,7,9,57,15
16,Smallpox,-,-,-,-,-,-,-,-,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1€
17,Tuberculosis:4,191,105,188,414,483,483,6,8,7,-,1,1,1,-,1,21,6,13,70,19,75,17,10,19,7,4,6,1,-,5,45,30,21,23,27,28,17
18,(a) Pulmonary,158,83,161,336,409,393,6,8,7,-,1,-,1,-,1,17,6,13,67,18,74,(6),(6),(6),7,-,4,1,-,5,37,26,20,22,24,28,18
19,(b) Non-pulmonary,16,12,9,36,16,22,-,-,-,-,-,-,-,-,1,4,-,-,3,1,1,(6),(6),(6),-,4,1,-,-,1,8,4,-,1,3,4,19
20,Typhoid and paratyphoid,5,2,9,16,29,16,-,1,-,-,-,-,-,-,-,-,-,-,1,1,6,1,-,1,-,-,-,-,-,-,-,-,1,3,-,-,20
