Table: Table_1
,,,,,CANADA2,,,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,
No.,DISEASE,Report Week,Previous Week,Median 1952-56,1957,Cumulative 1956,Total³ Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,No.
1,Chickenpox,"1,104","1,131","1,326","7,213","8,715","9,514",P...,...,3,3,11,12,68,49,62,A.P.,...,..,206,337,340,658,492,543,28,59,35,R.A,,40,,,23,141,180,166,1
2,Diphtheria,10,1,2,32,27,20,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,6,-,-,-,1,-,-,P... -,-,3,-,-,-,-,I,2
3,Dysentery:4,9,7,6,70,62,68,-,-,-,-,2,-,-,-,-,2,-,-,...,,...,5,3,4,-,-,1,-,1,-,2,-,-,-,1,4,3
4,(a) Amoebic,-,--,-,],-,1,-,-,-,-,-,-,-,-,-,-,-,-,...,..,....,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,4
5,(h) Bacillary,9,7,6,69,62,64,-,-,-,-,2,-,-,-,-,2,-,-,...,,...,5,3,4,-,-,1,-,1,-,2,-,-,-,1,4,5
6,Encephalitis, infectious,-,-,-,1,3,4,-,-,-,,...,:..,-,-,-,-,-,-,...,...,,-,-,-,-,-,,-,-,-,-,-,-,-,-,,6
7,Influenza, epidemic,70,67,99,585,"1,326","1,244",: .,: .,..,23,39,21,47,21,48,:.,,:,-,-,-,-,1,8,-,1,2,-,-,-,....,...,...,-,5,23,7
8,Measles,"1,799","2,199","1,680","12,630","11,778","11,778",-,-,24,:,: .,9,1,78,72,:,,: .,181,266,374,624,623,410,70,196,52,..,:,18,306,289,106,617,744,254,8
9,Meningitis, meningococcal,8,12,4,43,47,46,2,3,-,-,-,-,-,1,-,2,2,1,-,-,1,-,3,1,-,-,-,I,-,-,1,3,R.P.,2,-,-,9
10,Mumps,789,947,901,"5,864","6,299","6,299",,,1,: .,4,7,17,40,9,..,.,:.,94,161,189,342,359,401,25,21,49,...,:,26,..,...,1,281,362,140,10
11,Poliomyelitis, epidemic:4,1,5,3,16,20,26,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,1,-,-,-,-,-,-,1,2,1,-,-,1,11
12,(a) With paralysis,1,3,3,11,13,21,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,1,-,-,-,-,-,-,1,1,-,-,-,1,12
13,(b) Without paralysis,-,1,-,4,7,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,13
14,Rubella,432,638,345,"2,992","3,068","1,719",-,-,-,,R.P.,...,7,8,21,...,,,49,138,14,52,53,128,3,4,1,...,P...,...,192,199,13,129,236,71,14
15,Scarlet fever, etc.⁵,175,217,403,"1,623","2,177","2,548",3,2,3,8,15,10,24,33,13,-,-,3,19,42,108,67,70,86,15,2,11,2,2,28,24,32,48,13,19,49,15
16,Smallpox,-,,-,-,-,-,-,-,-,...,...,....,-,-,--,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1€
17,Tuberculosis: 4,164,153,173,"1,026","1,175","1,295",4,8,7,-,1,1,1,2,2,30,-,10,64,29,77,10,25,24,7,4,7,1,8,6,26,32,20,21,44,23,17
18,(a) Pulmonary,140,119,141,815,968,"1,025",4,8,7,-,1,1,1,2,2,27,-,10,60,26,72,(6),(6),(6),6,4,4,1,6,5,23,31,15,18,41,22,18
19,(b) Non-pulmonary,14,9.,9,81,51,71,-,-,-,-,-,-,-,-,-,3,-,-,4,3,2,(6),(6),(6),1,-,-,-,2,1,3,1,2,3,3,4,19
20,Typhoid and paratyphoid,7,3,7,40,60,56,-,-,-,-,-,-,-,-,-,-,-,-,2,],4,3,-,1,1,-,-,-,-,-,-,-,-,1,2,1,20
