Table: Table_1
,,,,,CANADA2,,,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,
No.,DISEASE,,Previous,,,Cumulative,Total³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No.
,,Report Week,Week,Median 1952-56,1957,1956,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,
1,Chickenpox,257,202,255,"26,626","25,899","28,075",: .,,:,:.,:.,:.,-,13,10,: .,:.,,162,31,42,55,123,95,10,15,18,: .,:.,:.,:,,,30,20,54,1
2,Diphtheria,6,1,2,75,60,61,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,1,-,-,-,-,-,-,-,3,-,-,2
3,Dysentery:4,9,1,17,372,358,358,-,-,-,-,-,-,-,-,-,1,-,-,3,,..,3,-,2,1,-,-,1,1,-,-,-,-,-,-,9,3
4,(a) Amoebic,-,-,-,4,-,4,-,-,-,-,-,-,-,-,-,-,-,-,...,....,...,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
5,(h) Bacillary,9,1,17,368,358,358,-,-,-,-,-,-,-,-,-,1,-,-,3,...,...,3,-,2,1,-,-,1,1,-,-,-,-,-,-,9,5
6,Encephalitis, infectious,2,-,1,14,11,17,-,-,-,9..0,A.A.,,-,-,-,-,-,-,...,9.9,...,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6
7,Influenza, epidemic,26,55,23,"2,957","8,374","8,374",A.P.,,,13,39,-,11,13,8,R.P.,...,R.P.,-,-,-,1,3,1,1,-,-,-,-,-,,...,,-,-,-,7
8,Measles,300,435,438,"44,250","39,962","42,531",-,-,3,,,...,13,24,22,A.A,...,..,14,24,73,63,147,178,28,48,18,...,...,9..9,140,145,.... 37,42,47,63,8
9,Meningitis, meningococcal,2,4,3,186,180,180,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,1,1,-,-,-,1,-,-,,,,-,2,-,9
10,Mumps,161,147,185,"19,079","21,059","21,059",,,,,,...,7,13,12,a.,...,...,28,27,...,101,87,82,13,8,10,1.A,...,...,... R.P.,... ...,P...,12,12,21,10
11,Poliomyelitis, epidemic:4,8,10,51,87,108,391,-,-,1,-,-,-,-,-,1,1,1,1,1,1,3,4,3,15,-,-,3,1,1,2,2,1,11,-,3,10,11
12,(a) With paralysis,6,4,23,53,66,142,-,-,-,-,-,-,-,-,-,-,-,-,1,1,3,4,1,3,-,-,1,1,1,1,-,1,1,-,1,3,12
13,(b) Without paralysis,2,6,22,28,40,149,-,-,1,-,-,-,-,-,-,-,1,1,-,-,1,-,2,12,-,-,2,-,-,-,2,1,2,1,2,4,13
14,Rubella,54,102,58,"15,102","48,280","8,854",-,-,-,,,,1,-,1,A.P.,...,...,7,3,5,26,38,30,1,1,-,...,....,...,30,46,8,13,14,9,14
15,Scarlet fever, etc.⁵,67,133,93,"5,776","8,498","9,199",2,1,-,15,8,5,12,55,15,2,-,1,8,13,12,10,24,12,2,2,7,9,3,2,5,25,8,2,2,13,15
16,Smallpox,-,-,-,-,1,-,-,-,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16
17,Tuberculosis:4,261,158,194,"5,130","5,439","6,039",4,11,20,-,1,-,-,4,1,8,15,8,131,42,83,19,9,17,8,7,17,11,2,9,44,37,17,36,30,22,17
18,(a) Pulmonary,222,138,164,"4,171","4,369","4,820",4,10,19,-,1,-,-,4,-,8,11,8,126,42,76,(6),(6),(6),8,6,17,9,2,8,35,36,16,32,26,21,18
19,(b) Non-pulmonary,20,11,12,321,304,310,-,1,-,-,-,-,-,-,-,-,4,-,5,-,6,(6),(6),(6),-,1,-,2,-,1,9,1,1,4,4,3,19
20,Typhoid and paratyphoid,12,3,15,175,241,241,-,-,-,-,-,-,-,-,-,-,1,-,10,1,4,2,-,1,-,-,-,-,1,-,-,-,-,-,-,-,20
21,Undulant fever,5,2,2,80,81,72,1,-,-,-,I,-,-,-,-,-,-,-,4,9.3,9.9,1,-,1,-,1,-,-,-,-,,....,,-,1,-,21
22,Venereal diseases:,344,296,341,"9,541","9,057","9,796",15,3,7,-,1,I,12,13,10,6,-,7,77,31,77,63,58,55,14,21,30,32,31,32,53,47,... 56,72,91,56,22
23,(a) Syphilis, primary,2,3,3,81,59,92,1,1,-,-,-,-,-,-,-,a,-,1,1,-,-,-,-,1,-,-,-,1,2,-,-,1,-,-,1,-,23
24,(b) " secondary,2,1,1,31,24,38,1,-,,,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,24
25,(c) " other,30,28,46,"1,239","1,067","1,433",1,-,-,-,-,-,-,4,1,1,-,-,13,7,20,9,5,14,-,1,1,1,5,1,,-,2,5,6,4,25
26,(d) Gonorrhoea,309,264,282,"8,185","7,905","8,151",13,3,5,-,1,-,12,9,8,5,1,7,62,24,48,54,53,41,14,20,28,29,24,30,53,46,52,67,84,50,26
27,(e) Other venereal diseases⁷,1,-,-,5,2,11,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27
28,Whooping cough,163,113,130,"3,987","4,919","4,886",1,-,-,-,-,2,18,2,2,-,-,-,50,30,40,48,43,43,-,1,4,4,-,6,28,21,15,14,16,13,28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
