Table: Table_1
,,,,,CANADA2,,,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,
No.,DISEASE,Report Week,Previous Week,1952-56,,Cumulative,Total³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No.
,,,,Median,1957,1956,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week (8),Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,
1,Chickenpox,772,775,841,"22,127","21,678","23,073",....,...,...,5,1.8,...,43,41,24,...,...,...,161,148,164,457,464,386,9,11,25,,,,,,,97,111,134,1
2,Diphtheria,2,-,1,65,48,50,-,-,-,-,-,-,-,-,-,-,-,-,2,-,1,-,-,-,-,-,-,-,... -,P... -,-,-,..A -,-,I,-,2
3,Dysentery:4,7,10,10,289,209,209,-,-,-,-,-,-,-,-,-,3,3,-,2,,,-,2,1,-,-,-,-,5,-,-,-,-,2,I,6,3
4,(a) Amoebic,-,-,-,1,-,4,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,-,-,-,-,-,-,-,-,-,I,-,-,=,-,4
5,(h) Racillary,7,10,10,288,209,209,-,-,-,-,-,-,-,-,-,3,3,-,2,,,-,2,1,-,-,-,-,5,-,-,-,-,2,=,6,5
6,Encephalitis, infectious,-,-,-,7,6,9,-,-,-,,,,-,-,-,-,-,-,,,,-,-,-,-,-,-,-,-,:,-,-,-,-,-,-,6
7,Influenza, epidemic,152,92,161,"2,172","7,072","7,072",I.A,P.P.,,50,36,-,100,51,76,,,,-,-,-,I,1,3,2,4,1,1:,-,-,,,,-,-,3,7
8,Measles,873,"1,184","1,596","36,517","32,130","33,945",-,-,4,,,,135,58,21,,,,144,141,440,343,317,657,70,146,42,,,,-,288,37,181,234,153,8
9,Meningitis, meningococcal,9,12,6,138,142,136,4,3,-,-,1,-,-,-,1,-,2,-,1,-,1,2,3,-,1,2,-,-,-,-,,,,1,1,I:,9
10,Mumps,568,598,655,"16,327","17,891","17,891",,,,,,,133,72,28,,,,92,100,,262,261,341,2,10,17,,,,,,,79,155,95,10
11,Poliomyelitis, epidemic:4,2,2,3,41,59,94,-,-,-,1,-,-,-,-,-,-,-,-,-,1,1,I,I,1,1,-,1,-,-,=,-,1,=,1,-,1,11
12,(a) With paralysis,1,1,2,23,40,57,-,-,-,-,-,-,-,-,-,-,-,,,-,1,1,-,-,-,1,-,=,=,-,E,-,I,:,1,I:,-,12
13,(b) Without paralysis,1,1,1,12,19,29,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,I,-,-,-,-,-,-,-,-,=,1,=,**,-,:,13
14,Rubella,229,376,449,"12,760","39,955","6,850",-,-,-,,,:.,41,-,6,:,,,14,19,66,84,55,277,4,2,-,,,:,-,216,28,86,84,44,14
15,Scarlet fever, etc.⁵,136,158,311,"4,738","7,061","7,746",4,3,2,5,2,9,55,47,13,3,1,7,20,22,82,45,52,72,-,2,6,2,8,13,I,7,17,2,14,45,15
16,Smallpox,-,-,-,-,-,-,-,-,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,I,-,3,-,=,16
17,Tuberculosis:4,135,199,185,"3,445","3,682","4,122",8,10,9,-,2,2,-,-,4,3,12,12,77,97,68,17,16,32,7,14,8,8,2.,7,-,20,19,15,26,23,17
18,(a) Pulmonary,109,173,140,"2,779","2,935","3,322",8,10,9,-,1,2,-,-,4,3,12,12,70,95,66,(6),(6),(6),7,12,8,6,-,5,-,20,13,15,23,21,18
19,(b) Non-pulmonary,9,10,12,216,200,205,-,-,-,-,1,-,-,-,-,-,-,-,7,2,2,(6),(6),(€),-,2,-,2,2.,2,-,-,3,-,3,2,19
20,Typhoid and paratyphoid,4,2,4,119,154,182,-,-,-,-,-,-,-,-,-,-,-,-,2,",4,2,2,-,-,-,-,-,-,1,-,-,-,-,-,1,20
21,Undulant fever,8,-,2,52,60,45,-,-,-,-,-,I,I,-,-,-,-,-,8,,,-,-,2,-,-,-,-,-,-,,,,*,-,-,21
22,Venereal diseases:,235,318,276,"6,609","6,349","6,918",9,21,5,1,-,1,5,1,7,9,4,2,61,61,76,(8),59,50,27,18,21,40,23,2.1,-,49,47,83,82,59,22
23,(a) Syphilis, primary,-,7,4,62,45,69,-,-,-,-,-,-,-,-,-,-,-,-,-,IF,2,-,1,#,-,E,-,-,1,-,-,1,1,-,4,-,23
24,(b) " secondary,-,1,1,20,19,28,-,-,-,1,-,#:,E,-,-,-,-,F,3,+,-,1,-,... #,It,1,-,-,-,-,-,-,-,,,,24
25,(c) " other,30,49,40,872,769,991,I,-,1,-,-,1,1,-,2,1,-,1,19,31,16,1,10,9,3,-,1,1,1,1,*,2,1,6,5,3,25
