Table: Table_1
,,,,,CANADA2,,,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,
No.,DISEASE,Report Week,Previous,,,Cumulative,Total³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No.
,,,Week,Median 1952-56,1957,1956,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,
1,Chickenpox,"1,243","1,319","1,109","10,946","12,259","12,853",:.,:.,3,,: .,8,37,26,43,:,:.,1,312,368,252,678,706,553,22,22,31,,,37,,,24,194,197,159,1
2,Diphtheria,4,4,4,42,33,33,-,-,-,-,-,-,-,-,-,-,-,-,1,3,1,2,1,-,1,-,-,.. -,... -,-,A... -,-,,,,,2
3,Dysentery:4,25,5,18,112,101,101,-,-,-,2,-,-,-,-,-,-,1,-,1,1,...,1,1,7,-,-,-,5,-,1,-,-,-,- 16,- 2,- 5,3
4,(a) Amoebic,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,,,,,-,-,-,-,-,-,-,-,,,-,,,,4
5,(b) Bacillary,25,5,18,111,101,101,-,-,-,2,-,-,-,-,-,-,1,-,1,1,... : .,1,1,7,-,-,-,5,-,1,- -,- -,I -,- 16,- 2,- 5,
6,Encephalitis, infectious,-,-,-,1,3,4,-,-,-,,:.,,-,-,-,-,-,-,..,:,:.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5 6
7,Influenza, epidemic,79,89,648,859,"3,430","2,543",:,,,23,29,27,52,55,92,...,...,...,-,-,-,-,-,74,1,4,2,-,-,-,,,,3,1,73,7
8,Measles,"1,981","1,732","1,697","18,449","17,306","17,306",-,-,16,3,...,11,31,48,103,,...,1,246,286,390,503,401,734,69,180,39,,,16,587,.... 331,a.e. 130,542,486,132,8
9,Meningitis, meningococcal,8,10,5,63,67,65,1,6,-,-,-,-,-,-,-,1,2,-,1,-,1,2,1,1,-,-,1,. 1,-,-,,,,2,1,,9
10,Mumps,879,769,881,"8,372","9,125","9,125",...,...,1,...,1,3,21,14,28,...,...,...,184,163,236,362,268,417,17,43,35,..A,,35,,,A.S. 12,295,280,- 195,10
11,Poliomyelitis, epidemic:4,-,2,5,20,32,35,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,2,A.P. -,A 1,-,-,1,1,11
12,(a) With paralysis,-,1,2,13,21,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$,1,-,,,1,12
13,(b) Without paralysis,-,1,2,5,11,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,- -,1 1,,13
14,Rubella,878,855,347,"5,397","13,862","2,697",-,-,-,,:.,,1,16,13,...,...,...,37,102,16,75,72,106,3,11,2,...,,4,554,458,12,208,196,15,14
