Table: Table_1
,,,,,CANADA2,,,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,
10,Mumps,906,621,924,"1,527","1,735","1,735",-,-,1,5,5,10,39,90,5,...,...,: .,100,86,108,366,228,227,10,-,27,...,,28,.A,,--- 10,386,212,71,10
11,Poliomyelitis, epidemic:4,-,2,5,2,4,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,I,-,-,2,4,-,-,-,11
12,(a) With paralysis,-,2,1,2,1,6,-,-,-,-,-,-,-,-,-,-,-,-,-,I,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,12
13,(b) Without paralysis,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,=,-,=,I,-,-,1,13
14,Rubella,278,250,159,528,"1,673",345,-,-,-,,...,,2,6,9,R.A,...,9.9,53,24,7,58,33,117,4,1,-,...,a,1,-,41,27,161,145,20,14
15,Scarlet fever, etc.⁵,318,207,334,525,514,631,1,4,3,9,13,10,220,71,31,-,-,3,26,19,57,47,63,70,2,-,10,4,4,5,-,23,27,9,10,40,15
16,Smallpox,-,I,-,-,-,-,-,-,-,,A.P.,...,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,I,I,-,-,-,-,I,,,16
17,Tuberculosis: 4,75,118,165,193,281,297,8,6,11,1,1,1,-,5,2,6,1,15,19,41,45,10,15,25,4,-,2,-,5,2,I,18,19,27,26,26,17
18,(a) Pulmonary,57,95,135,152,240,249,8,6,10,1,1,-,-,5,1,6,1,15,18,39,42,(6),(6),(6),-,-,2,-,3,1,-,18,18,24,22,22,18
19,(b) Non-pulmonary,8,3,8,16,11,12,-,-,-,-,-,-,-,I,-,I,-,-,1,2,3,(6),(6),(6),4,-,-,1,2,1,-,-,1,3,4,3,19
20,Typhoid and paratyphoid,2,9,5,11,12,10,1,1,-,-,-,-,-,1,-,-,-,-,1,6,5,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,20
21,Undulant fever,-,2,1,2,6,5,-,-,-,-,-,-,-,-,-,,-,-,...,...,1,-,1,-,-,-,-,-,-,-,..,1,..,-,-,-,21
22,Venereal diseases:,289,284,416,573,634,706,4,6,15,1,1,-,21,7,10,7,-,6,64,83,105,39,37,60,18,-,38,23,14,33,-,51,53,112,85,86,22
23,(a) Syphilis, primary,2,3,6,5,6,8,2,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,1,-,-,-,-,2,2,-,-,-,-,1,-,23
24,(b) " secondary,-,-,1,-,4,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24
25,(c) " other,35,26,40,61,35,85,-,-,1,-,-,-,-,-,1,2,-,1,13,19,13,2,5,14,2,-,-,4,1,1,-,-,1,12,-,4,25
26,(d) Gonorrhoea,252,255,356,507,589,589,2,6,14,1,1,-,21,7,8,5,-,5,51,64,91,37,31,46,16,-,35,19,11,28,-,51,49,100,84,81,26
27,(e) Other venereal diseases⁷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27
28,Whooping cough,101,67,190,168,331,304,-,-,-,-,-,-,-,-,9.,-,-,1,L3,17,51,54,28,43,-,-,7,2,1,4,-,17,10,2,4,17,28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
