Table: Table_1
,,,,,CANADA2,,,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,
No.,DISEASE,,Previous,,,Cumulative,Total³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No.
,,Report Week,Week,Median 1952-56,1957,1956,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,
1,Chickenpox,282,287,660,"28,568","29,427","31,355",*,: .,:.,:,:,:.,33,4,17,..,:,:,41,90,141,103,115,273,21,7,27,:.,:,:.,:.,:,: .,84,71,123,1
2,Diphtheria,2,9,4,122,103,103,-,6,-,-,-,-,-,-,-,-,-,-,-,1,2,1,-,-,-,2,-,-,-,-,1,-,-,-,-,-,2
3,Dysentery:4,7,3,7,556,515,591,-,-,-,-,-,-,-,**,-,-,-,-,:.,:.,:,1,-,3,4,3,-,-,-,-,-,-,-,2,-,1,3
4,(a) Amoebic,-,-,-,7,2,4,-,-,-,-,-,-,-,-,-,-,-,-,:.,:.,:,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
5,(h) Bacillary,7,3,7,449,513,589,-,-,-,-,-,-,-,-,-,-,-,-,:.,:,:.,1,-,3,4,3,-,-,-,-,-,-,-,2,-,1,5
6,Encephalitis, infectious,-,2,-,29,40,35,-,-,-,: .,..,:.,-,-,-,-,-,-,:.,:,..,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,6
7,Influenza, epidemic,"21,510","26,886",58,"137,099","9,939","9,580",**,:.,:.,418,364,-,2250,5126,42,**,..,:,-,-,-,,12882586,1,46981274,,-,95,-,-,:.,:,:.,(8),(8),-,7
8,Measles,130,100,463,"46,840","45,087","47,514",***,-,2,:,:.,:.,28,1,9,:.,:.,:.,1,19,56,32,30,224,26,9,21,..,..,:.,27,30,16,16,11,59,8
9,Meningitis, meningococcal,2,9,5,295,252,252,-,3,-,-,-,-,-,-,-,-,1,-,1,1,1,-,2,1,-,1,-,-,-,-,:,:,: .,1,1,-,9
10,Mumps,145,129,354,"20,595","23,523","23,523",...,:.,:,:,..,...,29,12,18,0 .,...,,17,46,:.,50,46,208,2,2,11,...,...,: -,:,:.,...,47,23,61,10
11,Poliomyelitis, epidemic:4,2,14,72,268,507,"2,163",-,-,-,-,-,-,-,-,1,-,-,-,-,2,4,-,3,7,-,-,2,-,3,6,2,4,12,-,2,9,11
12,(a) With paralysis,2,13,38,169,300,"1,044",-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,3,2,-,-,1,-,2,2,2,4,4,-,2,5,12
13,(b) Without paralysis,-,-,19,37,195,632,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,5,-,-,1,-,-,1,-,-,-,-,-,4,13
14,Rubella,26,43,72,"15,926","49,998","9,431",-,-,-,..,,...,1,4,2,...,:,:.,-,8,3,7,10,22,-,1,-,:,:.,:.,9,16,9,9,4,19,14
15,Scarlet fever, etc.⁵,144,143,157,"7,380","10,065","10,257",1,5,6,9,8,9,97,112,30,-,1,2,8,-,33,17,11,44,l,2,9,-,-,3,7,4,15,4,-,16,15
16,Smallpox,-,-,-,-,-,-,-,-,-,:,: .,:,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1€
17,Tuberculosis:4,124,168,210,"7,418","7,817","8,821",7,2,9,1,1,-,2,1,2,10,3,to,45,62,77,14,16,30,5,14,15,1,2,7,17,33,15,22,34,30,17
18,(a) Pulmonary,103,1/1,170,"6,094","6,233","7,156",7,2,9,-,1,-,2,1,2,10,3,8,43,60,75,(6),(6),(6),5,12,15,1,2,5,17,29,15,18,31,28,18
19,(b) Non-pulmonary,7,11,8,441,437,463,-,-,-,],-,-,-,-,-,-,-,-,2,2,-,(6),(6),(9),-,2,-,-,-,3,-,4,-,4,3,2,19
20,Typhoid and paratyphoid,3,8,7,281,396,396,-,-,-,-,-,-,or,-,-,-,-,-,2,3,4,-,3,1,-,-,-,1,-,-,-,2,-,-,-,-,20
21,Undulant fever,2,-,2,117,121,115,-,-,-,-,-,-,-,-,-,-,-,-,: .,:,:,-,-,-,1,-,-,-,-,-,1,..,:.,-,-,-,21
22,Venereal diseases:,347,285,379,"13,999","14,029","15,254",2,9,12,-,-,-,7,4,11,5,9,3,72,33,95,49,46,62,25,28,30,34,36,35,46,64,71,107,56,61,22
23,(a) Syphilis, primary,4,3,3,128,96,1/1,-,-,-,-,-,-,-,-,-,-,1,-,1,-,1,-,-,-,2,-,-,-,-,-,1,-,-,-,2,-,23
24,(b) " secondary,2,1,1,39,45,59,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,1,1,-,-,-,-,24
25,(c) other,59,33,49,"1,779","1,608","1,973",-,-,1,-,-,-,1,-,2,1,-,1,30,12,24,11,8,14,3,4,-,-,-,2,4,5,1,9,4,3,25
26,(d) Gonorrhoea,282,246,326,"12,041","12,271","12,289",2,7,8,-,-,-,6,4,8,4,8,3,41,21,69,38,38,52,19,24,30,34,36,32,40,58,64,98,50,56,26
27,(e) Other venereal diseases⁷,-,2,-,12,9,16,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27
28,Whooping cough,69,120,272,"6,373","7,224","7,819",-,-,-,-,-,1,2,4,w,-,-,2,17,24,62,34,39,47,-,3,8,-,-,6,5,19,15,11,31,23,28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
