Table: Table_1
,,,,,CANADA²,,,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,
No.,DISEASE,,Previous,,,Cumulative,Total³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No.
,,Report Week,Week,Median 1952-56,1957,1956,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report "eek,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,
1,Chickenpox,123,257,196,"26,749","26,095","28,246",...,.,...,...,P...,9.8,11,-,15,....,9.9,R.P.,26,162,29,48,55,66,9,10,13,....,...,R.9.,T.S,P..9,1.8,29,30,29,1
2,Diphtheria,4,6,1,79,61,63,-,-,-,-,-,-,-,-,-,,-,-,4,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,2
3,Dysentery:4,6,9,18,378,377,377,-,-,-,-,-,-,-,-,-,3,1,-,2,3,,1,3,2,-,1,-,-,1,-,-,-,-,-,-,16,3
4,(a) Amoebic,-,-,-,4,-,4,-,-,-,-,-,-,-,-,-,-,-,-,,,.. A,-,-,-,-,-,-,-,=,-,-,-,I,-,-,-,4
5,(h) Bacillary,6,9,18,374,377,377,-,-,-,-,-,-,-,-,-,3,1,-,2,3,,1,3,2,-,1,-,-,1,-,-,-,-,-,-,16,5
6,Encephalitis, infectious,1,2,1,15,12,18,-,-,-,,,,-,-,=,-,-,-,,,...,1,2,I,I,-,-,-,-,-,-,-,-,,-,,6
7,Influenza, epidemic,93,26,13,"3,050","8,466","8,466",,,,15,13,-,76,11,12,,,A.9,I,-,-,-,1,1,-,1,1,-,-,-,,,,: 2,I,-,7
8,Measles,319,300,344,"44,569","40,210","42,790",-,-,-,3,,,29,13,7,,,,28,14,80,91,63,95,45,28,10,.,,0.0,101,140,40,22,42,60,8
9,Meningitis, meningococcal,8,2,1,194,187,187,4,1,-,-,-,-,1,-,-,1,-,-,2,,1,-,1,-,-,-,-,-,. =,-,,,,-,=,-,9
10,Mumps,108,161,169,"19,187","21,190","21,190",,,,,,,7,7,4,,,,9,28,,65,101,82,4,13,7.,,,,,,,23,12,35,10
11,Poliomyelitis, epidemic:⁴,10,10,50,100,123,581,-,-,-,-,-,1,-,-,1,-,-,-,2,1,5,1,6,14,1,-,4,-,1,4,4,2,8,-,-,7,11
12,(a) With paralysis,4,7,26,59,73,206,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,5,4,1,-,4,-,1,1,2,-,-,1,-,2,12
13,(b) Without paralysis,5,3,21,34,47,188,-,-,-,--,-,-,-,-,-,-,-,-,1,-,3,1,1,11,-,-,1,-,-,2,2,2,2,1,-,1,13
14,Rubella,100,78,40,"15,226","48,563","8,894",-,-,-,,..,...,21,1,2,....,...,...,4,7,5,28,26,9,-,1,1,...,...,...,28,30,15,19,13,9,14
15,Scarlet fever, etc.⁵,65,67,90,"5,841","8,588","9,264",6,2,2,2,15,5,29,12,15,-,2,-,5,8,13,10,10,19,2,2,3,3,9,5,4,5,6,4,2,13,15
16,Smallpox,-,-,-,-,-,-,-,-,-,...,..,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16
17,Tuberculosis:4,168,261,197,"5,298","5,602","6,275",12,4,8,-,-,2,-,-,1,4,8,13,59,131,72,31,19,20,9,8,21,13,11,7,16,44,25,24,36,30,17
18,(a) Pulmonary,130,222,156,"4,301","4,499","5,003",12,4,8,-,-,1,-,-,1,4,8,10,57,126,69,(6),(6),(6),7,8,20,11,9,3,16,35,22,23,32,26,18
19,(b) Non-pulmonary,7,20,14,328,318,322,-,-,-,-,-,1,-,-,-,-,-,-,2,5,4,(6),(6),(6),2,,-,2,2,1,-,9,2,1,4,4,19
20,Typhoid and paratyphoid,2,12,10,177,254,254,-,-,-,-,-,-,-,-,-,-,-,-,1,10,9,1,2,1,-,-,-,-,-,-,-,-,-,-,-,-,20
21,Undulant fever,-,5,5,81,94,77,-,-,-,-,-,-,-,-,-,-,-,-,...,4,...,-,1,-,-,-,-,-,-,-,...,9.%,....,-,-,-,21
22,Venereal diseases:,386,344,355,"9,927","9,405","10,207",5,15,8,-,-,1,9,12,8,8,6,5,89,77,70,51,63,64,37,14,28,37,32,29,50,53,59,100,72,66,22
23,(a) Syphilis, primary,3,2,2,84,59,94,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,1,-,1,I,1,1,-,-,23
24,(b) secondary,-,2,2,31,26,38,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,24
25,(c) other,53,30,35,"1,292","1,094","1,432",-,1,-,-,-,-,2,-,1,-,1,-,34,13,9,10,9,15,-,-,2,-,1,1,3,-,2,4,5,4,25
26,(d) Gonorrhoea,330,309,319,"8,515","8,224","8,488",5,13,5,-,-,1,7,12,6,8,5,4,55,62,61,41,54,51,37,14,23,36,29,28,46,53,57,95,67,62,26
27,(e) Other venereal diseases?,-,1,-,5,2,12,-,-,-,-,I,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27
28,Whooping cough,164,163,126,"4,151","5,084","4,988",-,1,-,2,-,5,11,18,6,-,-,-,46,50,43,72,48,38,-,-,2,1,4,4,17,28,8,15,14,22,28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
