",,,,CANADA2,,,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,"
"o.,DISEASE,,Previous,,,Cumulative,Total³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No."
",Report Week,Week,Median 1951-55,1956,1955,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,"
",Chickenpox,90,98,171,""26,770"",""24,479"",""32,814"",-,-,1,-,2,-,2,13,11,..,:.,:.,24,7,26,46,53,47,3,13,7,..,:,11,..,...,3,15,10,25,1"
",Diphtheria,6,2,1,68,69,95,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,6,1,-,-,-,-,1,-,-,-,-,-,2"
",Dysentery:4,7,18,13,442,445,445,-,-,-,-,-,-,-,-,-,R.9,2,,...,R..,5,3,2,1,-,3,-,-,2,-,1,3,-,3,6,4,3"
",(a) Amoebic,1,-,-,1,2,8,-,-,-,-,-,-,-,-,-,,,,P.A,...,,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4"
",(h) Bacillary,6,18,13,441,443,443,-,-,-,-,-,-,-,-,-,A.O.,2,A.9,..A,R.P.,5,2,2,1,-,3,-,-,2,-,1,3,-,3,6,4,5"
",Encephalitis, infectious,2,2,.2,24,21,24,-,-,-,,,,-,-,-,-,-,-,,,.A,A..,...,A.O.,-,-,-,1,2,-,-,-,-,1,-,-,6"
",Influenza, epidemic,55,127,17,""8,864"",""36,735"",""9,135"",A.B.,,a.a,48,39,,3,86,13,-,-,-,-,-,-,4,1,4,-,1,1,-,1,-,A.A,...,,-,I,1,7"
",Measles,310,152,150,""41,545"",""43,947"",""47,458"",3,2,4,-,1,1,6,17,6,,...,A.O.,70,27,29,135,60,34,13,5.,5,21,..,2,7,10,24,55,30,25,8"
",Meningitis, meningococcal,6,4,3,208,216,195,4,1,-,,,,-,-,-,-,-,-,-,-,-,1,3,1,-,-,-,1,1,=,,,,I,:,1,9"
"0,Mumps,136,96,132,""21,783"",""20,060"",""28,529"",1,-,1,-,-,1,-,6,2,R.P,1.8,...,14,3,19,74,67,68,9,5,6,....,9.8,6,.A,....,6,38,15,16,10"
"1,Poliomyelitis, epidemic:4,30,38,198,285,667,""1,464"",-,-,1,-,-,-,-,-,4,2,1,5.,10,7,18,9,14,52,1,-,3,-,1,to,6,9,33,2,6,1/,11"
"2,(a) With paralysis,18,19,79,159,354,596,-,-,-,-,-,-,-,-,2,-,-,-,7,7,5,7,9.,19,-,-,1,-,-,5.,3,3,-,1,I,6,12"
"3,(b) Without paralysis,10,18,100,104,254,796,-,-,1,-,-,-,-,-,-,2,1,4,1,-,2,2,5,33,1,-,2,-,-,2,3,6,2,1,6,8,13"
"4,Rubella,113,103,46,""49,247"",""17,453"",""9,072"",1,1,-,...,...,,1,3,2,...,...,...,74,1,2,16,74,12,-,4,-,....,,1,9,8,11,12,12,14,14"
"5,Scarlet fever, etc.⁵,85,83,87,""8,963"",""6,504"",""9,470"",-,1,-,24,31,5,7,32,10,-,1,-,11,6,16,28,8,9,-,2,4,5,-,8,7,-,7,3,2,27,15"
"6,Smallpox,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16"
"7,Tuberculosis:4,166,184,214,""6,380"",""6,702"",""7,246"",14,11,10,-,-,2,-,8,1,6,9,18,71,87,85,17,17,16,9,6,12,7,13,12,24,11,8,18,22,32,17"
