",,,,CANADA²,,,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,"
"o.,DISEASE,Report,Previous,,,Cumulative,Total³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No."
",Week,Week,Median 1951-55,1956,1955,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,"
",Chickenpox,876,848,""1,225"",""31,749"",""28,833"",""39,315"",-,-,3,-,2,4,49,52,30,:.,: .,:,248,197,311,390,383,421,49,34,53,...,...,56,...,...,25,140,180,132,1"
",Diphtheria,4,7,5,118,112,143,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,4,7,-,-,-,-,-,-,-,,-,-,2"
",Dysentery:4,33,24,7,594,639,639,-,-,-,3,3,-,-,-,-,..,1,0.8,A.O.,0.0,1,-,-,3,-,-,-,18,-,-,4,10,-,8,10,3,3"
",(a) Amoebic,-,-,-,2,3.,18,-,-,-,-,-,-,-,-,-,,,,R.B.,..,a.e.,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,4"
",(h) Pacillary,33,24,7,591,636,636,-,-,-,3,3,-,-,-,-,...,1,..,A.P.,....,1,-,-,3,-,-,-,18,-,-,4,10,-,8,10,3,5"
",Encephalitis, infectious,-,-,-,45,33,39,-,-,-,,,,-,-,-,,-,-,..,...,,..,4.8,a.s.,-,-,-,-,-,-,-,-,-,-,-,-,6"
",Influenza, epidemic,122,134,40,""10,300"",""37,749"",""9,779"",...,R.O.,...,36,87,-,70,46,34,...,A.P.,...,-,-,-,1,-,3,9,1,1,-,-,-,,,A.O.,6,-,-,7"
",Measles,907,836,857,""47,375"",""50,738"",""51,610"",-,-,17,...,R.O.,4,47,9,68,,A.S.,2,192,222,122,389,339,198,39,43,35,...,,15,48,103,56,192,120,114,8"
",Meningitis, meningococcal,5,1,5,264,274,269,1,1,-,1,-,-,-,-,-,1,-,-,1,-,1,-,-,2,-,-,-,-,-,-,...,...,...,1,-,-,9"
"0,Mumps,494,426,580,""24,804"",""24,053"",""31,976"",-,-,-,6,4,1,41,32,27,...,..,...,44,78,108,202,131,295,19,10,22,...,R.A,15,...,...,3,182,171,104,10"
"1,Poliomyelitis, epidemic:⁴,22,12,46,562,980,""2,498"",2,-,-,-,-,-,-,-,2,-,-,1,7,3,3,1,6,2,-,1,2,-,1,3,9,1,3,3,-,5,11"
"2,(a) With paralysis,17,5,22,319,524,""1,117"",2,-,-,-,-,-,-,-,2,-,-,-,7,2,-,-,2,2,-,-,2,-,(6),1,5,1,-,3,-,3,12"
"3,(b) Without paralysis,5,6,11,198,367,""1,280"",-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,1,4,1,-,1,-,-,(6),2,4,-,-,-,-,1,13"
"4,Rubella,248,169,107,""50,735"",""18,571"",""9,620"",-,-,-,...,,V.A,4,14,2,..,...,**,69,29,7,61,32,21,-,-,1,a..,A.R,...,18,13,12,96,81,13,14"
"5,Scarlet fever, etc.⁵,204,217,293,""10,640"",""8,243"",""12,135"",9,2,7,28,6,3,59,82,16,1,-,4,29,40,78,41,37,71,2,12,13,7,-,9.,13,21,22,15,17,46,15"
"6,Smallpox,-,-,-,-,-,-,-,-,-,9.8,...,..A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16"
"7,Tuberculosis:4,180,208,241,""8,227"",""9,288"",""9,491"",3,1,8,-,-,-,3,1,-,2,19,20,65,100,84,28,16,28,16,15,22,9,6,10,27.,32,23,27,18,25,17"
"8,(a) Pulmonary,145,180,203,""6,723"",""7,382"",""7,739"",3,1,7,-,-,-,2,1,-,2,15,20,64,95,83,(6),(6),(6),16,15,22,9,5,7,24,32,22,25,16,21,18"
"9,(b) Non-pulmonary,7,12,9,474,545,500,-,-,-,-,-,-,1,-,-,-,4,-,1,5,1,(6),(6),(6),-,-,ans,-,1,2,3,-,1,2,2,4,19"
"0,Typhoid and paratyphoid,8,10,5,420,352,439,-,-,-,-,-,-,-,-,-,-,-,-,4,7,3,3,3,1,-,-,-,-,-,-,1,-,-,-,-,-,20"
"1,Undulant fever,2,3,1,130,112,119,-,-,-,-,-,-,-,-,-,-,-,-,1,1,..,1,2,-,,-,-,-,-,-,,,..,-,-,-,21"
"2,Venereal diseases:,281,361,378,""15,224"",""15,196"",""16,529"",6,19,9,3,-,-,8,9,14,4,8,6,66,84,118,(8),58,69,33,27,23,16,24,25,58,59,55,87,73,67,22"
"3,(a) Syphilis, primary,2,-,5,99,111,188,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,1,-,-,1,-,1,-,-,-,-,=,-,23"
"4,(b) secondary,3,-,1,50,45,99,-,-,-,-,-,-,-,-,-,-,-,-,2,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,24"
"5,(c) other,33,50,60,""1,749"",""2,066"",""2,329"",-,-,3,-,-,-,-,1,2,-,2,2,30,30,26,-,7,11,1,4,2,-,-,2,-,1,2,2,5,6,25"
"6,(d) Gonorrhoea,243,311,326,""13,316"",""12,954"",""13,203"",6,19,6,3,-,-,8,8,9,4,6,2,34,54,93,-,51,55,31,23,20,15,24,20,58,58,50,84,68,59,26"
"7,(e) Other venereal diseases⁷,-,-,2,10,20,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,27"
"8,Whooping cough,150,279,238,""7,861"",""12,664"",""8,487"",2,-,-,4,2,4,16,5,5,-,85,1,56,96,104,51,51,58,3,9,15,3,4,10,5,14,11,10,13,15,28"
