",,,,CANADA2,,,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,"
"o.,DISEASE,,Previous,,,Cumulative,Total³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No."
",Report Week,Week,Median 1951-55,1956,1955,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week (8),Previous Week,Median 1951-55,"
",Chickenpox,609,906,""1,629"",""36,463"",""33,599"",""45,887"",-,-,2,4,-,6,44,75,54,...,..,3,130,220,239,419,355,719,12,45,54,R.P.,...,47,...,a.e,148,2,211,245,1"
",Diphtheria,-,2,6,136,139,190,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,2"
",Dysentery:4,-,4,9,617,673,673,-,-,-,-,-,-,-,-,-,,4,a.e,..,,3,-,-,1,-,-,-,-,-,-,-,-,-,-,-,2,3"
",(a) Amoebic,-,-,-,2,3,19,-,-,-,-,-,-,-,-,-,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4"
",(b) Bacillary,-,4,9,614,670,670,-,-,-,-,-,-,-,-,-,,4,,,,...,-,-,1,-,-,-,-,-,-,-,-,-,-,-,2,5"
",Encephalitis, infectious,-,-,-,46,35,42,-,-,-,,,,-,-,-,-,-,-,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,6"
",Influenza, epidemic,116,106,87,""11,086"",""38,438"",""10,110"",,,,57,22,-,55,82,6.9,,,1,-,-,-,1,1,4,3,1,-,-,-,-,,,,-,-,-,7"
",Measles,884,""1,074"",""1,855"",""53,427"",""56,922"",""56,922"",-,-,11,,,1,30,47,108,,,10,191,322,197,501,256,453,43,40,41,a,,29,119,107,90,-,302,272,8"
",Meningitis, meningococcal,4,2,4,283,310,298,1,1,-,1,-,-,-,-,-,-,-,-,1,,-,1,-,2,-,1,-,-,-,-,0.0,,,-,-,-,9"
"0,Mumps,310,710,""1,134"",""27,734"",""27,193"",""35,189"",-,-,2,7,4,3,3,22,12,,,:.,78,132,108,204,222,227,18,22,27,,,33,P.A,A.O.,80,-,308,71,10"
"1,Poliomyelitis, epidemic:4,3,2,5,615,""1,021"",""2,568"",-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,1,-,4,-,1,-,11"
